biosequence_name,is_covering,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
Q9H169,C,canonical,  1.000,  1.000,2,  0.652,2,8,8p21.2,27093820,27115926,-,,,Q9H169,17,6,,,,STMN4_HUMAN Stathmin-4 OS=Homo sapiens GN=STMN4 PE=2 SV=1 CONCAT=1,Homo sapiens
P13716,C,canonical,  1.000,  1.000,3,  0.517,3,9,9q32,116148597,116163613,-,,,P13716,18,5,,,,HEM2_HUMAN Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1 CONCAT=9,Homo sapiens
P35998,C,canonical,  1.000,  1.000,3,  0.338,2,7,7q22.1,102988089,103008655,+,,,P35998,19,2,,,,PRS7_HUMAN 26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3 CONCAT=2,Homo sapiens
Q9NZ72,C,canonical,  1.000,  1.000,3,  0.880,3,20,20q13.33,62271061,62284780,-,,,Q9NZ72,20,2,,,,STMN3_HUMAN Stathmin-3 OS=Homo sapiens GN=STMN3 PE=1 SV=3 CONCAT=1,Homo sapiens
P56159,C,canonical,  1.000,  1.000,3,  0.400,3,10,10q25.3,117823275,118032979,-,,,P56159,21,3,,,,GFRA1_HUMAN GDNF family receptor alpha-1 OS=Homo sapiens GN=GFRA1 PE=2 SV=2 CONCAT=13,Homo sapiens
Q96F85,C,canonical,  1.000,  1.000,5,  1.832,3,2,2p14,68520142,68547138,-,,,Q96F85,22,3,,,,CNRP1_HUMAN CB1 cannabinoid receptor-interacting protein 1 OS=Homo sapiens GN=CNRIP1 PE=1 SV=1 CONCAT=1,Homo sapiens
Q96EE4,C,canonical,  1.000,  1.000,8,  2.932,4,7,7p15.3,23636998,23684327,+,,,Q96EE4,23,3,,,,CC126_HUMAN Coiled-coil domain-containing protein 126 OS=Homo sapiens GN=CCDC126 PE=2 SV=2 CONCAT=6,Homo sapiens
P30626,C,canonical,  1.000,  1.000,2,  0.489,2,7,7q21.12,87834433,87849394,-,,,P30626,24,4,,,,SORCN_HUMAN Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1 CONCAT=1,Homo sapiens
P25686,C,canonical,  1.000,  1.000,9,  1.552,3,2,2q35,220143989,220151622,+,,,P25686,25,8,,,,DNJB2_HUMAN DnaJ homolog subfamily B member 2 OS=Homo sapiens GN=DNAJB2 PE=1 SV=3 CONCAT=3,Homo sapiens
Q9H1U4,C,canonical,  1.000,  1.000,50,  6.108,13,9,9q33.2,123363091,123476748,-,,,Q9H1U4,26,2,,,,MEGF9_HUMAN Multiple epidermal growth factor-like domains protein 9 OS=Homo sapiens GN=MEGF9 PE=2 SV=3 CONCAT=6,Homo sapiens
Q05682,C,canonical,  1.000,  1.000,2,  0.209,2,7,7q33,134464164,134655479,+,,,Q05682,27,11,,,,CALD1_HUMAN Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3 CONCAT=2,Homo sapiens
Q8WW22,C,canonical,  1.000,  1.000,3,  0.400,2,15,15q25.1,78556904,78574538,+,,,Q8WW22,28,6,,,,DNJA4_HUMAN DnaJ homolog subfamily A member 4 OS=Homo sapiens GN=DNAJA4 PE=1 SV=1 CONCAT=5,Homo sapiens
P58546,C,canonical,  1.000,  1.000,5,  2.443,2,7,7q33,135611509,135662064,-,,,P58546,29,2,,,,MTPN_HUMAN Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2 CONCAT=2,Homo sapiens
P83731,C,canonical,  1.000,  1.000,2,  0.652,2,3,3q12.3,101399936,101405626,-,,,P83731,30,3,,,,RL24_HUMAN 60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1 CONCAT=1,Homo sapiens
Q9NTK5,C,canonical,  1.000,  1.000,3,  0.352,2,2,2q31.2,0,0, ,,,Q9NTK5,31,4,,,,OLA1_HUMAN Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=2 CONCAT=2,Homo sapiens
C9JVW0,C,canonical,  1.000,  1.000,2,  1.466,2,19,19q13.32,47778142,47778979,+,,,C9JVW0,32,2,,,,PRR24_HUMAN Proline-rich protein 24 OS=Homo sapiens GN=PRR24 PE=4 SV=1 CONCAT=1,Homo sapiens
Q53GG5,C,canonical,  1.000,  1.000,2,  0.326,2,4,4q35.1,186422911,186456656,-,,,Q53GG5,33,4,,,,PDLI3_HUMAN PDZ and LIM domain protein 3 OS=Homo sapiens GN=PDLIM3 PE=1 SV=1 CONCAT=2,Homo sapiens
O14810,C,canonical,  1.000,  1.000,2,  1.173,2,4,4p16.3,778745,819986,-,,,O14810,34,4,,,,CPLX1_HUMAN Complexin-1 OS=Homo sapiens GN=CPLX1 PE=1 SV=1 CONCAT=1,Homo sapiens
P62266,C,canonical,  1.000,  1.000,8,  3.909,3,5,5q14.2,81569177,81574396,-,,,P62266,35,2,,,,RS23_HUMAN 40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3 CONCAT=2,Homo sapiens
O14960,C,canonical,  1.000,  1.000,4,  1.675,3,5,5q31.1,135282600,135290723,-,,,O14960,36,2,,,,LECT2_HUMAN Leukocyte cell-derived chemotaxin-2 OS=Homo sapiens GN=LECT2 PE=1 SV=2 CONCAT=7,Homo sapiens
P55285,C,canonical,  1.000,  1.000,119,  9.691,24,5,5p13.3,31193857,31329253,+,,,P55285,37,3,,,,CADH6_HUMAN Cadherin-6 OS=Homo sapiens GN=CDH6 PE=1 SV=1 CONCAT=9,Homo sapiens
P00995,C,canonical,  1.000,  1.000,2,  1.466,2,5,5q32,147204131,147211349,-,,,P00995,38,2,,,,ISK1_HUMAN Pancreatic secretory trypsin inhibitor OS=Homo sapiens GN=SPINK1 PE=1 SV=2 CONCAT=13,Homo sapiens
Q96BY9,C,canonical,  1.000,  1.000,3,  0.517,2,8,8p12,0,0, ,,,Q96BY9,39,6,,,,SARAF_HUMAN Store-operated calcium entry-associated regulatory factor OS=Homo sapiens GN=TMEM66 PE=1 SV=1 CONCAT=7,Homo sapiens
P55327,C,canonical,  1.000,  1.000,4,  1.303,2,8,8q21,0,0, ,,,P55327,40,11,,,,TPD52_HUMAN Tumor protein D52 OS=Homo sapiens GN=TPD52 PE=1 SV=2 CONCAT=2,Homo sapiens
Q9Y328,C,canonical,  1.000,  1.000,4,  1.466,4,5,5q35.2,0,0, ,,,Q9Y328,41,6,,,,NSG2_HUMAN Neuron-specific protein family member 2 OS=Homo sapiens GN=NSG2 PE=2 SV=1 CONCAT=1,Homo sapiens
Q9UKQ2,C,canonical,  1.000,  1.000,15,  1.128,7,8,8p21.2,24151553,24216531,+,,,Q9UKQ2,42,3,,,,ADA28_HUMAN Disintegrin and metalloproteinase domain-containing protein 28 OS=Homo sapiens GN=ADAM28 PE=2 SV=3 CONCAT=21,Homo sapiens
P34741,C,canonical,  1.000,  1.000,7,  1.710,2,8,8q22.1,97505579,97624000,+,,,P34741,43,6,,,,SDC2_HUMAN Syndecan-2 OS=Homo sapiens GN=SDC2 PE=1 SV=2 CONCAT=8,Homo sapiens
P23193,C,canonical,  1.000,  1.000,3,  0.517,3,8,8q11.23,54879112,54935008,-,,,P23193,44,4,,,,TCEA1_HUMAN Transcription elongation factor A protein 1 OS=Homo sapiens GN=TCEA1 PE=1 SV=2 CONCAT=1,Homo sapiens
P78536,C,canonical,  1.000,  1.000,16,  1.042,9,2,2p25.1,9628615,9695917,-,,,P78536,45,3,,,,ADA17_HUMAN Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens GN=ADAM17 PE=1 SV=1 CONCAT=11,Homo sapiens
Q12874,C,canonical,  1.000,  1.000,2,  0.244,2,1,1p34.3,38422647,38456593,-,,,Q12874,46,3,,,,SF3A3_HUMAN Splicing factor 3A subunit 3 OS=Homo sapiens GN=SF3A3 PE=1 SV=1 CONCAT=1,Homo sapiens
P32418,C,canonical,  1.000,  1.000,13,  0.953,4,2,2p22-p23,0,0, ,,,P32418,47,7,,,,NAC1_HUMAN Sodium/calcium exchanger 1 OS=Homo sapiens GN=SLC8A1 PE=1 SV=3 CONCAT=6,Homo sapiens
O15123,C,canonical,  1.000,  1.000,4,  0.404,3,8,8p23.1,6357172,6420930,-,,,O15123,48,4,,,,ANGP2_HUMAN Angiopoietin-2 OS=Homo sapiens GN=ANGPT2 PE=1 SV=1 CONCAT=7,Homo sapiens
P25189,C,canonical,  1.000,  1.000,7,  1.710,4,1,1q23.3,161274529,161279762,-,,,P25189,49,5,,,,MYP0_HUMAN Myelin protein P0 OS=Homo sapiens GN=MPZ PE=1 SV=1 CONCAT=120,Homo sapiens
Q92729,C,canonical,  1.000,  1.000,21,  0.933,11,1,1p35.3-p35.1,0,0, ,,,Q92729,50,6,,,,PTPRU_HUMAN Receptor-type tyrosine-protein phosphatase U OS=Homo sapiens GN=PTPRU PE=1 SV=2 CONCAT=12,Homo sapiens
P78423,C,canonical,  1.000,  1.000,2,  0.255,2,16,16q21,57406370,57418960,+,,,P78423,51,3,,,,X3CL1_HUMAN Fractalkine OS=Homo sapiens GN=CX3CL1 PE=1 SV=1 CONCAT=9,Homo sapiens
O75594,C,canonical,  1.000,  1.000,5,  1.466,3,19,19q13.32,46522411,46526323,-,,,O75594,52,1,,,,PGRP1_HUMAN Peptidoglycan recognition protein 1 OS=Homo sapiens GN=PGLYRP1 PE=1 SV=1 CONCAT=7,Homo sapiens
Q9UKA4,C,canonical,  1.000,  1.000,3,  0.106,3,13,13q14.11,42846289,42897396,+,,,Q9UKA4,53,1,,,,AKA11_HUMAN A-kinase anchor protein 11 OS=Homo sapiens GN=AKAP11 PE=1 SV=1 CONCAT=4,Homo sapiens
P21583,C,canonical,  1.000,  1.000,4,  0.977,3,12,12q21.32,88890359,88974238,-,,,P21583,54,3,,,,SCF_HUMAN Kit ligand OS=Homo sapiens GN=KITLG PE=1 SV=1 CONCAT=12,Homo sapiens
Q9NTU7,C,canonical,  1.000,  1.000,34,  9.968,7,20,20q13.2,54572496,54580528,-,,,Q9NTU7,55,1,,,,CBLN4_HUMAN Cerebellin-4 OS=Homo sapiens GN=CBLN4 PE=1 SV=1 CONCAT=6,Homo sapiens
P31930,C,canonical,  1.000,  1.000,2,  0.235,2,3,3p21.31,48636436,48647470,-,,,P31930,56,1,,,,"QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3 CONCAT=6",Homo sapiens
Q99946,C,canonical,  1.000,  1.000,10,  3.665,2,6,6p21.31,0,0, ,,,Q99946,57,1,,,,PRRT1_HUMAN Proline-rich transmembrane protein 1 OS=Homo sapiens GN=PRRT1 PE=2 SV=2 CONCAT=2,Homo sapiens
P14174,C,canonical,  1.000,  1.000,24, 14.073,5,22,22q11.23,24236191,24237413,+,,,P14174,58,1,,,,MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4 CONCAT=2,Homo sapiens
Q9NS69,C,canonical,  1.000,  1.000,2,  0.838,2,22,22q13.1,39077953,39080818,+,,,Q9NS69,59,1,,,,TOM22_HUMAN Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens GN=TOMM22 PE=1 SV=3 CONCAT=2,Homo sapiens
P25788,C,canonical,  1.000,  1.000,2,  0.451,2,14,14q23.1,58711549,58738725,+,,,P25788,60,3,,,,PSA3_HUMAN Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2 CONCAT=2,Homo sapiens
Q9UBR2,C,canonical,  1.000,  1.000,143, 29.946,26,20,20q13.32,57570240,57582302,-,,,Q9UBR2,61,1,,,,CATZ_HUMAN Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1 CONCAT=12,Homo sapiens
P01213,C,canonical,  1.000,  1.000,7,  1.710,5,20,20p13,1959405,1974703,-,,,P01213,62,1,,,,PDYN_HUMAN Proenkephalin-B OS=Homo sapiens GN=PDYN PE=1 SV=1 CONCAT=35,Homo sapiens
P01178,C,canonical,  1.000,  1.000,19,  7.958,10,20,20p13,3052266,3053163,+,,,P01178,63,1,,,,NEU1_HUMAN Oxytocin-neurophysin 1 OS=Homo sapiens GN=OXT PE=1 SV=1 CONCAT=10,Homo sapiens
Q9HDC9,C,canonical,  1.000,  1.000,15,  1.912,10,20,20p11.21,24943561,24973615,-,,,Q9HDC9,64,3,,,,APMAP_HUMAN Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2 CONCAT=5,Homo sapiens
Q9NR99,C,canonical,  1.000,  1.000,4,  0.079,4,X,Xp22.33,3226606,3264682,-,,,Q9NR99,65,1,,,,MXRA5_HUMAN Matrix-remodeling-associated protein 5 OS=Homo sapiens GN=MXRA5 PE=2 SV=3 CONCAT=14,Homo sapiens
Q9HC57,C,canonical,  1.000,  1.000,3,  0.977,3,16,16q24.1,84328252,84363450,+,,,Q9HC57,66,1,,,,WFDC1_HUMAN WAP four-disulfide core domain protein 1 OS=Homo sapiens GN=WFDC1 PE=2 SV=2 CONCAT=9,Homo sapiens
Q9UJH8,C,canonical,  1.000,  1.000,13,  3.176,3,16,16p13.3,765115,769655,+,,,Q9UJH8,67,3,,,,METRN_HUMAN Meteorin OS=Homo sapiens GN=METRN PE=2 SV=2 CONCAT=6,Homo sapiens
Q9HD89,C,canonical,  1.000,  1.000,2,  0.838,2,19,19p13.2,7733930,7735334,+,,,Q9HD89,68,1,,,,RETN_HUMAN Resistin OS=Homo sapiens GN=RETN PE=2 SV=1 CONCAT=6,Homo sapiens
P31944,C,canonical,  1.000,  1.000,18,  3.518,9,19,19p13.12,15163015,15166900,+,,,P31944,69,1,,,,CASPE_HUMAN Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2 CONCAT=3,Homo sapiens
Q8NFZ8,C,canonical,  1.000,  1.000,337, 54.889,28,19,19q13.31,44126520,44143991,-,,,Q8NFZ8,70,1,,,,CADM4_HUMAN Cell adhesion molecule 4 OS=Homo sapiens GN=CADM4 PE=1 SV=1 CONCAT=7,Homo sapiens
Q9Y3D6,C,canonical,  1.000,  1.000,3,  1.256,3,7,7q22.1,100882893,100888366,-,,,Q9Y3D6,71,1,,,,FIS1_HUMAN Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2 CONCAT=1,Homo sapiens
P10745,C,canonical,  1.000,  1.000,69,  3.488,30,10,10q11.22,48381487,48390991,-,,,P10745,72,1,,,,RET3_HUMAN Retinol-binding protein 3 OS=Homo sapiens GN=RBP3 PE=1 SV=2 CONCAT=48,Homo sapiens
P43652,C,canonical,  1.000,  1.000,1087, 83.864,93,4,4q13.3,74347400,74369691,+,,,P43652,73,1,,,,AFAM_HUMAN Afamin OS=Homo sapiens GN=AFM PE=1 SV=1 CONCAT=8,Homo sapiens
Q9UMS4,C,canonical,  1.000,  1.000,4,  0.533,3,11,11q12.2,60658202,60674060,-,,,Q9UMS4,74,1,,,,PRP19_HUMAN Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1 CONCAT=2,Homo sapiens
Q9Y5E8,C,canonical,  1.000,  1.000,6,  0.503,4,5,5q31.3,140625147,140627799,+,,,Q9Y5E8,75,1,,,,PCDBF_HUMAN Protocadherin beta-15 OS=Homo sapiens GN=PCDHB15 PE=1 SV=1 CONCAT=10,Homo sapiens
Q9UIQ6,C,canonical,  1.000,  1.000,14,  0.774,12,5,5q15,96271168,96373219,+,,,Q9UIQ6,76,3,,,,LCAP_HUMAN Leucyl-cystinyl aminopeptidase OS=Homo sapiens GN=LNPEP PE=1 SV=3 CONCAT=8,Homo sapiens
P09455,C,canonical,  1.000,  1.000,2,  0.586,2,3,3q23,139243249,139258561,-,,,P09455,77,5,,,,RET1_HUMAN Retinol-binding protein 1 OS=Homo sapiens GN=RBP1 PE=1 SV=2 CONCAT=2,Homo sapiens
Q9BWP8,C,canonical,  1.000,  1.000,11,  2.481,4,2,2p25.3,0,0, ,,,Q9BWP8,78,11,,,,COL11_HUMAN Collectin-11 OS=Homo sapiens GN=COLEC11 PE=1 SV=1 CONCAT=10,Homo sapiens
Q9UPR5,C,canonical,  1.000,  1.000,11,  0.849,5,19,19q13.32,47931274,47975425,-,,,Q9UPR5,79,3,,,,NAC2_HUMAN Sodium/calcium exchanger 2 OS=Homo sapiens GN=SLC8A2 PE=2 SV=2 CONCAT=7,Homo sapiens
P49788,C,canonical,  1.000,  1.000,2,  0.391,2,3,3q25.32,158414681,158450485,-,,,P49788,80,3,,,,TIG1_HUMAN Retinoic acid receptor responder protein 1 OS=Homo sapiens GN=RARRES1 PE=1 SV=2 CONCAT=3,Homo sapiens
P34998,C,canonical,  1.000,  1.000,3,  0.463,2,17,17q21.31,43699267,43912137,+,,,P34998,81,9,,,,CRFR1_HUMAN Corticotropin-releasing factor receptor 1 OS=Homo sapiens GN=CRHR1 PE=1 SV=1 CONCAT=6,Homo sapiens
P04040,C,canonical,  1.000,  1.000,41,  4.007,20,11,11p13,34460472,34493609,+,,,P04040,82,2,,,,CATA_HUMAN Catalase OS=Homo sapiens GN=CAT PE=1 SV=3 CONCAT=2,Homo sapiens
P10124,C,canonical,  1.000,  1.000,13,  7.623,6,10,10q22.1,70847874,70864567,+,,,P10124,83,1,,,,SRGN_HUMAN Serglycin OS=Homo sapiens GN=SRGN PE=1 SV=3 CONCAT=8,Homo sapiens
Q9Y3C5,C,canonical,  1.000,  1.000,3,  1.099,2,1,1p32.3,51701943,51739127,+,,,Q9Y3C5,84,1,,,,RNF11_HUMAN RING finger protein 11 OS=Homo sapiens GN=RNF11 PE=1 SV=1 CONCAT=4,Homo sapiens
P48960,C,canonical,  1.000,  1.000,3,  0.244,3,19,19p13.12,14492256,14519533,+,,,P48960,85,5,,,,CD97_HUMAN CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4 CONCAT=9,Homo sapiens
P19957,C,canonical,  1.000,  1.000,2,  0.977,2,20,20q13.12,43803517,43805185,+,,,P19957,86,1,,,,ELAF_HUMAN Elafin OS=Homo sapiens GN=PI3 PE=1 SV=3 CONCAT=12,Homo sapiens
Q9NZU1,C,canonical,  1.000,  1.000,20,  1.725,12,11,11q13.1,63870660,63886645,+,,,Q9NZU1,87,2,,,,FLRT1_HUMAN Leucine-rich repeat transmembrane protein FLRT1 OS=Homo sapiens GN=FLRT1 PE=1 SV=3 CONCAT=6,Homo sapiens
Q9NS68,C,canonical,  1.000,  1.000,4,  0.652,3,13,13q12.3-q12.11,0,0, ,,,Q9NS68,88,2,,,,TNR19_HUMAN Tumor necrosis factor receptor superfamily member 19 OS=Homo sapiens GN=TNFRSF19 PE=1 SV=1 CONCAT=10,Homo sapiens
Q14314,C,canonical,  1.000,  1.000,15,  2.094,8,7,7q11.23,76822688,76829143,-,,,Q14314,89,1,,,,FGL2_HUMAN Fibroleukin OS=Homo sapiens GN=FGL2 PE=1 SV=1 CONCAT=7,Homo sapiens
Q9UBS3,C,canonical,  1.000,  1.000,3,  0.733,2,7,7q31.1,108210012,108215294,+,,,Q9UBS3,90,1,,,,DNJB9_HUMAN DnaJ homolog subfamily B member 9 OS=Homo sapiens GN=DNAJB9 PE=1 SV=1 CONCAT=7,Homo sapiens
Q15198,C,canonical,  1.000,  1.000,4,  0.690,2,8,8p22,17433942,17500642,+,,,Q15198,91,1,,,,PGFRL_HUMAN Platelet-derived growth factor receptor-like protein OS=Homo sapiens GN=PDGFRL PE=1 SV=1 CONCAT=8,Homo sapiens
O15143,C,canonical,  1.000,  1.000,2,  0.309,2,7,7q22.1,98972298,98992424,+,,,O15143,92,1,,,,ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3 CONCAT=4,Homo sapiens
Q9NYX4,C,canonical,  1.000,  1.000,21,  5.597,7,10,10q26.3,135138927,135150411,-,,,Q9NYX4,93,1,,,,CALY_HUMAN Neuron-specific vesicular protein calcyon OS=Homo sapiens GN=CALY PE=1 SV=1 CONCAT=1,Homo sapiens
Q9HAV5,C,canonical,  1.000,  1.000,7,  1.579,4,X,Xq12,65819326,65835862,-,,,Q9HAV5,94,4,,,,TNR27_HUMAN Tumor necrosis factor receptor superfamily member 27 OS=Homo sapiens GN=EDA2R PE=1 SV=2 CONCAT=3,Homo sapiens
O75973,C,canonical,  1.000,  1.000,18,  3.769,5,17,17q21.31,43037061,43045439,-,,,O75973,95,1,,,,C1QRF_HUMAN C1q-related factor OS=Homo sapiens GN=C1QL1 PE=2 SV=1 CONCAT=6,Homo sapiens
Q8TAB3,C,canonical,  1.000,  1.000,24,  1.303,14,X,Xq22.1,99546644,99665271,-,,,Q8TAB3,96,3,,,,PCD19_HUMAN Protocadherin-19 OS=Homo sapiens GN=PCDH19 PE=1 SV=3 CONCAT=48,Homo sapiens
Q9Y5Y7,C,canonical,  1.000,  1.000,57, 11.141,10,11,11p15.4,10578513,10590238,-,,,Q9Y5Y7,97,1,,,,LYVE1_HUMAN Lymphatic vessel endothelial hyaluronic acid receptor 1 OS=Homo sapiens GN=LYVE1 PE=1 SV=2 CONCAT=9,Homo sapiens
O15204,C,canonical,  1.000,  1.000,21,  2.565,5,8,8p21.2,24241798,24263526,+,,,O15204,98,2,,,,ADEC1_HUMAN ADAM DEC1 OS=Homo sapiens GN=ADAMDEC1 PE=1 SV=2 CONCAT=11,Homo sapiens
Q08554,C,canonical,  1.000,  1.000,46,  2.810,13,18,18q12.1,28709199,28742819,-,,,Q08554,99,2,,,,DSC1_HUMAN Desmocollin-1 OS=Homo sapiens GN=DSC1 PE=1 SV=2 CONCAT=12,Homo sapiens
P36896,C,canonical,  1.000,  1.000,7,  0.892,3,12,12q13.13,52345451,52390862,+,,,P36896,100,6,,,,ACV1B_HUMAN Activin receptor type-1B OS=Homo sapiens GN=ACVR1B PE=1 SV=1 CONCAT=8,Homo sapiens
Q7Z7M9,C,canonical,  1.000,  1.000,12,  0.664,9,2,2q24.1,158114110,158170723,+,,,Q7Z7M9,101,1,,,,GALT5_HUMAN Polypeptide N-acetylgalactosaminyltransferase 5 OS=Homo sapiens GN=GALNT5 PE=1 SV=1 CONCAT=5,Homo sapiens
Q9NYU2,C,canonical,  1.000,  1.000,25,  0.952,15,2,2q14.3,128848885,128953251,+,,,Q9NYU2,102,2,,,,UGGG1_HUMAN UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3 CONCAT=5,Homo sapiens
Q15517,C,canonical,  1.000,  1.000,7,  1.368,4,6,6p21.3,0,0, ,,,Q15517,103,6,,,,CDSN_HUMAN Corneodesmosin OS=Homo sapiens GN=CDSN PE=1 SV=3 CONCAT=20,Homo sapiens
P61160,C,canonical,  1.000,  1.000,3,  0.586,3,2,2p14,65454887,65498387,+,,,P61160,104,5,,,,ARP2_HUMAN Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1 CONCAT=1,Homo sapiens
