"CSF-PR / CSF GEL BOUND FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
17.00,"SINGLE PROTEIN","P01861",""," Ig gamma-4 chain C region (IGHG4_HUMAN)","14","IGHG4",78.59,"true",48.00,1506.00,0.53,21.00,35.92,100.00,,,,,"true"
18.00,"SINGLE PROTEIN","P35527",""," Keratin, type I cytoskeletal 9 (K1C9_HUMAN)","17","KRT9",63.40,"true",48.00,479.00,0.17,76.00,62.03,100.00,,,,,"true"
19.00,"SINGLE PROTEIN","P00738",""," Haptoglobin (HPT_HUMAN)","16","HP",80.54,"true",46.00,787.00,0.44,27.00,45.18,100.00,,,,,"true"
20.00,"SINGLE PROTEIN","P04264",""," Keratin, type II cytoskeletal 1 (K2C1_HUMAN)","12","KRT1",44.57,"true",45.00,777.00,0.23,51.00,66.00,100.00,,,,,"true"
21.00,"SINGLE PROTEIN","P02647",""," Apolipoprotein A-I (APOA1_HUMAN)","11","APOA1",82.77,"true",41.00,1768.00,1.13,7.00,30.76,100.00,,,,,"true"
22.00,"SINGLE PROTEIN","Q9Y6R7",""," IgGFc-binding protein (FCGBP_HUMAN)","19","FCGBP",14.80,"true",40.00,152.00,0.00,510.00,571.64,100.00,,,,,"true"
23.00,"SINGLE PROTEIN","P10909",""," Clusterin (CLUS_HUMAN)","8","CLU",46.10,"true",38.00,687.00,0.37,32.00,52.46,100.00,,,,,"true"
24.00,"SINGLE PROTEIN","P05155",""," Plasma protease C1 inhibitor (IC1_HUMAN)","11","SERPING1",40.40,"true",38.00,537.00,0.26,45.00,55.12,100.00,,,,,"true"
25.00,"SINGLE PROTEIN","P13645",""," Keratin, type I cytoskeletal 10 (K1C10_HUMAN)","17","KRT10",50.51,"true",37.00,494.00,0.15,89.00,58.79,100.00,,,,,"true"
26.00,"SINGLE PROTEIN","P02675",""," Fibrinogen beta chain (FIBB_HUMAN)","4","FGB",56.21,"true",35.00,221.00,0.10,108.00,55.89,100.00,,,,,"true"
27.00,"SINGLE PROTEIN","Q92673",""," Sortilin-related receptor (SORL_HUMAN)","11","SORL1",20.46,"false",35.00,120.00,0.01,384.00,248.27,100.00,,,,,"true"
28.00,"SINGLE PROTEIN","P35908",""," Keratin, type II cytoskeletal 2 epidermal (K22E_HUMAN)","12","KRT2",53.99,"true",35.00,415.00,0.10,104.00,65.39,100.00,,,,,"true"
29.00,"SINGLE PROTEIN","P00739",""," Haptoglobin-related protein (HPTR_HUMAN)","16","HPR",60.34,"true",30.00,402.00,0.09,115.00,39.00,100.00,,,,,"true"
30.00,"SINGLE PROTEIN","P02774",""," Vitamin D-binding protein (VTDB_HUMAN)","4","GC",68.78,"false",29.00,213.00,0.13,98.00,52.93,100.00,,,,,"true"
31.00,"SINGLE PROTEIN","P06396",""," Gelsolin (GELS_HUMAN)","9","GSN",39.64,"true",29.00,163.00,0.07,137.00,85.64,100.00,,,,,"true"
32.00,"SINGLE PROTEIN","P20742",""," Pregnancy zone protein (PZP_HUMAN)","12","PZP",15.11,"true",28.00,720.00,0.03,200.00,163.76,100.00,,,,,"true"
33.00,"SINGLE PROTEIN","Q9NYQ8",""," Protocadherin Fat 2 (FAT2_HUMAN)","5","FAT2",8.37,"false",26.00,105.00,0.00,595.00,479.02,100.00,,,,,"true"
34.00,"SINGLE PROTEIN","P01834",""," Ig kappa chain C region (IGKC_HUMAN)","2","IGKC",94.34,"true",26.00,2126.00,10.95,1.00,11.60,100.00,,,,,"true"
35.00,"SINGLE PROTEIN","P05090",""," Apolipoprotein D (APOD_HUMAN)","3","APOD",54.50,"true",26.00,928.00,1.65,5.00,21.26,100.00,,,,,"true"
36.00,"SINGLE PROTEIN","P02671",""," Fibrinogen alpha chain (FIBA_HUMAN)","4","FGA",29.79,"true",25.00,275.00,0.06,139.00,94.91,100.00,,,,,"true"
37.00,"SINGLE PROTEIN","O75882",""," Attractin (ATRN_HUMAN)","20","ATRN",23.23,"true",25.00,126.00,0.01,254.00,158.43,100.00,,,,,"true"
38.00,"SINGLE PROTEIN","P09871",""," Complement C1s subcomponent (C1S_HUMAN)","12","C1S",36.05,"true",24.00,144.00,0.08,122.00,76.63,100.00,,,,,"true"
39.00,"SINGLE PROTEIN","P02763",""," Alpha-1-acid glycoprotein 1 (A1AG1_HUMAN)","9","ORM1",70.65,"true",23.00,895.00,0.85,11.00,23.50,100.00,,,,,"true"
40.00,"SINGLE PROTEIN","O00533",""," Neural cell adhesion molecule L1-like protein (NCHL1_HUMAN)","3","CHL1",28.48,"true",23.00,96.00,0.01,258.00,134.99,100.00,,,,,"true"
41.00,"SINGLE PROTEIN","P19652",""," Alpha-1-acid glycoprotein 2 (A1AG2_HUMAN)","9","ORM2",71.64,"true",22.00,432.00,0.39,30.00,23.59,100.00,,,,,"true"
42.00,"SINGLE PROTEIN","P04196",""," Histidine-rich glycoprotein (HRG_HUMAN)","3","HRG",40.57,"true",22.00,258.00,0.20,60.00,59.54,100.00,,,,,"true"
43.00,"SINGLE PROTEIN","P02790",""," Hemopexin (HEMO_HUMAN)","11","HPX",58.44,"false",21.00,297.00,0.18,71.00,51.64,100.00,,,,,"true"
44.00,"SINGLE PROTEIN","Q12860",""," Contactin-1 (CNTN1_HUMAN)","12","CNTN1",19.94,"false",20.00,90.00,0.02,241.00,113.25,100.00,,,,,"true"
45.00,"SINGLE PROTEIN","P01042",""," Kininogen-1 (KNG1_HUMAN)","3","KNG1",29.66,"true",20.00,161.00,0.06,142.00,71.91,100.00,,,,,"true"
46.00,"SINGLE PROTEIN","P0CG05",""," Ig lambda-2 chain C regions (LAC2_HUMAN)","22","IGLC2",96.23,"true",20.00,951.00,0.64,19.00,11.29,100.00,,,,,"true"
47.00,"SINGLE PROTEIN","Q08380",""," Galectin-3-binding protein (LG3BP_HUMAN)","17","LGALS3BP",41.54,"false",20.00,196.00,0.09,117.00,65.29,100.00,,,,,"true"
48.00,"SINGLE PROTEIN","P02679",""," Fibrinogen gamma chain (FIBG_HUMAN)","4","FGG",51.66,"false",20.00,266.00,0.13,97.00,51.48,100.00,,,,,"true"
49.00,"SINGLE PROTEIN","P01871",""," Ig mu chain C region (IGHM_HUMAN)","14","IGHM",34.96,"false",20.00,176.00,0.12,100.00,49.28,100.00,,,,,"true"
50.00,"SINGLE PROTEIN","P13647",""," Keratin, type II cytoskeletal 5 (K2C5_HUMAN)","12","KRT5",26.44,"false",20.00,151.00,0.03,193.00,62.34,100.00,,,,,"true"
51.00,"UNRELATED PROTEINS","P0CG04","B9A064"," Ig lambda-1 chain C regions (LAC1_HUMAN)","22","IGLC1",96.23,"true",19.00,696.00,0.75,16.00,11.34,100.00,,,,,"true"
52.00,"SINGLE PROTEIN","P01876",""," Ig alpha-1 chain C region (IGHA1_HUMAN)","14","IGHA1",60.91,"true",19.00,622.00,0.50,23.00,37.63,100.00,,,,,"true"
53.00,"SINGLE PROTEIN","P00450",""," Ceruloplasmin (CERU_HUMAN)","3","CP",20.94,"false",19.00,126.00,0.04,172.00,122.13,100.00,,,,,"true"
54.00,"SINGLE PROTEIN","P00736",""," Complement C1r subcomponent (C1R_HUMAN)","12","C1R",35.60,"false",19.00,92.00,0.04,173.00,80.07,100.00,,,,,"true"
55.00,"SINGLE PROTEIN","P0CG06",""," Ig lambda-3 chain C regions (LAC3_HUMAN)","22","IGLC3",89.62,"true",18.00,942.00,1.00,8.00,11.23,100.00,,,,,"true"
56.00,"SINGLE PROTEIN","P06727",""," Apolipoprotein A-IV (APOA4_HUMAN)","11","APOA4",46.97,"false",18.00,56.00,0.03,194.00,45.37,100.00,,,,,"true"
57.00,"SINGLE PROTEIN","Q99435",""," Protein kinase C-binding protein NELL2 (NELL2_HUMAN)","12","NELL2",27.57,"false",18.00,51.00,0.01,381.00,91.28,100.00,,,,,"true"
58.00,"SINGLE PROTEIN","P02533",""," Keratin, type I cytoskeletal 14 (K1C14_HUMAN)","17","KRT14",35.81,"false",17.00,162.00,0.05,157.00,51.53,100.00,,,,,"true"
59.00,"SINGLE PROTEIN","Q14515",""," SPARC-like protein 1 (SPRL1_HUMAN)","4","SPARCL1",31.48,"false",17.00,52.00,0.01,310.00,75.16,100.00,,,,,"true"
60.00,"SINGLE PROTEIN","P25311",""," Zinc-alpha-2-glycoprotein (ZA2G_HUMAN)","7","AZGP1",52.35,"true",16.00,105.00,0.09,114.00,34.24,100.00,,,,,"true"
61.00,"SINGLE PROTEIN","P08779",""," Keratin, type I cytoskeletal 16 (K1C16_HUMAN)","17","KRT16",36.36,"false",16.00,135.00,0.02,213.00,51.24,100.00,,,,,"true"
62.00,"SINGLE PROTEIN","P01008",""," Antithrombin-III (ANT3_HUMAN)","1","SERPINC1",45.91,"false",15.00,50.00,0.02,222.00,52.57,100.00,,,,,"true"
63.00,"SINGLE PROTEIN","P23142",""," Fibulin-1 (FBLN1_HUMAN)","22","FBLN1",22.62,"true",15.00,52.00,0.01,286.00,77.16,100.00,,,,,"true"
64.00,"SINGLE PROTEIN","P55058",""," Phospholipid transfer protein (PLTP_HUMAN)","20","PLTP",25.56,"false",15.00,81.00,0.03,189.00,54.70,100.00,,,,,"true"
65.00,"SINGLE PROTEIN","P41222",""," Prostaglandin-H2 D-isomerase (PTGDS_HUMAN)","9","PTGDS",55.26,"true",14.00,355.00,0.96,9.00,21.02,100.00,,,,,"true"
66.00,"SINGLE PROTEIN","P02760",""," Protein AMBP (AMBP_HUMAN)","9","AMBP",36.08,"true",14.00,189.00,0.28,40.00,38.97,100.00,,,,,"true"
67.00,"SINGLE PROTEIN","P02538",""," Keratin, type II cytoskeletal 6A (K2C6A_HUMAN)","12","KRT6A",22.70,"false",14.00,131.00,0.02,240.00,60.01,100.00,,,,,"true"
68.00,"SINGLE PROTEIN","P01877",""," Ig alpha-2 chain C region (IGHA2_HUMAN)","14","IGHA2",47.94,"true",14.00,446.00,0.31,36.00,36.50,100.00,,,,,"true"
69.00,"SINGLE PROTEIN","P04217",""," Alpha-1B-glycoprotein (A1BG_HUMAN)","19","A1BG",40.20,"true",14.00,135.00,0.17,75.00,54.22,100.00,,,,,"true"
70.00,"SINGLE PROTEIN","P12109",""," Collagen alpha-1(VI) chain (CO6A1_HUMAN)","21","COL6A1",18.00,"false",13.00,51.00,0.01,342.00,108.46,100.00,,,,,"true"
71.00,"SINGLE PROTEIN","P12259",""," Coagulation factor V (FA5_HUMAN)","1","F5",6.56,"false",13.00,46.00,0.00,474.00,251.55,100.00,,,,,"true"
72.00,"SINGLE PROTEIN","P04075",""," Fructose-bisphosphate aldolase A (ALDOA_HUMAN)","16","ALDOA",43.13,"true",13.00,60.00,0.03,185.00,39.40,100.00,,,,,"true"
73.00,"SINGLE PROTEIN","P01019",""," Angiotensinogen (ANGT_HUMAN)","1","AGT",31.55,"false",12.00,91.00,0.10,105.00,53.12,100.00,,,,,"true"
74.00,"SINGLE PROTEIN","P51693",""," Amyloid-like protein 1 (APLP1_HUMAN)","19","APLP1",26.46,"true",12.00,80.00,0.03,203.00,72.13,100.00,,,,,"true"
75.00,"SINGLE PROTEIN","P00734",""," Prothrombin (THRB_HUMAN)","11","F2",28.78,"false",12.00,34.00,0.02,225.00,69.99,100.00,,,,,"true"
76.00,"SINGLE PROTEIN","P07195",""," L-lactate dehydrogenase B chain (LDHB_HUMAN)","12","LDHB",34.43,"false",12.00,44.00,0.03,179.00,36.62,100.00,,,,,"true"
77.00,"SINGLE PROTEIN","P09972",""," Fructose-bisphosphate aldolase C (ALDOC_HUMAN)","17","ALDOC",37.09,"false",12.00,57.00,0.04,169.00,39.43,100.00,,,,,"true"
78.00,"SINGLE PROTEIN","Q03591",""," Complement factor H-related protein 1 (FHR1_HUMAN)","1","CFHR1",38.79,"true",12.00,77.00,0.04,174.00,37.63,100.00,,,,,"true"
79.00,"SINGLE PROTEIN","Q14624",""," Inter-alpha-trypsin inhibitor heavy chain H4 (ITIH4_HUMAN)","3","ITIH4",16.67,"false",12.00,52.00,0.01,401.00,103.29,100.00,,,,,"true"
80.00,"SINGLE PROTEIN","Q8WVQ1",""," Soluble calcium-activated nucleotidase 1 (CANT1_HUMAN)","17","CANT1",33.67,"false",11.00,30.00,0.01,253.00,44.81,100.00,,,,,"true"
81.00,"SINGLE PROTEIN","P27169",""," Serum paraoxonase/arylesterase 1 (PON1_HUMAN)","7","PON1",49.86,"false",11.00,54.00,0.05,156.00,39.71,100.00,,,,,"true"
82.00,"SINGLE PROTEIN","P01011",""," Alpha-1-antichymotrypsin (AACT_HUMAN)","14","SERPINA3",33.33,"true",11.00,72.00,0.06,147.00,47.62,100.00,,,,,"true"
83.00,"SINGLE PROTEIN","P08123",""," Collagen alpha-2(I) chain (CO1A2_HUMAN)","7","COL1A2",4.32,"true",11.00,153.00,0.03,186.00,129.24,100.00,,,,,"true"
84.00,"SINGLE PROTEIN","P04156",""," Major prion protein (PRIO_HUMAN)","20","PRNP",24.90,"true",11.00,87.00,0.22,52.00,27.64,100.00,,,,,"true"
85.00,"SINGLE PROTEIN","P01034",""," Cystatin-C (CYTC_HUMAN)","20","CST3",56.16,"false",10.00,97.00,0.22,53.00,15.79,100.00,,,,,"true"
86.00,"SINGLE PROTEIN","P02749",""," Beta-2-glycoprotein 1 (APOH_HUMAN)","17","APOH",41.16,"false",10.00,41.00,0.04,162.00,38.27,100.00,,,,,"true"
87.00,"SINGLE PROTEIN","P02652",""," Apolipoprotein A-II (APOA2_HUMAN)","1","APOA2",52.00,"false",10.00,78.00,0.20,63.00,11.17,100.00,,,,,"true"
88.00,"SINGLE PROTEIN","P01620",""," Ig kappa chain V-III region SIE (KV302_HUMAN)","","",59.63,"true",10.00,260.00,0.22,54.00,11.77,100.00,,,,,"true"
89.00,"SINGLE PROTEIN","P18135",""," Ig kappa chain V-III region HAH (KV312_HUMAN)","","",73.64,"true",10.00,165.00,0.14,93.00,14.06,100.00,,,,,"true"
90.00,"SINGLE PROTEIN","Q6UX73",""," UPF0764 protein C16orf89 (CP089_HUMAN)","16","C16ORF89",27.11,"false",10.00,31.00,0.02,237.00,45.36,100.00,,,,,"true"
91.00,"SINGLE PROTEIN","P54289",""," Voltage-dependent calcium channel subunit alpha-2/delta-1 (CA2D1_HUMAN)","7","CACNA2D1",12.42,"false",10.00,32.00,0.01,334.00,124.49,100.00,,,,,"true"
92.00,"SINGLE PROTEIN","P01031",""," Complement C5 (CO5_HUMAN)","9","C5",8.23,"false",9.00,38.00,0.00,440.00,188.19,100.00,,,,,"true"
93.00,"SINGLE PROTEIN","P02452",""," Collagen alpha-1(I) chain (CO1A1_HUMAN)","17","COL1A1",4.92,"true",9.00,176.00,0.03,181.00,138.86,100.00,,,,,"true"
94.00,"SINGLE PROTEIN","O94985",""," Calsyntenin-1 (CSTN1_HUMAN)","1","CLSTN1",12.54,"false",9.00,43.00,0.01,273.00,109.72,100.00,,,,,"true"
95.00,"SINGLE PROTEIN","P02746",""," Complement C1q subcomponent subunit B (C1QB_HUMAN)","1","C1QB",41.50,"false",9.00,55.00,0.10,107.00,26.70,100.00,,,,,"true"
96.00,"SINGLE PROTEIN","Q16270",""," Insulin-like growth factor-binding protein 7 (IBP7_HUMAN)","4","IGFBP7",54.96,"true",9.00,40.00,0.05,155.00,29.11,100.00,,,,,"true"
97.00,"SINGLE PROTEIN","P08294",""," Extracellular superoxide dismutase [Cu-Zn] (SODE_HUMAN)","4","SOD3",44.58,"true",9.00,38.00,0.06,144.00,25.83,100.00,,,,,"true"
98.00,"SINGLE PROTEIN","Q9UBP4",""," Dickkopf-related protein 3 (DKK3_HUMAN)","11","DKK3",32.86,"true",9.00,108.00,0.18,72.00,38.37,100.00,,,,,"true"
99.00,"SINGLE PROTEIN","P18136",""," Ig kappa chain V-III region HIC (KV313_HUMAN)","","",69.77,"true",9.00,162.00,0.17,77.00,14.08,100.00,,,,,"true"
100.00,"SINGLE PROTEIN","P04206",""," Ig kappa chain V-III region GOL (KV307_HUMAN)","","",69.72,"true",9.00,232.00,0.20,62.00,11.82,100.00,,,,,"true"
101.00,"SINGLE PROTEIN","P19823",""," Inter-alpha-trypsin inhibitor heavy chain H2 (ITIH2_HUMAN)","10","ITIH2",10.89,"false",9.00,39.00,0.01,321.00,106.40,100.00,,,,,"true"
102.00,"SINGLE PROTEIN","P04433",""," Ig kappa chain V-III region VG (Fragment) (KV309_HUMAN)","","",55.65,"true",8.00,102.00,0.65,17.00,12.57,100.00,,,,,"true"
103.00,"SINGLE PROTEIN","Q9BXJ1",""," Complement C1q tumor necrosis factor-related protein 1 (C1QT1_HUMAN)","17","C1QTNF1",23.13,"true",8.00,20.00,0.03,192.00,31.72,100.00,,,,,"true"
104.00,"SINGLE PROTEIN","P13591",""," Neural cell adhesion molecule 1 (NCAM1_HUMAN)","11","NCAM1",15.15,"false",8.00,24.00,0.01,291.00,94.52,100.00,,,,,"true"
105.00,"SINGLE PROTEIN","P01594",""," Ig kappa chain V-I region AU (KV102_HUMAN)","","",53.70,"true",8.00,156.00,0.25,46.00,11.93,100.00,,,,,"true"
106.00,"SINGLE PROTEIN","P03952",""," Plasma kallikrein (KLKB1_HUMAN)","4","KLKB1",17.55,"true",8.00,24.00,0.00,450.00,71.32,100.00,,,,,"true"
107.00,"SINGLE PROTEIN","O43866",""," CD5 antigen-like (CD5L_HUMAN)","1","CD5L",37.75,"false",8.00,12.00,0.01,340.00,38.06,100.00,,,,,"true"
108.00,"SINGLE PROTEIN","P08185",""," Corticosteroid-binding globulin (CBG_HUMAN)","14","SERPINA6",37.28,"false",8.00,16.00,0.02,233.00,45.11,100.00,,,,,"true"
109.00,"SINGLE PROTEIN","P00751",""," Complement factor B (CFAB_HUMAN)","6","CFB",15.18,"false",8.00,50.00,0.01,297.00,85.48,100.00,,,,,"true"
110.00,"SINGLE PROTEIN","Q92823",""," Neuronal cell adhesion molecule (NRCAM_HUMAN)","7","NRCAM",8.90,"false",8.00,48.00,0.01,301.00,143.80,100.00,,,,,"true"
111.00,"SINGLE PROTEIN","P10643",""," Complement component C7 (CO7_HUMAN)","5","C7",12.46,"false",8.00,25.00,0.01,331.00,93.46,100.00,,,,,"true"
112.00,"SINGLE PROTEIN","P21333",""," Filamin-A (FLNA_HUMAN)","X","FLNA",4.46,"false",8.00,18.00,0.00,931.00,280.56,100.00,,,,,"true"
113.00,"SINGLE PROTEIN","P55083",""," Microfibril-associated glycoprotein 4 (MFAP4_HUMAN)","17","MFAP4",39.22,"true",8.00,36.00,0.05,150.00,28.63,100.00,,,,,"true"
114.00,"SINGLE PROTEIN","Q04695",""," Keratin, type I cytoskeletal 17 (K1C17_HUMAN)","17","KRT17",14.12,"false",8.00,87.00,0.02,244.00,48.08,100.00,,,,,"true"
115.00,"SINGLE PROTEIN","P04406",""," Glyceraldehyde-3-phosphate dehydrogenase (G3P_HUMAN)","12","GAPDH",28.36,"false",7.00,45.00,0.04,163.00,36.03,100.00,,,,,"true"
116.00,"SINGLE PROTEIN","Q9UM47",""," Neurogenic locus notch homolog protein 3 (NOTC3_HUMAN)","19","NOTCH3",4.52,"false",7.00,20.00,0.00,685.00,243.47,100.00,,,,,"true"
117.00,"SINGLE PROTEIN","P36222",""," Chitinase-3-like protein 1 (CH3L1_HUMAN)","1","CHI3L1",26.63,"false",7.00,15.00,0.01,287.00,42.60,100.00,,,,,"true"
118.00,"SINGLE PROTEIN","P01880",""," Ig delta chain C region (IGHD_HUMAN)","14","IGHD",28.65,"true",7.00,52.00,0.08,121.00,42.23,100.00,,,,,"true"
119.00,"SINGLE PROTEIN","P01614",""," Ig kappa chain V-II region Cum (KV201_HUMAN)","","",39.13,"true",7.00,77.00,0.11,102.00,12.67,100.00,,,,,"true"
120.00,"SINGLE PROTEIN","P01610",""," Ig kappa chain V-I region WEA (KV118_HUMAN)","","",31.48,"true",7.00,147.00,0.20,58.00,11.83,100.00,,,,,"true"
121.00,"SINGLE PROTEIN","P01764",""," Ig heavy chain V-III region 23 (HV303_HUMAN)","","",52.14,"true",7.00,132.00,0.46,24.00,12.57,100.00,,,,,"true"
122.00,"SINGLE PROTEIN","P36955",""," Pigment epithelium-derived factor (PEDF_HUMAN)","17","SERPINF1",20.57,"false",7.00,20.00,0.02,224.00,46.28,100.00,,,,,"true"
123.00,"SINGLE PROTEIN","Q7Z7M0",""," Multiple epidermal growth factor-like domains protein 8 (MEGF8_HUMAN)","19","MEGF8",4.32,"false",7.00,13.00,0.00,851.00,302.90,100.00,,,,,"true"
124.00,"SINGLE PROTEIN","P09668",""," Pro-cathepsin H (CATH_HUMAN)","15","CTSH",18.21,"false",7.00,12.00,0.01,317.00,37.37,100.00,,,,,"true"
125.00,"SINGLE PROTEIN","Q16769",""," Glutaminyl-peptide cyclotransferase (QPCT_HUMAN)","2","QPCT",28.53,"true",7.00,38.00,0.05,153.00,40.85,100.00,,,,,"true"
126.00,"SINGLE PROTEIN","P19827",""," Inter-alpha-trypsin inhibitor heavy chain H1 (ITIH1_HUMAN)","3","ITIH1",11.53,"false",7.00,25.00,0.01,382.00,101.33,100.00,,,,,"true"
127.00,"SINGLE PROTEIN","P04004",""," Vitronectin (VTNC_HUMAN)","17","VTN",20.08,"false",7.00,37.00,0.02,209.00,54.27,100.00,,,,,"true"
128.00,"SINGLE PROTEIN","Q9Y4C0",""," Neurexin-3 (NRX3A_HUMAN)","14","NRXN3",4.87,"true",6.00,29.00,0.01,346.00,180.48,100.00,,,,,"true"
129.00,"SINGLE PROTEIN","P04431",""," Ig kappa chain V-I region Walker (KV123_HUMAN)","","",27.13,"true",6.00,32.00,0.07,135.00,14.06,100.00,,,,,"true"
130.00,"SINGLE PROTEIN","Q96S96",""," Phosphatidylethanolamine-binding protein 4 (PEBP4_HUMAN)","8","PEBP4",35.68,"false",6.00,21.00,0.04,170.00,25.72,100.00,,,,,"true"
131.00,"SINGLE PROTEIN","P02765",""," Alpha-2-HS-glycoprotein (FETUA_HUMAN)","3","AHSG",19.89,"false",6.00,35.00,0.03,206.00,39.30,100.00,,,,,"true"
132.00,"SINGLE PROTEIN","P01593",""," Ig kappa chain V-I region AG (KV101_HUMAN)","","",31.48,"true",6.00,144.00,0.25,47.00,11.98,100.00,,,,,"true"
133.00,"SINGLE PROTEIN","P15924",""," Desmoplakin (DESP_HUMAN)","6","DSP",3.20,"false",6.00,18.00,0.00,920.00,331.57,100.00,,,,,"true"
134.00,"SINGLE PROTEIN","A0M8Q6",""," Ig lambda-7 chain C region (LAC7_HUMAN)","22","IGLC7",55.66,"true",6.00,709.00,0.60,20.00,11.30,100.00,,,,,"true"
135.00,"SINGLE PROTEIN","P01621",""," Ig kappa chain V-III region NG9 (Fragment) (KV303_HUMAN)","","",55.00,"true",6.00,67.00,0.08,128.00,10.72,100.00,,,,,"true"
136.00,"SINGLE PROTEIN","P01781",""," Ig heavy chain V-III region GAL (HV320_HUMAN)","","",43.97,"false",6.00,104.00,0.44,25.00,12.72,100.00,,,,,"true"
137.00,"SINGLE PROTEIN","P36980",""," Complement factor H-related protein 2 (FHR2_HUMAN)","1","CFHR2",27.41,"false",6.00,31.00,0.03,205.00,30.63,100.00,,,,,"true"
138.00,"SINGLE PROTEIN","Q07954",""," Prolow-density lipoprotein receptor-related protein 1 (LRP1_HUMAN)","12","LRP1",1.54,"false",6.00,37.00,0.00,968.00,504.28,100.00,,,,,"true"
139.00,"SINGLE PROTEIN","P06310",""," Ig kappa chain V-II region RPMI 6410 (KV206_HUMAN)","","",47.37,"true",6.00,82.00,0.18,67.00,14.70,100.00,,,,,"true"
140.00,"SINGLE PROTEIN","Q9P2S2",""," Neurexin-2 (NRX2A_HUMAN)","11","NRXN2",4.61,"false",6.00,23.00,0.00,708.00,184.87,100.00,,,,,"true"
141.00,"SINGLE PROTEIN","P18065",""," Insulin-like growth factor-binding protein 2 (IBP2_HUMAN)","2","IGFBP2",30.46,"false",6.00,25.00,0.04,167.00,34.79,100.00,,,,,"true"
142.00,"SINGLE PROTEIN","Q15166",""," Serum paraoxonase/lactonase 3 (PON3_HUMAN)","7","PON3",14.41,"false",6.00,20.00,0.02,215.00,39.58,100.00,,,,,"true"
143.00,"SINGLE PROTEIN","P04207",""," Ig kappa chain V-III region CLL (KV308_HUMAN)","","",33.33,"true",6.00,68.00,0.16,83.00,14.27,100.00,,,,,"true"
