CSF-PR / CSF MIXED-MODE BOUND FRACTION / Proteins / 
index,PI,Accession,Other Protein(s),Description,CHROMOSOME,Gene Name,Coverage(%),Non Enzymatic Peptides,#Peptides,#Spectra,NSAF,RANK (NSAF),MW,Confidence,Spectrum Lower Range,Spectrum Upper Range,Peptide Lower Range,Peptide Upper Range,Validated
97.00,SINGLE PROTEIN,P00736,, Complement C1r subcomponent (C1R_HUMAN),12,C1R,13.33,false,6.00,6.00,0.00,106.00,80.07,83.18,,,,,true
98.00,SINGLE PROTEIN,P36955,, Pigment epithelium-derived factor (PEDF_HUMAN),17,SERPINF1,15.55,true,8.00,33.00,0.04,44.00,46.28,83.13,,,,,true
99.00,SINGLE PROTEIN,P55058,, Phospholipid transfer protein (PLTP_HUMAN),20,PLTP,16.43,false,7.00,14.00,0.01,70.00,54.70,82.23,,,,,true
100.00,SINGLE PROTEIN,P01861,, Ig gamma-4 chain C region (IGHG4_HUMAN),14,IGHG4,69.42,true,31.00,171.00,0.05,30.00,35.92,81.98,,,,,true
101.00,SINGLE PROTEIN,P10643,, Complement component C7 (CO7_HUMAN),5,C7,9.25,false,4.00,12.00,0.01,98.00,93.46,81.74,,,,,true
102.00,SINGLE PROTEIN,Q96KN2,, Beta-Ala-His dipeptidase (CNDP1_HUMAN),18,CNDP1,14.20,false,8.00,18.00,0.02,63.00,56.67,81.19,,,,,true
103.00,SINGLE PROTEIN,P08294,, Extracellular superoxide dismutase [Cu-Zn] (SODE_HUMAN),4,SOD3,25.83,false,4.00,12.00,0.02,62.00,25.83,81.14,,,,,true
104.00,SINGLE PROTEIN,P01031,, Complement C5 (CO5_HUMAN),9,C5,5.49,true,4.00,7.00,0.00,113.00,188.19,81.10,,,,,true
105.00,SINGLE PROTEIN,P27797,, Calreticulin (CALR_HUMAN),19,CALR,10.07,false,5.00,14.00,0.02,59.00,48.11,81.09,,,,,true
106.00,SINGLE PROTEIN,P08697,, Alpha-2-antiplasmin (A2AP_HUMAN),17,SERPINF2,15.07,true,5.00,16.00,0.03,51.00,54.53,81.05,,,,,true
107.00,SINGLE PROTEIN,Q15582,, Transforming growth factor-beta-induced protein ig-h3 (BGH3_HUMAN),5,TGFBI,9.81,false,4.00,20.00,0.02,57.00,74.63,81.03,,,,,true
108.00,SINGLE PROTEIN,Q9NQ79,, Cartilage acidic protein 1 (CRAC1_HUMAN),10,CRTAC1,16.04,true,8.00,41.00,0.06,23.00,71.38,81.01,,,,,true
109.00,SINGLE PROTEIN,P23142,, Fibulin-1 (FBLN1_HUMAN),22,FBLN1,10.10,true,4.00,14.00,0.01,75.00,77.16,80.99,,,,,true
110.00,SINGLE PROTEIN,Q07954,, Prolow-density lipoprotein receptor-related protein 1 (LRP1_HUMAN),12,LRP1,0.40,false,1.00,1.00,0.00,116.00,504.28,80.99,,,,,true
111.00,SINGLE PROTEIN,P01860,, Ig gamma-3 chain C region (IGHG3_HUMAN),14,IGHG3,75.60,true,33.00,195.00,0.04,38.00,41.26,80.98,,,,,true
112.00,SINGLE PROTEIN,Q12805,, EGF-containing fibulin-like extracellular matrix protein 1 (FBLN3_HUMAN),2,EFEMP1,16.84,true,6.00,11.00,0.01,81.00,54.60,80.95,,,,,true
113.00,SINGLE PROTEIN,Q92673,, Sortilin-related receptor (SORL_HUMAN),11,SORL1,2.08,false,4.00,6.00,0.00,112.00,248.27,80.92,,,,,true
114.00,SINGLE PROTEIN,P25311,, Zinc-alpha-2-glycoprotein (ZA2G_HUMAN),7,AZGP1,27.52,true,7.00,19.00,0.02,67.00,34.24,80.88,,,,,true
115.00,SINGLE PROTEIN,P02760,, Protein AMBP (AMBP_HUMAN),9,AMBP,17.90,true,6.00,41.00,0.10,13.00,38.97,80.88,,,,,true
116.00,SINGLE PROTEIN,O75882,, Attractin (ATRN_HUMAN),20,ATRN,2.73,false,3.00,6.00,0.00,110.00,158.43,80.87,,,,,true
117.00,SINGLE PROTEIN,P51693,, Amyloid-like protein 1 (APLP1_HUMAN),19,APLP1,14.62,false,6.00,11.00,0.01,87.00,72.13,80.77,,,,,true
