Accession;Protein Name;Molecular Weight;Protein Grouping Ambiguity;Flow-through Proteins;Original Proteins;Bound Proteins;Commonly identifiable proteins in normal CSF
O14672;Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens GN=ADAM10 PE=1 SV=1;84 kDa;;14;7;5;Yes
O14737;Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5 PE=1 SV=3;14 kDa;;2;3;;
O14745;Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens GN=SLC9A3R1 PE=1 SV=4;39 kDa;;4;4;0;Yes
O14773;Tripeptidyl-peptidase 1 OS=Homo sapiens GN=TPP1 PE=1 SV=2;61 kDa;;14;13;3;Yes
O14786;Neuropilin-1 OS=Homo sapiens GN=NRP1 PE=1 SV=3;103 kDa;TRUE;19;13;;Yes
O14791;Apolipoprotein L1 OS=Homo sapiens GN=APOL1 PE=1 SV=5;44 kDa;;5;6;7;Yes
O14792;Heparan sulfate glucosamine 3-O-sulfotransferase 1 OS=Homo sapiens GN=HS3ST1 PE=1 SV=1;36 kDa;;3;;;
O14793;Growth/differentiation factor 8 OS=Homo sapiens GN=MSTN PE=1 SV=1;43 kDa;TRUE;11;6;;Yes
O14908;Cluster of PDZ domain-containing protein GIPC1 OS=Homo sapiens GN=GIPC1 PE=1 SV=2 (O14908);36 kDa;TRUE;2;;0;
O14917;Protocadherin-17 OS=Homo sapiens GN=PCDH17 PE=2 SV=2;126 kDa;TRUE;23;20;6;Yes
O14950;Cluster of Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2 (O14950);20 kDa;TRUE;3;1;;
O14979;Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRPDL PE=1 SV=3;46 kDa;TRUE;1;0;3;
O15031;Plexin-B2 OS=Homo sapiens GN=PLXNB2 PE=1 SV=3;205 kDa;;41;40;4;Yes
O15041;Semaphorin-3E OS=Homo sapiens GN=SEMA3E PE=2 SV=1;89 kDa;TRUE;12;1;0;Yes
O15067;Phosphoribosylformylglycinamidine synthase OS=Homo sapiens GN=PFAS PE=1 SV=4;145 kDa;;2;0;;
O15072;A disintegrin and metalloproteinase with thrombospondin motifs 3 OS=Homo sapiens GN=ADAMTS3 PE=2 SV=4;136 kDa;;1;3;;
O15075;Serine/threonine-protein kinase DCLK1 OS=Homo sapiens GN=DCLK1 PE=1 SV=2;82 kDa;TRUE;2;;0;
O15118;Niemann-Pick C1 protein OS=Homo sapiens GN=NPC1 PE=1 SV=2;142 kDa;;3;3;;
O15123;Angiopoietin-2 OS=Homo sapiens GN=ANGPT2 PE=1 SV=1;57 kDa;;7;1;;
O15126;Secretory carrier-associated membrane protein 1 OS=Homo sapiens GN=SCAMP1 PE=1 SV=2;38 kDa;;2;1;;
O15143;Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3;41 kDa;;2;;;
O15144;Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1;34 kDa;;6;0;;
O15197;Ephrin type-B receptor 6 OS=Homo sapiens GN=EPHB6 PE=1 SV=4;111 kDa;TRUE;12;13;;Yes
O15204;ADAM DEC1 OS=Homo sapiens GN=ADAMDEC1 PE=1 SV=2;53 kDa;;3;5;;
O15230;Laminin subunit alpha-5 OS=Homo sapiens GN=LAMA5 PE=1 SV=8;400 kDa;TRUE;54;30;5;Yes
O15232;Matrilin-3 OS=Homo sapiens GN=MATN3 PE=1 SV=2;53 kDa;;8;1;;Yes
O15240;Neurosecretory protein VGF OS=Homo sapiens GN=VGF PE=1 SV=2;67 kDa;;31;27;5;Yes
O15335;Chondroadherin OS=Homo sapiens GN=CHAD PE=2 SV=2;40 kDa;;9;7;0;Yes
O15347;High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4;23 kDa;TRUE;3;;4;
O15354;Probable G-protein coupled receptor 37 OS=Homo sapiens GN=GPR37 PE=1 SV=2;67 kDa;;7;8;;Yes
O15382;Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens GN=BCAT2 PE=1 SV=2;44 kDa;;2;;;
O15394;Neural cell adhesion molecule 2 OS=Homo sapiens GN=NCAM2 PE=1 SV=2;93 kDa;TRUE;41;35;6;Yes
O15400;Syntaxin-7 OS=Homo sapiens GN=STX7 PE=1 SV=4;30 kDa;;5;4;;Yes
O15455;Toll-like receptor 3 OS=Homo sapiens GN=TLR3 PE=1 SV=1;104 kDa;;7;;;
O15466;Alpha-2,8-sialyltransferase 8E OS=Homo sapiens GN=ST8SIA5 PE=2 SV=2;44 kDa;TRUE;8;6;2;Yes
O15498;Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1;22 kDa;;4;1;;
O15520;Fibroblast growth factor 10 OS=Homo sapiens GN=FGF10 PE=1 SV=1;23 kDa;;2;;;
O15528;25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial OS=Homo sapiens GN=CYP27B1 PE=1 SV=1;57 kDa;;2;;;
O15540;Fatty acid-binding protein, brain OS=Homo sapiens GN=FABP7 PE=1 SV=3;15 kDa;;5;5;;
O43155;Leucine-rich repeat transmembrane protein FLRT2 OS=Homo sapiens GN=FLRT2 PE=1 SV=1;74 kDa;;14;5;;Yes
O43157;Plexin-B1 OS=Homo sapiens GN=PLXNB1 PE=1 SV=3;232 kDa;TRUE;17;9;2;Yes
O43173;Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase OS=Homo sapiens GN=ST8SIA3 PE=2 SV=3;44 kDa;TRUE;14;5;3;Yes
O43184;Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens GN=ADAM12 PE=1 SV=3;100 kDa;;2;;0;
O43240;Kallikrein-10 OS=Homo sapiens GN=KLK10 PE=1 SV=3;30 kDa;;5;2;;
O43278;Kunitz-type protease inhibitor 1 OS=Homo sapiens GN=SPINT1 PE=1 SV=2;58 kDa;;19;9;;
O43286;Beta-1,4-galactosyltransferase 5 OS=Homo sapiens GN=B4GALT5 PE=2 SV=1;45 kDa;TRUE;5;2;1;
O43291;Kunitz-type protease inhibitor 2 OS=Homo sapiens GN=SPINT2 PE=1 SV=2;28 kDa;;6;5;;Yes
O43300;Leucine-rich repeat transmembrane neuronal protein 2 OS=Homo sapiens GN=LRRTM2 PE=2 SV=3;59 kDa;TRUE;12;5;0;Yes
O43323;Desert hedgehog protein OS=Homo sapiens GN=DHH PE=1 SV=1;44 kDa;;1;2;0;
O43396;Thioredoxin-like protein 1 OS=Homo sapiens GN=TXNL1 PE=1 SV=3;32 kDa;;5;2;1;
O43399;Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2;22 kDa;;4;;;
O43405;Cochlin OS=Homo sapiens GN=COCH PE=1 SV=1;59 kDa;;14;6;0;Yes
O43424;Glutamate receptor delta-2 subunit OS=Homo sapiens GN=GRID2 PE=2 SV=2;113 kDa;;6;2;;
O43432;Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3 PE=1 SV=2;177 kDa;;0;2;1;
O43464;Serine protease HTRA2, mitochondrial OS=Homo sapiens GN=HTRA2 PE=1 SV=2;49 kDa;TRUE;3;;;
O43490;Prominin-1 OS=Homo sapiens GN=PROM1 PE=1 SV=1;97 kDa;;2;;;
O43491;Band 4.1-like protein 2 OS=Homo sapiens GN=EPB41L2 PE=1 SV=1;113 kDa;TRUE;4;1;0;
O43493;Trans-Golgi network integral membrane protein 2 OS=Homo sapiens GN=TGOLN2 PE=1 SV=2;51 kDa;;14;19;1;Yes
O43504;Hepatitis B virus X-interacting protein OS=Homo sapiens GN=HBXIP PE=1 SV=1;10 kDa;;3;1;;
O43505;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase OS=Homo sapiens GN=B3GNT1 PE=1 SV=1;47 kDa;;18;25;9;Yes
O43508;Tumor necrosis factor ligand superfamily member 12 OS=Homo sapiens GN=TNFSF12 PE=1 SV=1;27 kDa;;2;1;;
O43529;Carbohydrate sulfotransferase 10 OS=Homo sapiens GN=CHST10 PE=1 SV=1;42 kDa;;13;6;1;Yes
O43556;Epsilon-sarcoglycan OS=Homo sapiens GN=SGCE PE=1 SV=6;50 kDa;;8;6;;
O43567;E3 ubiquitin-protein ligase RNF13 OS=Homo sapiens GN=RNF13 PE=1 SV=1;43 kDa;;3;3;;Yes
O43570;Carbonic anhydrase 12 OS=Homo sapiens GN=CA12 PE=1 SV=1;39 kDa;;5;1;;
O43602;Neuronal migration protein doublecortin OS=Homo sapiens GN=DCX PE=1 SV=3;49 kDa;TRUE;3;;2;
O43665;Regulator of G-protein signaling 10 OS=Homo sapiens GN=RGS10 PE=1 SV=2;20 kDa;;3;2;;
O43707;Cluster of Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2 (O43707);105 kDa;TRUE;15;1;1;
O43736;Integral membrane protein 2A OS=Homo sapiens GN=ITM2A PE=1 SV=2;30 kDa;;5;1;3;
O43752;Syntaxin-6 OS=Homo sapiens GN=STX6 PE=1 SV=1;29 kDa;;5;1;;
O43827;Angiopoietin-related protein 7 OS=Homo sapiens GN=ANGPTL7 PE=1 SV=1;40 kDa;;6;6;;Yes
O43852;Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2;37 kDa;;5;2;;
O43854;EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens GN=EDIL3 PE=1 SV=1;54 kDa;;6;6;1;
O43866;CD5 antigen-like OS=Homo sapiens GN=CD5L PE=1 SV=1;38 kDa;;4;10;8;Yes
O43909;Exostosin-like 3 OS=Homo sapiens GN=EXTL3 PE=2 SV=1;105 kDa;;14;6;0;
O43915;Vascular endothelial growth factor D OS=Homo sapiens GN=FIGF PE=1 SV=1;40 kDa;;2;;1;
O43916;Carbohydrate sulfotransferase 1 OS=Homo sapiens GN=CHST1 PE=1 SV=1;47 kDa;;5;1;;Yes
O60234;Glia maturation factor gamma OS=Homo sapiens GN=GMFG PE=1 SV=1;17 kDa;TRUE;2;1;1;
O60241;Brain-specific angiogenesis inhibitor 2 OS=Homo sapiens GN=BAI2 PE=2 SV=2;173 kDa;TRUE;8;5;1;Yes
O60242;Brain-specific angiogenesis inhibitor 3 OS=Homo sapiens GN=BAI3 PE=1 SV=2;172 kDa;TRUE;14;8;;Yes
O60243;Heparan-sulfate 6-O-sulfotransferase 1 OS=Homo sapiens GN=HS6ST1 PE=2 SV=5;48 kDa;TRUE;6;2;1;
O60245;Protocadherin-7 OS=Homo sapiens GN=PCDH7 PE=1 SV=2;116 kDa;;15;13;3;Yes
O60259;Kallikrein-8 OS=Homo sapiens GN=KLK8 PE=1 SV=1;28 kDa;;3;;;
O60279;Sushi domain-containing protein 5 OS=Homo sapiens GN=SUSD5 PE=1 SV=3;68 kDa;;17;8;;Yes
O60291;E3 ubiquitin-protein ligase MGRN1 OS=Homo sapiens GN=MGRN1 PE=1 SV=2;61 kDa;TRUE;3;1;;
O60337;E3 ubiquitin-protein ligase MARCH6 OS=Homo sapiens GN=MARCH6 PE=1 SV=2;103 kDa;;2;;;
O60449;Lymphocyte antigen 75 OS=Homo sapiens GN=LY75 PE=1 SV=3;198 kDa;;14;2;0;
O60462;Neuropilin-2 OS=Homo sapiens GN=NRP2 PE=1 SV=2;105 kDa;TRUE;20;16;;Yes
O60469;Down syndrome cell adhesion molecule OS=Homo sapiens GN=DSCAM PE=1 SV=2;222 kDa;TRUE;12;2;0;Yes
O60476;Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB OS=Homo sapiens GN=MAN1A2 PE=2 SV=1;73 kDa;TRUE;12;8;;Yes
O60477;Deleted in bladder cancer protein 1 OS=Homo sapiens GN=DBC1 PE=1 SV=2;89 kDa;TRUE;12;4;;
O60486;Plexin-C1 OS=Homo sapiens GN=PLXNC1 PE=1 SV=1;176 kDa;;8;2;;
O60507;Protein-tyrosine sulfotransferase 1 OS=Homo sapiens GN=TPST1 PE=2 SV=1;42 kDa;TRUE;5;0;;
O60512;Beta-1,4-galactosyltransferase 3 OS=Homo sapiens GN=B4GALT3 PE=1 SV=2;44 kDa;;6;1;0;
O60513;Beta-1,4-galactosyltransferase 4 OS=Homo sapiens GN=B4GALT4 PE=1 SV=1;40 kDa;;3;1;;
O60568;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Homo sapiens GN=PLOD3 PE=1 SV=1;85 kDa;;23;17;2;Yes
O60609;GDNF family receptor alpha-3 OS=Homo sapiens GN=GFRA3 PE=1 SV=2;45 kDa;;9;6;0;
O60613;15 kDa selenoprotein OS=Homo sapiens GN=SEP15 PE=1 SV=3;18 kDa;;4;4;;
O60641;Clathrin coat assembly protein AP180 OS=Homo sapiens GN=SNAP91 PE=1 SV=2;93 kDa;TRUE;2;;;
O60664;Perilipin-3 OS=Homo sapiens GN=PLIN3 PE=1 SV=3;47 kDa;;3;1;;
O60687;Sushi repeat-containing protein SRPX2 OS=Homo sapiens GN=SRPX2 PE=1 SV=1;53 kDa;;5;;;
O60704;Protein-tyrosine sulfotransferase 2 OS=Homo sapiens GN=TPST2 PE=1 SV=1;42 kDa;TRUE;6;2;;
O60784;Target of Myb protein 1 OS=Homo sapiens GN=TOM1 PE=1 SV=2;54 kDa;;2;0;;
O60844;Zymogen granule membrane protein 16 OS=Homo sapiens GN=ZG16 PE=1 SV=1;18 kDa;;3;;;
O60883;Endothelin B receptor-like protein 2 OS=Homo sapiens GN=GPR37L1 PE=1 SV=2;53 kDa;;2;;;
O60884;DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1;46 kDa;;2;0;;
O60888;Protein CutA OS=Homo sapiens GN=CUTA PE=1 SV=2;19 kDa;;6;6;1;Yes
O60909;Beta-1,4-galactosyltransferase 2 OS=Homo sapiens GN=B4GALT2 PE=1 SV=1;42 kDa;;5;;;
O60928;Inward rectifier potassium channel 13 OS=Homo sapiens GN=KCNJ13 PE=1 SV=1;41 kDa;;2;;1;
O60938;Keratocan OS=Homo sapiens GN=KERA PE=1 SV=1;41 kDa;;2;1;;
O60939;Sodium channel subunit beta-2 OS=Homo sapiens GN=SCN2B PE=1 SV=1;24 kDa;;3;3;2;Yes
O75019;Leukocyte immunoglobulin-like receptor subfamily A member 1 OS=Homo sapiens GN=LILRA1 PE=2 SV=1;53 kDa;TRUE;4;;;
O75023;Leukocyte immunoglobulin-like receptor subfamily B member 5 OS=Homo sapiens GN=LILRB5 PE=1 SV=1;64 kDa;;3;;;
O75051;Plexin-A2 OS=Homo sapiens GN=PLXNA2 PE=1 SV=4;211 kDa;TRUE;19;4;;
O75063;Glycosaminoglycan xylosylkinase OS=Homo sapiens GN=FAM20B PE=1 SV=1;46 kDa;;8;7;;Yes
O75071;EF-hand domain-containing protein KIAA0494 OS=Homo sapiens GN=KIAA0494 PE=1 SV=1;55 kDa;;4;6;;Yes
O75077;Disintegrin and metalloproteinase domain-containing protein 23 OS=Homo sapiens GN=ADAM23 PE=1 SV=1;92 kDa;;13;7;0;Yes
O75078;Disintegrin and metalloproteinase domain-containing protein 11 OS=Homo sapiens GN=ADAM11 PE=2 SV=3;83 kDa;;16;13;;Yes
O75083;WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4;66 kDa;;11;6;2;
O75093;Slit homolog 1 protein OS=Homo sapiens GN=SLIT1 PE=2 SV=4;168 kDa;TRUE;3;2;1;
O75094;Slit homolog 3 protein OS=Homo sapiens GN=SLIT3 PE=2 SV=3;168 kDa;;9;3;0;
O75095;Multiple epidermal growth factor-like domains protein 6 OS=Homo sapiens GN=MEGF6 PE=1 SV=4;161 kDa;;8;3;1;
O75096;Low-density lipoprotein receptor-related protein 4 OS=Homo sapiens GN=LRP4 PE=1 SV=4;212 kDa;;19;7;;
O75122;CLIP-associating protein 2 OS=Homo sapiens GN=CLASP2 PE=1 SV=2;141 kDa;TRUE;2;0;0;
O75129;Astrotactin-2 OS=Homo sapiens GN=ASTN2 PE=2 SV=2;148 kDa;;16;5;;
O75144;ICOS ligand OS=Homo sapiens GN=ICOSLG PE=1 SV=2;33 kDa;;5;4;1;Yes
O75173;A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Homo sapiens GN=ADAMTS4 PE=1 SV=3;90 kDa;;3;2;2;Yes
O75190;Cluster of DnaJ homolog subfamily B member 6 OS=Homo sapiens GN=DNAJB6 PE=1 SV=2 (O75190);36 kDa;TRUE;2;0;;
O75223;Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1;21 kDa;;6;5;1;Yes
O75326;Semaphorin-7A OS=Homo sapiens GN=SEMA7A PE=1 SV=1;75 kDa;;35;37;2;Yes
O75339;Cartilage intermediate layer protein 1 OS=Homo sapiens GN=CILP PE=1 SV=4;133 kDa;TRUE;10;1;0;
O75340;Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1;22 kDa;;2;;1;
O75347;Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3;13 kDa;;7;5;;Yes
O75354;Ectonucleoside triphosphate diphosphohydrolase 6 OS=Homo sapiens GN=ENTPD6 PE=1 SV=3;53 kDa;;7;6;1;
O75368;SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1;13 kDa;;6;4;;
O75369;Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2;278 kDa;TRUE;10;2;1;
O75436;Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=1 SV=2;38 kDa;TRUE;4;;;
O75475;PC4 and SFRS1-interacting protein OS=Homo sapiens GN=PSIP1 PE=1 SV=1;60 kDa;TRUE;1;0;2;
O75487;Glypican-4 OS=Homo sapiens GN=GPC4 PE=1 SV=4;62 kDa;TRUE;8;6;1;
O75493;Carbonic anhydrase-related protein 11 OS=Homo sapiens GN=CA11 PE=1 SV=2;36 kDa;;5;3;2;Yes
O75494;Serine/arginine-rich splicing factor 10 OS=Homo sapiens GN=SRSF10 PE=1 SV=1;31 kDa;TRUE;1;0;2;
O75503;Ceroid-lipofuscinosis neuronal protein 5 OS=Homo sapiens GN=CLN5 PE=1 SV=2;41 kDa;;8;7;;
O75509;Tumor necrosis factor receptor superfamily member 21 OS=Homo sapiens GN=TNFRSF21 PE=1 SV=1;72 kDa;;11;4;0;Yes
O75581;Low-density lipoprotein receptor-related protein 6 OS=Homo sapiens GN=LRP6 PE=1 SV=2;180 kDa;TRUE;7;;;
O75594;Peptidoglycan recognition protein 1 OS=Homo sapiens GN=PGLYRP1 PE=1 SV=1;22 kDa;;3;;1;
O75629;Protein CREG1 OS=Homo sapiens GN=CREG1 PE=1 SV=1;24 kDa;;4;;;Yes
O75636;Ficolin-3 OS=Homo sapiens GN=FCN3 PE=1 SV=2;33 kDa;;7;3;;Yes
O75663;TIP41-like protein OS=Homo sapiens GN=TIPRL PE=1 SV=2;31 kDa;;3;;;
O75695;Protein XRP2 OS=Homo sapiens GN=RP2 PE=1 SV=4;40 kDa;;2;;;
O75711;Scrapie-responsive protein 1 OS=Homo sapiens GN=SCRG1 PE=1 SV=1;11 kDa;;4;4;1;Yes
O75718;Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1;47 kDa;;3;1;;
O75752;UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1 OS=Homo sapiens GN=B3GALNT1 PE=1 SV=1;40 kDa;;9;6;1;Yes
O75781;Paralemmin-1 OS=Homo sapiens GN=PALM PE=1 SV=2;42 kDa;;4;1;;
O75787;Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2;39 kDa;;12;13;5;Yes
O75828;Carbonyl reductase [NADPH] 3 OS=Homo sapiens GN=CBR3 PE=1 SV=3;31 kDa;TRUE;5;2;1;
O75830;Serpin I2 OS=Homo sapiens GN=SERPINI2 PE=2 SV=1;46 kDa;TRUE;2;;;
O75874;Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2;47 kDa;TRUE;15;6;0;Yes
O75882;Attractin OS=Homo sapiens GN=ATRN PE=1 SV=2;159 kDa;;31;33;16;Yes
O75891;Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Homo sapiens GN=ALDH1L1 PE=1 SV=2;99 kDa;;2;0;;
