"CSF-PR / CSF GEL DEPLETED FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
14.00,"SINGLE PROTEIN","P02790",""," Hemopexin (HEMO_HUMAN)","11","HPX",80.74,"true",112.00,3223.00,1.15,8.00,51.64,100.00,,,,,"true"
15.00,"SINGLE PROTEIN","Q07954",""," Prolow-density lipoprotein receptor-related protein 1 (LRP1_HUMAN)","12","LRP1",25.88,"true",110.00,425.00,0.00,1559.00,504.28,100.00,,,,,"true"
16.00,"SINGLE PROTEIN","Q9NYQ8",""," Protocadherin Fat 2 (FAT2_HUMAN)","5","FAT2",28.12,"true",109.00,375.00,0.01,1301.00,479.02,100.00,,,,,"true"
17.00,"SINGLE PROTEIN","P02774",""," Vitamin D-binding protein (VTDB_HUMAN)","4","GC",83.97,"true",108.00,1957.00,0.60,21.00,52.93,100.00,,,,,"true"
18.00,"SINGLE PROTEIN","P01019",""," Angiotensinogen (ANGT_HUMAN)","1","AGT",77.32,"true",105.00,3385.00,3.98,2.00,53.12,100.00,,,,,"true"
19.00,"SINGLE PROTEIN","P05067",""," Amyloid beta A4 protein (A4_HUMAN)","21","APP",56.88,"true",102.00,1921.00,0.34,41.00,86.89,100.00,,,,,"true"
20.00,"SINGLE PROTEIN","Q9Y6R7",""," IgGFc-binding protein (FCGBP_HUMAN)","19","FCGBP",38.85,"true",101.00,487.00,0.01,1268.00,571.64,100.00,,,,,"true"
21.00,"SINGLE PROTEIN","Q12860",""," Contactin-1 (CNTN1_HUMAN)","12","CNTN1",63.95,"true",99.00,1525.00,0.14,113.00,113.25,100.00,,,,,"true"
22.00,"SINGLE PROTEIN","P05060",""," Secretogranin-1 (SCG1_HUMAN)","20","CHGB",71.20,"true",99.00,1234.00,0.24,61.00,78.23,100.00,,,,,"true"
23.00,"SINGLE PROTEIN","P00747",""," Plasminogen (PLMN_HUMAN)","6","PLG",73.46,"true",97.00,809.00,0.18,86.00,90.51,100.00,,,,,"true"
24.00,"SINGLE PROTEIN","Q9UBP4",""," Dickkopf-related protein 3 (DKK3_HUMAN)","11","DKK3",65.71,"true",92.00,1611.00,0.89,13.00,38.37,100.00,,,,,"true"
25.00,"SINGLE PROTEIN","P01034",""," Cystatin-C (CYTC_HUMAN)","20","CST3",86.99,"true",91.00,2424.00,3.48,3.00,15.79,100.00,,,,,"true"
26.00,"SINGLE PROTEIN","P01031",""," Complement C5 (CO5_HUMAN)","9","C5",45.05,"true",91.00,628.00,0.04,400.00,188.19,100.00,,,,,"true"
27.00,"SINGLE PROTEIN","P00751",""," Complement factor B (CFAB_HUMAN)","6","CFB",62.96,"true",90.00,1255.00,0.31,45.00,85.48,100.00,,,,,"true"
28.00,"SINGLE PROTEIN","Q9Y4C0",""," Neurexin-3 (NRX3A_HUMAN)","14","NRXN3",40.84,"true",89.00,681.00,0.03,440.00,180.48,100.00,,,,,"true"
29.00,"SINGLE PROTEIN","P51693",""," Amyloid-like protein 1 (APLP1_HUMAN)","19","APLP1",51.85,"true",85.00,1680.00,0.41,30.00,72.13,100.00,,,,,"true"
30.00,"SINGLE PROTEIN","P12259",""," Coagulation factor V (FA5_HUMAN)","1","F5",32.73,"true",83.00,404.00,0.02,655.00,251.55,100.00,,,,,"true"
31.00,"SINGLE PROTEIN","P02649",""," Apolipoprotein E (APOE_HUMAN)","19","APOE",86.44,"true",83.00,1802.00,1.02,10.00,36.13,100.00,,,,,"true"
32.00,"SINGLE PROTEIN","P02787",""," Serotransferrin (TRFE_HUMAN)","3","TF",76.07,"true",81.00,1262.00,0.29,50.00,77.01,100.00,,,,,"true"
33.00,"SINGLE PROTEIN","P41222",""," Prostaglandin-H2 D-isomerase (PTGDS_HUMAN)","9","PTGDS",88.42,"true",80.00,3613.00,6.73,1.00,21.02,100.00,,,,,"true"
34.00,"SINGLE PROTEIN","Q92823",""," Neuronal cell adhesion molecule (NRCAM_HUMAN)","7","NRCAM",50.92,"true",80.00,1022.00,0.11,141.00,143.80,100.00,,,,,"true"
35.00,"SINGLE PROTEIN","P10643",""," Complement component C7 (CO7_HUMAN)","5","C7",65.72,"true",80.00,802.00,0.13,118.00,93.46,100.00,,,,,"true"
36.00,"SINGLE PROTEIN","O00533",""," Neural cell adhesion molecule L1-like protein (NCHL1_HUMAN)","3","CHL1",51.90,"true",80.00,1060.00,0.16,95.00,134.99,100.00,,,,,"true"
37.00,"SINGLE PROTEIN","Q14515",""," SPARC-like protein 1 (SPRL1_HUMAN)","4","SPARCL1",68.67,"true",80.00,1692.00,0.35,37.00,75.16,100.00,,,,,"true"
38.00,"SINGLE PROTEIN","P01008",""," Antithrombin-III (ANT3_HUMAN)","1","SERPINC1",68.97,"true",79.00,2401.00,2.58,4.00,52.57,100.00,,,,,"true"
39.00,"SINGLE PROTEIN","P12111",""," Collagen alpha-3(VI) chain (CO6A3_HUMAN)","2","COL6A3",28.55,"true",79.00,395.00,0.01,809.00,343.46,100.00,,,,,"true"
40.00,"SINGLE PROTEIN","P24043",""," Laminin subunit alpha-2 (LAMA2_HUMAN)","6","LAMA2",30.04,"true",79.00,244.00,0.00,1543.00,343.68,100.00,,,,,"true"
41.00,"SINGLE PROTEIN","P10909",""," Clusterin (CLUS_HUMAN)","8","CLU",61.47,"true",79.00,1585.00,0.39,32.00,52.46,100.00,,,,,"true"
42.00,"SINGLE PROTEIN","P01023",""," Alpha-2-macroglobulin (A2MG_HUMAN)","12","A2M",54.95,"true",74.00,399.00,0.02,616.00,163.19,100.00,,,,,"true"
43.00,"SINGLE PROTEIN","Q7Z7M0",""," Multiple epidermal growth factor-like domains protein 8 (MEGF8_HUMAN)","19","MEGF8",27.70,"true",73.00,363.00,0.01,898.00,302.90,100.00,,,,,"true"
44.00,"SINGLE PROTEIN","Q9P2S2",""," Neurexin-2 (NRX2A_HUMAN)","11","NRXN2",38.20,"true",71.00,394.00,0.03,489.00,184.87,100.00,,,,,"true"
45.00,"SINGLE PROTEIN","Q9ULB1",""," Neurexin-1 (NRX1A_HUMAN)","2","NRXN1",47.33,"true",69.00,554.00,0.04,386.00,161.78,100.00,,,,,"true"
46.00,"SINGLE PROTEIN","P00734",""," Prothrombin (THRB_HUMAN)","11","F2",70.42,"true",68.00,867.00,0.19,84.00,69.99,100.00,,,,,"true"
47.00,"SINGLE PROTEIN","P43652",""," Afamin (AFAM_HUMAN)","4","AFM",66.78,"true",68.00,644.00,0.13,119.00,69.02,100.00,,,,,"true"
48.00,"SINGLE PROTEIN","Q99435",""," Protein kinase C-binding protein NELL2 (NELL2_HUMAN)","12","NELL2",63.36,"true",68.00,710.00,0.10,173.00,91.28,100.00,,,,,"true"
49.00,"SINGLE PROTEIN","P19021",""," Peptidyl-glycine alpha-amidating monooxygenase (AMD_HUMAN)","5","PAM",53.75,"true",67.00,489.00,0.05,297.00,108.26,100.00,,,,,"true"
50.00,"SINGLE PROTEIN","Q96KN2",""," Beta-Ala-His dipeptidase (CNDP1_HUMAN)","18","CNDP1",72.98,"true",66.00,1324.00,0.72,16.00,56.67,100.00,,,,,"true"
51.00,"SINGLE PROTEIN","P54289",""," Voltage-dependent calcium channel subunit alpha-2/delta-1 (CA2D1_HUMAN)","7","CACNA2D1",51.04,"true",65.00,340.00,0.04,407.00,124.49,100.00,,,,,"true"
52.00,"SINGLE PROTEIN","P13591",""," Neural cell adhesion molecule 1 (NCAM1_HUMAN)","11","NCAM1",53.03,"true",64.00,1286.00,0.38,33.00,94.52,100.00,,,,,"true"
53.00,"SINGLE PROTEIN","O94985",""," Calsyntenin-1 (CSTN1_HUMAN)","1","CLSTN1",43.93,"true",63.00,650.00,0.21,73.00,109.72,100.00,,,,,"true"
54.00,"SINGLE PROTEIN","P22105",""," Tenascin-X (TENX_HUMAN)","6","TNXB",22.59,"false",62.00,241.00,0.00,1564.00,464.03,100.00,,,,,"true"
55.00,"SINGLE PROTEIN","P04275",""," von Willebrand factor (VWF_HUMAN)","12","VWF",27.94,"true",62.00,154.00,0.00,1602.00,309.06,100.00,,,,,"true"
56.00,"SINGLE PROTEIN","Q14624",""," Inter-alpha-trypsin inhibitor heavy chain H4 (ITIH4_HUMAN)","3","ITIH4",54.73,"true",61.00,467.00,0.07,231.00,103.29,100.00,,,,,"true"
57.00,"SINGLE PROTEIN","P14618",""," Pyruvate kinase PKM (KPYM_HUMAN)","15","PKM",78.15,"true",59.00,291.00,0.05,302.00,57.90,100.00,,,,,"true"
58.00,"SINGLE PROTEIN","P49641",""," Alpha-mannosidase 2x (MA2A2_HUMAN)","15","MAN2A2",48.09,"true",59.00,133.00,0.01,910.00,130.46,100.00,,,,,"true"
59.00,"SINGLE PROTEIN","P25311",""," Zinc-alpha-2-glycoprotein (ZA2G_HUMAN)","7","AZGP1",73.83,"true",58.00,916.00,0.91,12.00,34.24,100.00,,,,,"true"
60.00,"SINGLE PROTEIN","Q06481",""," Amyloid-like protein 2 (APLP2_HUMAN)","11","APLP2",52.69,"true",58.00,548.00,0.07,235.00,86.90,100.00,,,,,"true"
61.00,"SINGLE PROTEIN","P22897",""," Macrophage mannose receptor 1 (MRC1_HUMAN)","10","MRC1",38.67,"false",58.00,145.00,0.01,1083.00,165.90,100.00,,,,,"true"
62.00,"SINGLE PROTEIN","Q02246",""," Contactin-2 (CNTN2_HUMAN)","1","CNTN2",53.56,"true",57.00,387.00,0.06,286.00,113.32,100.00,,,,,"true"
63.00,"SINGLE PROTEIN","O15394",""," Neural cell adhesion molecule 2 (NCAM2_HUMAN)","21","NCAM2",50.66,"true",56.00,453.00,0.10,167.00,92.99,100.00,,,,,"true"
64.00,"SINGLE PROTEIN","P09871",""," Complement C1s subcomponent (C1S_HUMAN)","12","C1S",57.70,"true",56.00,684.00,0.21,76.00,76.63,100.00,,,,,"true"
65.00,"SINGLE PROTEIN","Q92859",""," Neogenin (NEO1_HUMAN)","15","NEO1",37.03,"true",54.00,492.00,0.04,397.00,159.92,100.00,,,,,"true"
66.00,"SINGLE PROTEIN","P01009",""," Alpha-1-antitrypsin (A1AT_HUMAN)","14","SERPINA1",70.33,"true",53.00,614.00,0.52,23.00,46.71,100.00,,,,,"true"
67.00,"SINGLE PROTEIN","O43505",""," Beta-1,4-glucuronyltransferase 1 (B4GA1_HUMAN)","11","B3GNT1",72.77,"true",52.00,590.00,0.29,52.00,47.09,100.00,,,,,"true"
68.00,"SINGLE PROTEIN","O94856",""," Neurofascin (NFASC_HUMAN)","1","NFASC",40.01,"true",52.00,560.00,0.07,228.00,149.93,100.00,,,,,"true"
69.00,"SINGLE PROTEIN","P07602",""," Prosaposin (SAP_HUMAN)","10","PSAP",61.26,"true",52.00,470.00,0.16,98.00,58.07,100.00,,,,,"true"
70.00,"SINGLE PROTEIN","P23142",""," Fibulin-1 (FBLN1_HUMAN)","22","FBLN1",59.32,"true",51.00,525.00,0.06,255.00,77.16,100.00,,,,,"true"
71.00,"SINGLE PROTEIN","P04264",""," Keratin, type II cytoskeletal 1 (K2C1_HUMAN)","12","KRT1",49.07,"true",51.00,985.00,0.26,59.00,66.00,100.00,,,,,"true"
72.00,"SINGLE PROTEIN","P00736",""," Complement C1r subcomponent (C1R_HUMAN)","12","C1R",60.43,"true",50.00,472.00,0.12,137.00,80.07,100.00,,,,,"true"
73.00,"SINGLE PROTEIN","Q92876",""," Kallikrein-6 (KLK6_HUMAN)","19","KLK6",78.28,"true",50.00,650.00,0.89,14.00,26.84,100.00,,,,,"true"
74.00,"SINGLE PROTEIN","O15031",""," Plexin-B2 (PLXB2_HUMAN)","22","PLXNB2",29.49,"true",49.00,199.00,0.01,883.00,205.00,100.00,,,,,"true"
75.00,"SINGLE PROTEIN","P35527",""," Keratin, type I cytoskeletal 9 (K1C9_HUMAN)","17","KRT9",46.39,"true",49.00,533.00,0.14,111.00,62.03,100.00,,,,,"true"
76.00,"SINGLE PROTEIN","P06727",""," Apolipoprotein A-IV (APOA4_HUMAN)","11","APOA4",81.31,"true",49.00,456.00,0.13,114.00,45.37,100.00,,,,,"true"
77.00,"SINGLE PROTEIN","Q9Y6N7",""," Roundabout homolog 1 (ROBO1_HUMAN)","3","ROBO1",25.56,"true",48.00,160.00,0.01,891.00,180.82,100.00,,,,,"true"
78.00,"SINGLE PROTEIN","P02765",""," Alpha-2-HS-glycoprotein (FETUA_HUMAN)","3","AHSG",58.86,"true",48.00,807.00,0.78,15.00,39.30,100.00,,,,,"true"
79.00,"SINGLE PROTEIN","P23468",""," Receptor-type tyrosine-protein phosphatase delta (PTPRD_HUMAN)","9","PTPRD",27.62,"true",47.00,320.00,0.02,585.00,214.62,100.00,,,,,"true"
80.00,"SINGLE PROTEIN","O75326",""," Semaphorin-7A (SEM7A_HUMAN)","15","SEMA7A",56.61,"true",47.00,396.00,0.07,245.00,74.78,100.00,,,,,"true"
81.00,"SINGLE PROTEIN","O00468",""," Agrin (AGRIN_HUMAN)","1","AGRN",32.37,"true",47.00,196.00,0.01,841.00,214.71,100.00,,,,,"true"
82.00,"SINGLE PROTEIN","Q16610",""," Extracellular matrix protein 1 (ECM1_HUMAN)","1","ECM1",66.11,"true",47.00,424.00,0.10,174.00,60.64,100.00,,,,,"true"
83.00,"SINGLE PROTEIN","P05546",""," Heparin cofactor 2 (HEP2_HUMAN)","22","SERPIND1",62.73,"true",47.00,462.00,0.17,90.00,57.03,100.00,,,,,"true"
84.00,"SINGLE PROTEIN","P01042",""," Kininogen-1 (KNG1_HUMAN)","3","KNG1",45.50,"true",46.00,639.00,0.21,71.00,71.91,100.00,,,,,"true"
85.00,"SINGLE PROTEIN","P13645",""," Keratin, type I cytoskeletal 10 (K1C10_HUMAN)","17","KRT10",50.86,"true",46.00,664.00,0.21,72.00,58.79,100.00,,,,,"true"
86.00,"SINGLE PROTEIN","P36955",""," Pigment epithelium-derived factor (PEDF_HUMAN)","17","SERPINF1",76.79,"true",46.00,646.00,0.28,55.00,46.28,100.00,,,,,"true"
87.00,"SINGLE PROTEIN","Q96GW7",""," Brevican core protein (PGCB_HUMAN)","1","BCAN",42.81,"true",46.00,579.00,0.11,148.00,99.06,100.00,,,,,"true"
88.00,"SINGLE PROTEIN","Q13332",""," Receptor-type tyrosine-protein phosphatase S (PTPRS_HUMAN)","19","PTPRS",29.47,"true",46.00,325.00,0.04,378.00,216.90,100.00,,,,,"true"
89.00,"SINGLE PROTEIN","Q9C0A0",""," Contactin-associated protein-like 4 (CNTP4_HUMAN)","16","CNTNAP4",39.37,"true",46.00,135.00,0.01,866.00,145.18,100.00,,,,,"true"
90.00,"SINGLE PROTEIN","Q86UX2",""," Inter-alpha-trypsin inhibitor heavy chain H5 (ITIH5_HUMAN)","10","ITIH5",49.26,"true",45.00,197.00,0.03,469.00,104.51,100.00,,,,,"true"
91.00,"SINGLE PROTEIN","P04217",""," Alpha-1B-glycoprotein (A1BG_HUMAN)","19","A1BG",63.03,"true",45.00,702.00,0.42,27.00,54.22,100.00,,,,,"true"
92.00,"SINGLE PROTEIN","P05155",""," Plasma protease C1 inhibitor (IC1_HUMAN)","11","SERPING1",46.00,"true",45.00,657.00,0.21,77.00,55.12,100.00,,,,,"true"
93.00,"SINGLE PROTEIN","Q16706",""," Alpha-mannosidase 2 (MA2A1_HUMAN)","5","MAN2A1",38.29,"false",44.00,120.00,0.01,868.00,131.06,100.00,,,,,"true"
94.00,"SINGLE PROTEIN","P06681",""," Complement C2 (CO2_HUMAN)","6","C2",46.94,"true",44.00,366.00,0.07,226.00,83.21,100.00,,,,,"true"
95.00,"SINGLE PROTEIN","Q8WXD2",""," Secretogranin-3 (SCG3_HUMAN)","15","SCG3",66.45,"true",43.00,689.00,0.24,62.00,52.97,100.00,,,,,"true"
96.00,"SINGLE PROTEIN","Q9Y2T3",""," Guanine deaminase (GUAD_HUMAN)","9","GDA",78.19,"true",43.00,136.00,0.03,532.00,50.97,100.00,,,,,"true"
97.00,"SINGLE PROTEIN","P02671",""," Fibrinogen alpha chain (FIBA_HUMAN)","4","FGA",42.84,"true",43.00,451.00,0.09,200.00,94.91,100.00,,,,,"true"
98.00,"SINGLE PROTEIN","Q6MZW2",""," Follistatin-related protein 4 (FSTL4_HUMAN)","5","FSTL4",56.29,"true",43.00,150.00,0.02,666.00,93.04,100.00,,,,,"true"
99.00,"SINGLE PROTEIN","O75882",""," Attractin (ATRN_HUMAN)","20","ATRN",29.74,"true",43.00,166.00,0.01,793.00,158.43,100.00,,,,,"true"
100.00,"SINGLE PROTEIN","P02760",""," Protein AMBP (AMBP_HUMAN)","9","AMBP",58.81,"true",42.00,515.00,0.28,56.00,38.97,100.00,,,,,"true"
101.00,"SINGLE PROTEIN","P14543",""," Nidogen-1 (NID1_HUMAN)","1","NID1",36.89,"true",42.00,150.00,0.02,613.00,136.29,100.00,,,,,"true"
102.00,"SINGLE PROTEIN","P13671",""," Complement component C6 (CO6_HUMAN)","5","C6",42.93,"true",42.00,244.00,0.04,393.00,104.72,100.00,,,,,"true"
103.00,"SINGLE PROTEIN","P11021",""," 78 kDa glucose-regulated protein (GRP78_HUMAN)","9","HSPA5",50.31,"false",42.00,212.00,0.06,291.00,72.29,100.00,,,,,"true"
104.00,"SINGLE PROTEIN","Q9NQ79",""," Cartilage acidic protein 1 (CRAC1_HUMAN)","10","CRTAC1",57.64,"true",42.00,397.00,0.09,194.00,71.38,100.00,,,,,"true"
105.00,"SINGLE PROTEIN","Q13740",""," CD166 antigen (CD166_HUMAN)","3","ALCAM",55.06,"true",41.00,477.00,0.13,124.00,65.06,100.00,,,,,"true"
106.00,"SINGLE PROTEIN","P12109",""," Collagen alpha-1(VI) chain (CO6A1_HUMAN)","21","COL6A1",46.50,"true",41.00,495.00,0.15,100.00,108.46,100.00,,,,,"true"
107.00,"SINGLE PROTEIN","P36222",""," Chitinase-3-like protein 1 (CH3L1_HUMAN)","1","CHI3L1",68.15,"true",41.00,322.00,0.16,97.00,42.60,100.00,,,,,"true"
108.00,"SINGLE PROTEIN","P03952",""," Plasma kallikrein (KLKB1_HUMAN)","4","KLKB1",51.25,"true",41.00,189.00,0.02,566.00,71.32,100.00,,,,,"true"
109.00,"SINGLE PROTEIN","Q8WZA1",""," Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 (PMGT1_HUMAN)","1","POMGNT1",55.15,"true",40.00,140.00,0.02,725.00,75.20,100.00,,,,,"true"
110.00,"SINGLE PROTEIN","Q9NZ08",""," Endoplasmic reticulum aminopeptidase 1 (ERAP1_HUMAN)","5","ERAP1",43.78,"false",40.00,95.00,0.01,1215.00,107.17,100.00,,,,,"true"
111.00,"SINGLE PROTEIN","P02788",""," Lactotransferrin (TRFL_HUMAN)","3","LTF",60.56,"true",40.00,109.00,0.02,690.00,78.13,100.00,,,,,"true"
112.00,"SINGLE PROTEIN","P11047",""," Laminin subunit gamma-1 (LAMC1_HUMAN)","1","LAMC1",26.04,"true",40.00,123.00,0.01,1279.00,177.49,100.00,,,,,"true"
113.00,"SINGLE PROTEIN","O00391",""," Sulfhydryl oxidase 1 (QSOX1_HUMAN)","1","QSOX1",52.34,"true",40.00,282.00,0.06,272.00,82.53,100.00,,,,,"true"
114.00,"SINGLE PROTEIN","P08253",""," 72 kDa type IV collagenase (MMP2_HUMAN)","16","MMP2",61.97,"true",40.00,139.00,0.02,757.00,73.83,100.00,,,,,"true"
115.00,"SINGLE PROTEIN","P17174",""," Aspartate aminotransferase, cytoplasmic (AATC_HUMAN)","10","GOT1",74.58,"true",40.00,180.00,0.05,348.00,46.22,100.00,,,,,"true"
116.00,"SINGLE PROTEIN","P07942",""," Laminin subunit beta-1 (LAMB1_HUMAN)","7","LAMB1",29.79,"true",40.00,132.00,0.01,1097.00,197.91,100.00,,,,,"true"
117.00,"SINGLE PROTEIN","Q14767",""," Latent-transforming growth factor beta-binding protein 2 (LTBP2_HUMAN)","14","LTBP2",24.27,"true",39.00,106.00,0.01,1269.00,194.92,100.00,,,,,"true"
118.00,"SINGLE PROTEIN","P02749",""," Beta-2-glycoprotein 1 (APOH_HUMAN)","17","APOH",69.28,"true",39.00,449.00,0.35,40.00,38.27,100.00,,,,,"true"
119.00,"SINGLE PROTEIN","P02748",""," Complement component C9 (CO9_HUMAN)","5","C9",59.75,"true",39.00,321.00,0.14,109.00,63.13,100.00,,,,,"true"
120.00,"SINGLE PROTEIN","P13796",""," Plastin-2 (PLSL_HUMAN)","13","LCP1",68.26,"true",39.00,94.00,0.01,854.00,70.24,100.00,,,,,"true"
121.00,"SINGLE PROTEIN","Q8N2S1",""," Latent-transforming growth factor beta-binding protein 4 (LTBP4_HUMAN)","19","LTBP4",25.18,"true",39.00,128.00,0.01,1005.00,173.32,100.00,,,,,"true"
122.00,"SINGLE PROTEIN","O95502",""," Neuronal pentraxin receptor (NPTXR_HUMAN)","22","NPTXR",61.80,"true",39.00,305.00,0.11,145.00,52.81,100.00,,,,,"true"
123.00,"SINGLE PROTEIN","P19823",""," Inter-alpha-trypsin inhibitor heavy chain H2 (ITIH2_HUMAN)","10","ITIH2",38.27,"true",39.00,421.00,0.13,123.00,106.40,100.00,,,,,"true"
124.00,"SINGLE PROTEIN","P32004",""," Neural cell adhesion molecule L1 (L1CAM_HUMAN)","X","L1CAM",34.05,"true",38.00,149.00,0.03,483.00,139.92,100.00,,,,,"true"
125.00,"SINGLE PROTEIN","P10645",""," Chromogranin-A (CMGA_HUMAN)","14","CHGA",61.71,"true",38.00,648.00,0.42,28.00,50.66,100.00,,,,,"true"
126.00,"SINGLE PROTEIN","Q8N475",""," Follistatin-related protein 5 (FSTL5_HUMAN)","4","FSTL5",44.04,"false",38.00,82.00,0.01,938.00,95.69,100.00,,,,,"true"
127.00,"SINGLE PROTEIN","Q15582",""," Transforming growth factor-beta-induced protein ig-h3 (BGH3_HUMAN)","5","TGFBI",59.15,"true",38.00,201.00,0.04,411.00,74.63,100.00,,,,,"true"
128.00,"SINGLE PROTEIN","P08697",""," Alpha-2-antiplasmin (A2AP_HUMAN)","17","SERPINF2",58.25,"true",38.00,429.00,0.30,47.00,54.53,100.00,,,,,"true"
129.00,"SINGLE PROTEIN","P02675",""," Fibrinogen beta chain (FIBB_HUMAN)","4","FGB",60.90,"true",37.00,131.00,0.03,506.00,55.89,100.00,,,,,"true"
130.00,"SINGLE PROTEIN","P11717",""," Cation-independent mannose-6-phosphate receptor (MPRI_HUMAN)","6","IGF2R",20.31,"true",37.00,73.00,0.00,1688.00,274.20,100.00,,,,,"true"
131.00,"SINGLE PROTEIN","P43146",""," Netrin receptor DCC (DCC_HUMAN)","18","DCC",28.96,"true",37.00,135.00,0.01,932.00,158.36,100.00,,,,,"true"
132.00,"SINGLE PROTEIN","P19827",""," Inter-alpha-trypsin inhibitor heavy chain H1 (ITIH1_HUMAN)","3","ITIH1",30.74,"true",37.00,527.00,0.12,133.00,101.33,100.00,,,,,"true"
133.00,"SINGLE PROTEIN","Q9UHC6",""," Contactin-associated protein-like 2 (CNTP2_HUMAN)","7","CNTNAP2",34.11,"false",36.00,93.00,0.01,962.00,148.07,100.00,,,,,"true"
134.00,"SINGLE PROTEIN","Q12805",""," EGF-containing fibulin-like extracellular matrix protein 1 (FBLN3_HUMAN)","2","EFEMP1",58.62,"true",36.00,447.00,0.18,85.00,54.60,100.00,,,,,"true"
135.00,"SINGLE PROTEIN","Q10471",""," Polypeptide N-acetylgalactosaminyltransferase 2 (GALT2_HUMAN)","1","GALNT2",54.64,"true",36.00,94.00,0.02,647.00,64.69,100.00,,,,,"true"
136.00,"SINGLE PROTEIN","O15240",""," Neurosecretory protein VGF (VGF_HUMAN)","7","VGF",55.45,"true",36.00,315.00,0.13,120.00,67.22,100.00,,,,,"true"
137.00,"SINGLE PROTEIN","O14594",""," Neurocan core protein (NCAN_HUMAN)","19","NCAN",25.59,"true",36.00,399.00,0.07,247.00,143.00,100.00,,,,,"true"
138.00,"SINGLE PROTEIN","P10586",""," Receptor-type tyrosine-protein phosphatase F (PTPRF_HUMAN)","1","PTPRF",25.43,"true",36.00,226.00,0.02,637.00,212.74,100.00,,,,,"true"
139.00,"SINGLE PROTEIN","P35908",""," Keratin, type II cytoskeletal 2 epidermal (K22E_HUMAN)","12","KRT2",50.55,"true",36.00,480.00,0.10,160.00,65.39,100.00,,,,,"true"
140.00,"SINGLE PROTEIN","P19320",""," Vascular cell adhesion protein 1 (VCAM1_HUMAN)","1","VCAM1",46.01,"false",36.00,186.00,0.04,392.00,81.22,100.00,,,,,"true"
141.00,"SINGLE PROTEIN","P04004",""," Vitronectin (VTNC_HUMAN)","17","VTN",45.61,"true",36.00,458.00,0.17,89.00,54.27,100.00,,,,,"true"
142.00,"SINGLE PROTEIN","P61769",""," Beta-2-microglobulin (B2MG_HUMAN)","15","B2M",71.43,"true",35.00,640.00,2.03,5.00,13.71,100.00,,,,,"true"
