CSF-PR / CSF MIXED-MODE DEPLETED FRACTION / Proteins / 
index,PI,Accession,Other Protein(s),Description,CHROMOSOME,Gene Name,Coverage(%),Non Enzymatic Peptides,#Peptides,#Spectra,NSAF,RANK (NSAF),MW,Confidence,Validated
96.00,SINGLE PROTEIN,O14594,, Neurocan core protein (NCAN_HUMAN),19,NCAN,29.45,true,42.00,233.00,0.05,303.00,143.00,100.00,true
97.00,SINGLE PROTEIN,Q13332,, Receptor-type tyrosine-protein phosphatase S (PTPRS_HUMAN),19,PTPRS,25.72,true,42.00,153.00,0.02,561.00,216.90,100.00,true
98.00,SINGLE PROTEIN,P14543,, Nidogen-1 (NID1_HUMAN),1,NID1,36.01,true,42.00,143.00,0.01,780.00,136.29,100.00,true
99.00,SINGLE PROTEIN,P06681,, Complement C2 (CO2_HUMAN),6,C2,45.35,true,42.00,232.00,0.04,377.00,83.21,100.00,true
100.00,SINGLE PROTEIN,O75326,, Semaphorin-7A (SEM7A_HUMAN),15,SEMA7A,46.70,true,41.00,208.00,0.04,329.00,74.78,100.00,true
101.00,SINGLE PROTEIN,Q16610,, Extracellular matrix protein 1 (ECM1_HUMAN),1,ECM1,61.11,true,41.00,248.00,0.05,307.00,60.64,100.00,true
102.00,SINGLE PROTEIN,P04004,, Vitronectin (VTNC_HUMAN),17,VTN,54.39,true,41.00,570.00,0.18,83.00,54.27,100.00,true
103.00,SINGLE PROTEIN,Q9UHC6,, Contactin-associated protein-like 2 (CNTP2_HUMAN),7,CNTNAP2,37.34,true,41.00,130.00,0.01,936.00,148.07,100.00,true
104.00,SINGLE PROTEIN,O95502,, Neuronal pentraxin receptor (NPTXR_HUMAN),22,NPTXR,55.60,true,40.00,355.00,0.11,125.00,52.81,100.00,true
105.00,SINGLE PROTEIN,P00736,, Complement C1r subcomponent (C1R_HUMAN),12,C1R,49.08,true,40.00,314.00,0.10,132.00,80.07,100.00,true
106.00,SINGLE PROTEIN,P08253,, 72 kDa type IV collagenase (MMP2_HUMAN),16,MMP2,56.82,true,40.00,221.00,0.03,413.00,73.83,100.00,true
107.00,SINGLE PROTEIN,P07942,, Laminin subunit beta-1 (LAMB1_HUMAN),7,LAMB1,30.01,true,40.00,109.00,0.01,1200.00,197.91,100.00,true
108.00,SINGLE PROTEIN,O15394,, Neural cell adhesion molecule 2 (NCAM2_HUMAN),21,NCAM2,43.85,true,40.00,222.00,0.05,313.00,92.99,100.00,true
109.00,SINGLE PROTEIN,P12109,, Collagen alpha-1(VI) chain (CO6A1_HUMAN),21,COL6A1,42.22,true,39.00,250.00,0.04,364.00,108.46,100.00,true
110.00,SINGLE PROTEIN,Q14112,, Nidogen-2 (NID2_HUMAN),14,NID2,39.20,true,39.00,104.00,0.01,1235.00,151.16,100.00,true
111.00,SINGLE PROTEIN,P11717,, Cation-independent mannose-6-phosphate receptor (MPRI_HUMAN),6,IGF2R,23.69,true,39.00,81.00,0.00,1543.00,274.20,100.00,true
112.00,SINGLE PROTEIN,P05156,, Complement factor I (CFAI_HUMAN),4,CFI,50.09,true,39.00,326.00,0.13,111.00,65.71,100.00,true
113.00,SINGLE PROTEIN,Q13740,, CD166 antigen (CD166_HUMAN),3,ALCAM,52.32,true,38.00,238.00,0.04,328.00,65.06,100.00,true
114.00,SINGLE PROTEIN,P05546,, Heparin cofactor 2 (HEP2_HUMAN),22,SERPIND1,55.11,true,38.00,320.00,0.13,107.00,57.03,100.00,true
115.00,SINGLE PROTEIN,P10586,, Receptor-type tyrosine-protein phosphatase F (PTPRF_HUMAN),1,PTPRF,28.21,true,38.00,105.00,0.01,1355.00,212.74,100.00,true
116.00,SINGLE PROTEIN,Q6YHK3,, CD109 antigen (CD109_HUMAN),6,CD109,31.00,true,37.00,91.00,0.01,988.00,161.59,100.00,true
117.00,SINGLE PROTEIN,P08697,, Alpha-2-antiplasmin (A2AP_HUMAN),17,SERPINF2,48.27,true,37.00,296.00,0.15,98.00,54.53,100.00,true
118.00,SINGLE PROTEIN,Q14767,, Latent-transforming growth factor beta-binding protein 2 (LTBP2_HUMAN),14,LTBP2,19.60,true,37.00,98.00,0.01,1350.00,194.92,100.00,true
119.00,SINGLE PROTEIN,P43652,, Afamin (AFAM_HUMAN),4,AFM,44.24,true,36.00,332.00,0.08,183.00,69.02,100.00,true
120.00,SINGLE PROTEIN,P07339,, Cathepsin D (CATD_HUMAN),11,CTSD,68.93,true,36.00,368.00,0.14,103.00,44.52,100.00,true
121.00,SINGLE PROTEIN,Q96PD5,, N-acetylmuramoyl-L-alanine amidase (PGRP2_HUMAN),19,PGLYRP2,56.08,true,36.00,344.00,0.11,128.00,62.18,100.00,true
122.00,SINGLE PROTEIN,P19823,, Inter-alpha-trypsin inhibitor heavy chain H2 (ITIH2_HUMAN),10,ITIH2,35.52,true,35.00,240.00,0.05,282.00,106.40,100.00,true
123.00,SINGLE PROTEIN,Q96KG7,, Multiple epidermal growth factor-like domains protein 10 (MEG10_HUMAN),5,MEGF10,32.63,true,35.00,110.00,0.02,710.00,122.12,100.00,true
124.00,SINGLE PROTEIN,P05155,, Plasma protease C1 inhibitor (IC1_HUMAN),11,SERPING1,44.60,true,35.00,373.00,0.09,158.00,55.12,100.00,true
125.00,SINGLE PROTEIN,Q9NQ79,, Cartilage acidic protein 1 (CRAC1_HUMAN),10,CRTAC1,42.21,true,35.00,253.00,0.07,209.00,71.38,100.00,true
126.00,SINGLE PROTEIN,Q9P0K1,, Disintegrin and metalloproteinase domain-containing protein 22 (ADA22_HUMAN),7,ADAM22,39.51,true,35.00,127.00,0.03,471.00,100.37,100.00,true
127.00,SINGLE PROTEIN,P04156,, Major prion protein (PRIO_HUMAN),20,PRNP,46.64,true,34.00,422.00,1.02,16.00,27.64,100.00,true
128.00,SINGLE PROTEIN,P24592,, Insulin-like growth factor-binding protein 6 (IBP6_HUMAN),12,IGFBP6,70.83,true,34.00,379.00,0.31,50.00,25.31,100.00,true
129.00,SINGLE PROTEIN,P04075,, Fructose-bisphosphate aldolase A (ALDOA_HUMAN),16,ALDOA,77.47,true,34.00,140.00,0.05,279.00,39.40,100.00,true
130.00,SINGLE PROTEIN,Q14118,, Dystroglycan (DAG1_HUMAN),3,DAG1,29.61,true,34.00,275.00,0.07,193.00,97.38,100.00,true
131.00,SINGLE PROTEIN,Q86UX2,, Inter-alpha-trypsin inhibitor heavy chain H5 (ITIH5_HUMAN),10,ITIH5,42.25,true,34.00,130.00,0.02,716.00,104.51,100.00,true
132.00,SINGLE PROTEIN,P13796,, Plastin-2 (PLSL_HUMAN),13,LCP1,60.13,false,34.00,94.00,0.02,718.00,70.24,100.00,true
133.00,SINGLE PROTEIN,Q8N475,, Follistatin-related protein 5 (FSTL5_HUMAN),4,FSTL5,43.09,false,33.00,80.00,0.01,839.00,95.69,100.00,true
134.00,SINGLE PROTEIN,Q6MZW2,, Follistatin-related protein 4 (FSTL4_HUMAN),5,FSTL4,52.85,true,33.00,115.00,0.02,682.00,93.04,100.00,true
135.00,SINGLE PROTEIN,Q8N2S1,, Latent-transforming growth factor beta-binding protein 4 (LTBP4_HUMAN),19,LTBP4,26.79,true,33.00,122.00,0.01,886.00,173.32,100.00,true
136.00,SINGLE PROTEIN,Q8WZA1,, Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 (PMGT1_HUMAN),1,POMGNT1,47.58,true,33.00,150.00,0.02,510.00,75.20,100.00,true
137.00,SINGLE PROTEIN,P23468,, Receptor-type tyrosine-protein phosphatase delta (PTPRD_HUMAN),9,PTPRD,23.43,true,33.00,112.00,0.01,776.00,214.62,100.00,true
138.00,SINGLE PROTEIN,P19320,, Vascular cell adhesion protein 1 (VCAM1_HUMAN),1,VCAM1,42.35,false,33.00,99.00,0.02,498.00,81.22,100.00,true
139.00,SINGLE PROTEIN,O00391,, Sulfhydryl oxidase 1 (QSOX1_HUMAN),1,QSOX1,42.17,true,32.00,108.00,0.02,693.00,82.53,100.00,true
140.00,SINGLE PROTEIN,Q92520,, Protein FAM3C (FAM3C_HUMAN),7,FAM3C,69.16,true,32.00,330.00,0.36,43.00,24.66,100.00,true
141.00,SINGLE PROTEIN,P02760,, Protein AMBP (AMBP_HUMAN),9,AMBP,57.10,true,32.00,380.00,0.31,51.00,38.97,100.00,true
142.00,SINGLE PROTEIN,Q9HAR2,, Latrophilin-3 (LPHN3_HUMAN),4,LPHN3,23.70,true,32.00,117.00,0.02,685.00,161.71,100.00,true
143.00,SINGLE PROTEIN,P09972,, Fructose-bisphosphate aldolase C (ALDOC_HUMAN),17,ALDOC,74.18,true,32.00,162.00,0.07,222.00,39.43,100.00,true
144.00,SINGLE PROTEIN,Q16706,, Alpha-mannosidase 2 (MA2A1_HUMAN),5,MAN2A1,35.14,false,32.00,92.00,0.01,982.00,131.06,100.00,true
145.00,SINGLE PROTEIN,Q13228,, Selenium-binding protein 1 (SBP1_HUMAN),1,SELENBP1,65.89,true,32.00,109.00,0.04,341.00,52.36,100.00,true
146.00,SINGLE PROTEIN,P13671,, Complement component C6 (CO6_HUMAN),5,C6,36.51,true,32.00,149.00,0.04,375.00,104.72,100.00,true
147.00,SINGLE PROTEIN,P31150,, Rab GDP dissociation inhibitor alpha (GDIA_HUMAN),X,GDI1,64.21,true,32.00,93.00,0.05,276.00,50.55,100.00,true
148.00,SINGLE PROTEIN,Q8WUJ3,, Cell migration-inducing and hyaluronan-binding protein (CEMIP_HUMAN),15,KIAA1199,31.23,false,32.00,83.00,0.01,1105.00,152.90,100.00,true
149.00,SINGLE PROTEIN,Q99715,, Collagen alpha-1(XII) chain (COCA1_HUMAN),6,COL12A1,13.58,false,32.00,65.00,0.00,1745.00,332.94,100.00,true
150.00,SINGLE PROTEIN,O75882,, Attractin (ATRN_HUMAN),20,ATRN,25.68,true,32.00,120.00,0.03,470.00,158.43,100.00,true
151.00,SINGLE PROTEIN,Q14766,, Latent-transforming growth factor beta-binding protein 1 (LTBP1_HUMAN),2,LTBP1,22.25,true,32.00,107.00,0.01,1071.00,186.67,100.00,true
152.00,SINGLE PROTEIN,Q9Y6N7,, Roundabout homolog 1 (ROBO1_HUMAN),3,ROBO1,22.47,true,31.00,109.00,0.01,929.00,180.82,100.00,true
153.00,SINGLE PROTEIN,P07858,, Cathepsin B (CATB_HUMAN),8,CTSB,61.95,true,31.00,126.00,0.06,249.00,37.80,100.00,true
154.00,SINGLE PROTEIN,Q24JP5,, Transmembrane protein 132A (T132A_HUMAN),11,TMEM132A,36.46,true,31.00,210.00,0.05,285.00,110.04,100.00,true
155.00,SINGLE PROTEIN,P07998,, Ribonuclease pancreatic (RNAS1_HUMAN),14,RNASE1,56.41,true,31.00,633.00,0.95,18.00,17.63,100.00,true
156.00,SINGLE PROTEIN,P54764,, Ephrin type-A receptor 4 (EPHA4_HUMAN),2,EPHA4,30.43,true,31.00,165.00,0.02,566.00,109.79,100.00,true
157.00,SINGLE PROTEIN,P03952,, Plasma kallikrein (KLKB1_HUMAN),4,KLKB1,40.75,true,31.00,114.00,0.03,383.00,71.32,100.00,true
158.00,SINGLE PROTEIN,O94910,, Adhesion G protein-coupled receptor L1 (AGRL1_HUMAN),19,LPHN1,21.64,false,31.00,118.00,0.01,954.00,162.61,100.00,true
159.00,SINGLE PROTEIN,P43146,, Netrin receptor DCC (DCC_HUMAN),18,DCC,24.40,true,31.00,98.00,0.01,1001.00,158.36,100.00,true
