Entry	Topological domain	Transmembrane
Q9Y277		TRANSMEM 26..35;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 39..47;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 54..64;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 69..76;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 80..89;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 95..104;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 111..120;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 123..130;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 137..145;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 150..158;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 163..175;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 178..185;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 189..198;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 202..211;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 218..227;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 231..238;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 242..251;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 254..263;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"; TRANSMEM 273..282;  /note="Beta stranded";  /evidence="ECO:0000250|UniProtKB:P21796"
Q16864		
Q8TAA9	TOPO_DOM 1..117;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 139..151;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 173..182;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 204..222;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 244..524;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 118..138;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 152..172;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 183..203;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 223..243;  /note="Helical; Name=4";  /evidence="ECO:0000255"
C9J7I0		
Q8N2C9		
Q9ULK5	TOPO_DOM 1..108;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 130..147;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 169..178;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 200..217;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 239..521;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 109..129;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 148..168;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 179..199;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 218..238;  /note="Helical; Name=4";  /evidence="ECO:0000255"
O95670		
Q96LB4		
Q8NBZ7	TOPO_DOM 1..19;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 41..420;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 20..40;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
P11473		
Q9UPW8		
Q9P0L0	TOPO_DOM 2..227;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 228..248;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
Q9BXT4		
Q8NAT2		
O60347		
P0CG35		
P40227		
Q13569		
Q0P6H9		TRANSMEM 3..23;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 431..451;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 481..501;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 527..547;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 572..592;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 599..619;  /note="Helical";  /evidence="ECO:0000255"
O60507	TOPO_DOM 1..8;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 26..370;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 9..25;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q9UKU6	TOPO_DOM 1..40;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 62..1024;  /note="Extracellular";  /evidence="ECO:0000255"	TRANSMEM 41..61;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q8N6Q1		TRANSMEM 224..244;  /note="Helical";  /evidence="ECO:0000255"
O95150	TOPO_DOM 1..35;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 57..251;  /note="Extracellular";  /evidence="ECO:0000255"	TRANSMEM 36..56;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q9UK28		TRANSMEM 268..290;  /note="Helical";  /evidence="ECO:0000255"
Q9NP99	TOPO_DOM 21..205;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 227..234;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 206..226;  /note="Helical";  /evidence="ECO:0000255"
Q8N616		
P35503		TRANSMEM 492..508;  /note="Helical";  /evidence="ECO:0000255"
Q9BXU7		
A0A0A6YYG2		
P61088		
Q9H313	TOPO_DOM 1..43;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 65..88;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 110..214;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 236..240;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 262..390;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 412..450;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 44..64;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 89..109;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 215..235;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 241..261;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 391..411;  /note="Helical; Name=5";  /evidence="ECO:0000255"
Q5JXB2		
O60637	TOPO_DOM 1..11;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 33..50;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 72..85;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 107..212;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 234..253;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 12..32;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 51..71;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 86..106;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 213..233;  /note="Helical";  /evidence="ECO:0000255"
Q9GZX9		
Q15361		
A0A0B4J249		
Q14146		
Q8N6Y0		
A0A5B6		
Q7Z4L5		
A0A0K0K1B3		
Q0VG73		
A6NGE7		
Q9UHT4		
Q8NBF4		
A4D1N5		
Q6ZRM9		
Q75L30		
Q8N976		
Q9BZS9		
Q8N814		
Q9HAA7		
P58557		
Q9H8V8		
Q6ZRP5		
A8MVM7		
Q6ZS92		
A6NC05		
Q6ZR03		
A8MT66		
A8MWP4		
Q6ZRG5		
Q6ZRU5		
A8MZ25		
A8MU10		
A8MUN3		
Q6ZS49		
P59817		
Q86YH2		
Q6N043		
Q9HBT8		
Q86Y25		
Q96PM9		
Q66K41		
Q9H6B1		
P30926	TOPO_DOM 22..236;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 258..265;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 287..298;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 320..460;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 482..498;  /note="Extracellular";  /evidence="ECO:0000255"	TRANSMEM 237..257;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 266..286;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 299..319;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 461..481;  /note="Helical";  /evidence="ECO:0000255"
Q12979		
Q8WWZ7		TRANSMEM 32..52;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 220..240;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 264..284;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 297..317;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 328..348;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 355..375;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 396..416;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 866..886;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 967..987;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1021..1041;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1071..1091;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1102..1122;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1139..1159;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1169..1189;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1207..1227;  /note="Helical";  /evidence="ECO:0000255"
Q6UWZ7		
Q9UKV3		
Q9BV23	TOPO_DOM 1..8;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 30..337;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 9..29;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q7L211		TRANSMEM 37..57;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q5TYW2		
Q7L4P6		
Q8N1M1	TOPO_DOM 1..25;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 47..70;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 92..178;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 200..228;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 250..270;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 292..668;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 26..46;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 71..91;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 179..199;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 271..291;  /note="Helical";  /evidence="ECO:0000255"
Q8NFU0	TOPO_DOM 1..25;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 47..70;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 92..178;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 200..228;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 250..285;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 307..473;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 26..46;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 71..91;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 179..199;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 286..306;  /note="Helical";  /evidence="ECO:0000255"
Q96P26		
Q9H0P0		
O00400	TOPO_DOM 1..74;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 96..113;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 135..141;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 163..175;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 197..217;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 239..256;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 278..299;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 321..343;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 365..378;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 399..404;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 426..508;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 530..549;  /note="Extracellular";  /evidence="ECO:0000255"	TRANSMEM 75..95;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 114..134;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 142..162;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 176..196;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 218..238;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 257..277;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 300..320;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 344..364;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 379..398;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 405..425;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 509..529;  /note="Helical";  /evidence="ECO:0000255"
P08173	TOPO_DOM 1..31;  /note="Extracellular";  /evidence="ECO:0000250"; TOPO_DOM 55..68;  /note="Cytoplasmic";  /evidence="ECO:0000250"; TOPO_DOM 90..106;  /note="Extracellular";  /evidence="ECO:0000250"; TOPO_DOM 129..148;  /note="Cytoplasmic";  /evidence="ECO:0000250"; TOPO_DOM 172..193;  /note="Extracellular";  /evidence="ECO:0000250"; TOPO_DOM 217..401;  /note="Cytoplasmic";  /evidence="ECO:0000250"; TOPO_DOM 423..436;  /note="Extracellular";  /evidence="ECO:0000250"; TOPO_DOM 457..479;  /note="Cytoplasmic";  /evidence="ECO:0000250"	TRANSMEM 32..54;  /note="Helical; Name=1";  /evidence="ECO:0000250"; TRANSMEM 69..89;  /note="Helical; Name=2";  /evidence="ECO:0000250"; TRANSMEM 107..128;  /note="Helical; Name=3";  /evidence="ECO:0000250"; TRANSMEM 149..171;  /note="Helical; Name=4";  /evidence="ECO:0000250"; TRANSMEM 194..216;  /note="Helical; Name=5";  /evidence="ECO:0000250"; TRANSMEM 402..422;  /note="Helical; Name=6";  /evidence="ECO:0000250"; TRANSMEM 437..456;  /note="Helical; Name=7";  /evidence="ECO:0000250"
O15155	TOPO_DOM 1..94;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 116..118;  /note="Vesicular";  /evidence="ECO:0000255"	TRANSMEM 95..115;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
Q5FVE4		
Q4AC99		
Q8NDB2		
Q13075		
Q8N9N5		
Q9BXK5		TRANSMEM 460..480;  /note="Helical";  /evidence="ECO:0000255"
O15392		
Q9NPJ3		
O00590	TOPO_DOM 1..50;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 72..92;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 114..118;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 141..162;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 184..217;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 239..250;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 272..293;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 315..384;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 51..71;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 93..113;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 119..140;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 163..183;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 218..238;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 251..271;  /note="Helical; Name=6";  /evidence="ECO:0000255"; TRANSMEM 294..314;  /note="Helical; Name=7";  /evidence="ECO:0000255"
O60566		
P61769		
Q15173		
Q16537		
P22303		
P21399		
Q8WZ19		
P30153		
O00154		
Q99798		
P30154		
P62258		
Q10589	TOPO_DOM 1..20;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 49..161;  /note="Extracellular";  /evidence="ECO:0000255"	TRANSMEM 21..48;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q6QNY1		
Q9P2W7	TOPO_DOM 1..6;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 28..334;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 7..27;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q9H7C9		
Q86TX2		
Q9GZZ6	TOPO_DOM 25..237;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 323..428;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 238..258;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 268..288;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 302..322;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 429..449;  /note="Helical";  /evidence="ECO:0000255"
Q96KV6	TOPO_DOM 28..246;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 268..586;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 247..267;  /note="Helical";  /evidence="ECO:0000255"
P61981		
O14734		
O95429		
Q9H9L7		
Q15699		
Q9H161		
A9YTQ3		
Q9HBW9	TOPO_DOM 20..432;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 454..460;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 482..499;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 521..532;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 554..573;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 595..618;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 640..646;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 668..690;  /note="Cytoplasmic";  /evidence="ECO:0000305"	TRANSMEM 433..453;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 461..481;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 500..520;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 533..553;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 574..594;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 619..639;  /note="Helical; Name=6";  /evidence="ECO:0000255"; TRANSMEM 647..667;  /note="Helical; Name=7";  /evidence="ECO:0000255"
Q15582		
O00253		
O95994		
P35869		
Q6ZT62		
Q9BXH1		
Q719I0		
Q9H6S1		
Q14137		
Q6PI77		
P31749		
Q9BYV1		
P02760		
O60241	TOPO_DOM 33..936;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 958..965;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 987..994;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 1016..1036;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 1058..1078;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 1100..1121;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 1143..1153;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 1175..1585;  /note="Cytoplasmic";  /evidence="ECO:0000305"	TRANSMEM 937..957;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 966..986;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 995..1015;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 1037..1057;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 1079..1099;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 1122..1142;  /note="Helical; Name=6";  /evidence="ECO:0000255"; TRANSMEM 1154..1174;  /note="Helical; Name=7";  /evidence="ECO:0000255"
Q93088		
P31751		
Q9BQI0		
Q99217		
Q8N944		
P40394		
P43235		
P06881		
Q6NS38		
Q9NXW9		
Q3KRA9		
Q8NAP1		
P17516		
Q96KX2		
Q8N163		
Q13166		
Q8WU43		
Q68DN1		
Q9NWW7		
Q6ZSB3		
Q2TAA5		TRANSMEM 20..40;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 234..254;  /note="Helical";  /evidence="ECO:0000255"
Q86UN6		
P55196		
P0CW23		
