ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
sp|Q9NU22|MDN1_HUMAN Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2	Nucleus	0.0383	0.5229	0.4578	0.0001	0.0002	0.0033	0.0017	0.0002	0.0113	0.0022	0.0004
sp|Q9Y6R7|FCGBP_HUMAN IgGFc-binding protein OS=Homo sapiens OX=9606 GN=FCGBP PE=1 SV=3	Extracellular	0.002	0.0003	0.0036	0.9745	0.001	0.0062	0.0051	0.0	0.0001	0.0093	0.0
tr|A0A0A0MTC1|A0A0A0MTC1_HUMAN E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213 PE=1 SV=1	Cytoplasm	0.0191	0.1986	0.7895	0.0	0.0001	0.0069	0.0005	0.0	0.0022	0.0016	0.0005
sp|Q5T4S7|UBR4_HUMAN E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1	Cytoplasm	0.018	0.1651	0.8144	0.0001	0.0001	0.0094	0.0009	0.0	0.0048	0.0047	0.0005
sp|Q9Y6V0|PCLO_HUMAN Protein piccolo OS=Homo sapiens OX=9606 GN=PCLO PE=1 SV=5	Cytoplasm	0.0379	0.2795	0.7053	0.0001	0.0	0.0128	0.0001	0.0	0.0018	0.0003	0.0001
sp|P58107|EPIPL_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3	Cytoplasm	0.0094	0.0209	0.9231	0.0002	0.0013	0.0113	0.0004	0.0011	0.0005	0.0027	0.0386
sp|P21817|RYR1_HUMAN Ryanodine receptor 1 OS=Homo sapiens OX=9606 GN=RYR1 PE=1 SV=3	Cell_membrane	0.4895	0.1107	0.2702	0.0003	0.0016	0.3662	0.087	0.0002	0.0644	0.0977	0.0017
sp|Q2LD37|K1109_HUMAN Transmembrane protein KIAA1109 OS=Homo sapiens OX=9606 GN=KIAA1109 PE=1 SV=2	Cytoplasm	0.0919	0.1234	0.7845	0.001	0.0002	0.0505	0.0104	0.0002	0.0105	0.0166	0.0027
sp|Q92736|RYR2_HUMAN Ryanodine receptor 2 OS=Homo sapiens OX=9606 GN=RYR2 PE=1 SV=3	Cell_membrane	0.6739	0.0424	0.0959	0.0003	0.0125	0.3072	0.2216	0.0007	0.1205	0.1896	0.0092
sp|Q8NEZ4|KMT2C_HUMAN Histone-lysine N-methyltransferase 2C OS=Homo sapiens OX=9606 GN=KMT2C PE=1 SV=3	Nucleus	0.0432	0.8292	0.1697	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	0.0
sp|Q15751|HERC1_HUMAN Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens OX=9606 GN=HERC1 PE=1 SV=2	Cytoplasm	0.0189	0.1449	0.8315	0.0004	0.0001	0.0165	0.0007	0.0001	0.0012	0.002	0.0025
sp|Q9NR09|BIRC6_HUMAN Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=3	Cytoplasm	0.0191	0.1281	0.8464	0.0002	0.0001	0.0136	0.0015	0.0001	0.0044	0.0043	0.0013
sp|O95714|HERC2_HUMAN E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2	Cytoplasm	0.0236	0.2887	0.6902	0.0009	0.0002	0.0103	0.0005	0.0002	0.0006	0.0014	0.007
sp|Q9P2P6|STAR9_HUMAN StAR-related lipid transfer protein 9 OS=Homo sapiens OX=9606 GN=STARD9 PE=1 SV=3	Cytoplasm	0.024	0.1031	0.8777	0.0001	0.0	0.0168	0.0002	0.0	0.0012	0.0007	0.0002
sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	Cytoplasm	0.0191	0.0743	0.9027	0.0	0.0002	0.0127	0.0006	0.0003	0.0068	0.002	0.0004
sp|O75592|MYCB2_HUMAN E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens OX=9606 GN=MYCBP2 PE=1 SV=4	Cytoplasm	0.078	0.2743	0.6666	0.0008	0.0004	0.0493	0.0015	0.0004	0.0013	0.0028	0.0027
sp|P98164|LRP2_HUMAN Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens OX=9606 GN=LRP2 PE=1 SV=3	Cell_membrane	0.8135	0.0	0.0	0.1036	0.0001	0.846	0.0039	0.0	0.0005	0.0459	0.0
sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	Cytoplasm	0.0188	0.149	0.8141	0.0	0.0006	0.01	0.0028	0.0002	0.0122	0.0095	0.0015
sp|Q8TE73|DYH5_HUMAN Dynein axonemal heavy chain 5 OS=Homo sapiens OX=9606 GN=DNAH5 PE=1 SV=3	Cytoplasm	0.0415	0.154	0.7512	0.0001	0.0315	0.0132	0.0079	0.0012	0.0189	0.0124	0.0096
sp|Q9NZR2|LRP1B_HUMAN Low-density lipoprotein receptor-related protein 1B OS=Homo sapiens OX=9606 GN=LRP1B PE=1 SV=2	Cell_membrane	0.9867	0.0	0.0	0.0064	0.0	0.9929	0.0003	0.0	0.0003	0.0	0.0
sp|Q9NZJ4|SACS_HUMAN Sacsin OS=Homo sapiens OX=9606 GN=SACS PE=1 SV=2	Cytoplasm	0.0079	0.0773	0.8917	0.0001	0.0002	0.0094	0.0014	0.0001	0.0056	0.0126	0.0016
sp|P04114|APOB_HUMAN Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2	Endoplasmic_reticulum	0.0384	0.006	0.0152	0.3468	0.0041	0.0109	0.5057	0.0004	0.0018	0.1089	0.0002
sp|Q8TDW7|FAT3_HUMAN Protocadherin Fat 3 OS=Homo sapiens OX=9606 GN=FAT3 PE=2 SV=3	Cell_membrane	0.9202	0.0072	0.0043	0.0003	0.0286	0.8515	0.0074	0.002	0.0018	0.0964	0.0006
sp|Q07954|LRP1_HUMAN Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2	Cell_membrane	0.9814	0.0001	0.0	0.0358	0.0	0.9486	0.0097	0.0	0.0056	0.0002	0.0
sp|Q9NYC9|DYH9_HUMAN Dynein axonemal heavy chain 9 OS=Homo sapiens OX=9606 GN=DNAH9 PE=1 SV=3	Cytoplasm	0.0994	0.1228	0.7479	0.0004	0.0052	0.0333	0.0169	0.0011	0.0321	0.0283	0.0121
sp|Q9UFH2|DYH17_HUMAN Dynein axonemal heavy chain 17 OS=Homo sapiens OX=9606 GN=DNAH17 PE=1 SV=3	Cytoplasm	0.0192	0.0421	0.8053	0.0001	0.001	0.0205	0.0114	0.0003	0.0171	0.0883	0.014
sp|P98160|PGBM_HUMAN Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4	Extracellular	0.0031	0.0001	0.0002	0.9842	0.0	0.0046	0.0089	0.0	0.0001	0.002	0.0
sp|Q5THJ4|VP13D_HUMAN Intermembrane lipid transfer protein VPS13D OS=Homo sapiens OX=9606 GN=VPS13D PE=1 SV=2	Cytoplasm	0.0145	0.072	0.8914	0.0008	0.0006	0.0166	0.0019	0.0004	0.0047	0.0073	0.0045
sp|Q12955|ANK3_HUMAN Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3	Cytoplasm	0.0209	0.0742	0.9002	0.0001	0.0001	0.0196	0.0005	0.0002	0.0016	0.0019	0.0014
sp|Q7Z6Z7|HUWE1_HUMAN E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3	Cytoplasm	0.0324	0.0939	0.8812	0.0001	0.0001	0.0141	0.001	0.0001	0.0043	0.0045	0.0007
sp|Q9NYQ8|FAT2_HUMAN Protocadherin Fat 2 OS=Homo sapiens OX=9606 GN=FAT2 PE=1 SV=2	Cell_membrane	0.9995	0.0	0.0	0.0001	0.0	0.9982	0.0014	0.0	0.0002	0.0001	0.0
sp|Q8NCM8|DYHC2_HUMAN Cytoplasmic dynein 2 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC2H1 PE=1 SV=4	Cytoplasm	0.0161	0.0948	0.84	0.0001	0.0007	0.0123	0.0045	0.0002	0.0166	0.0279	0.0029
sp|P98161|PKD1_HUMAN Polycystin-1 OS=Homo sapiens OX=9606 GN=PKD1 PE=1 SV=3	Cell_membrane	0.9983	0.0	0.0	0.0002	0.0002	0.9955	0.003	0.0	0.0003	0.0006	0.0001
tr|F8VWT9|F8VWT9_HUMAN Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens OX=9606 GN=HECTD4 PE=1 SV=2	Cytoplasm	0.0441	0.1544	0.7921	0.0009	0.0007	0.035	0.0028	0.0003	0.0034	0.0059	0.0046
sp|P22105|TENX_HUMAN Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=5	Extracellular	0.0018	0.0002	0.0007	0.8952	0.0001	0.017	0.0491	0.0	0.0005	0.0372	0.0
tr|A0A087WXI2|A0A087WXI2_HUMAN IgGFc-binding protein OS=Homo sapiens OX=9606 GN=FCGBP PE=1 SV=3	Extracellular	0.0016	0.0001	0.0015	0.9807	0.0004	0.0046	0.0047	0.0	0.0001	0.0079	0.0
sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	Cytoplasm	0.0314	0.2723	0.6878	0.0001	0.0011	0.0101	0.0023	0.0002	0.0178	0.0054	0.0029
sp|P20930|FILA_HUMAN Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3	Nucleus	0.0087	0.5037	0.4833	0.0009	0.0	0.0086	0.0003	0.0	0.0003	0.0028	0.0
sp|Q86XX4|FRAS1_HUMAN Extracellular matrix organizing protein FRAS1 OS=Homo sapiens OX=9606 GN=FRAS1 PE=1 SV=2	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0002	0.0	0.0001	0.0	0.0
sp|Q9Y4D8|HECD4_HUMAN Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens OX=9606 GN=HECTD4 PE=1 SV=5	Cytoplasm	0.0173	0.1456	0.8327	0.0003	0.0001	0.0134	0.0008	0.0001	0.0017	0.0025	0.0027
sp|Q01484|ANK2_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=4	Cytoplasm	0.0159	0.0731	0.8959	0.0001	0.0	0.0209	0.0006	0.0001	0.005	0.0037	0.0005
sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4	Cytoplasm	0.0345	0.2742	0.7191	0.0001	0.0	0.0064	0.0	0.0	0.0002	0.0	0.0
tr|I6L894|I6L894_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1	Cytoplasm	0.0163	0.0732	0.8952	0.0001	0.0	0.0213	0.0006	0.0001	0.0051	0.0038	0.0005
sp|Q99996|AKAP9_HUMAN A-kinase anchor protein 9 OS=Homo sapiens OX=9606 GN=AKAP9 PE=1 SV=4	Cytoplasm	0.0989	0.0376	0.5288	0.0	0.0004	0.0068	0.0014	0.0001	0.4139	0.011	0.0
sp|Q9Y4A5|TRRAP_HUMAN Transformation/transcription domain-associated protein OS=Homo sapiens OX=9606 GN=TRRAP PE=1 SV=3	Cytoplasm	0.0229	0.1592	0.8114	0.0001	0.0006	0.0092	0.0019	0.0001	0.0119	0.0037	0.0018
tr|F2Z2U4|F2Z2U4_HUMAN Transformation/transcription domain-associated protein OS=Homo sapiens OX=9606 GN=TRRAP PE=1 SV=3	Cytoplasm	0.0241	0.1606	0.8098	0.0001	0.0007	0.0098	0.0019	0.0001	0.0115	0.0035	0.002
sp|Q99698|LYST_HUMAN Lysosomal-trafficking regulator OS=Homo sapiens OX=9606 GN=LYST PE=1 SV=3	Cytoplasm	0.0189	0.2579	0.7306	0.0	0.0001	0.0043	0.0006	0.0	0.0031	0.0031	0.0003
sp|Q709C8|VP13C_HUMAN Intermembrane lipid transfer protein VPS13C OS=Homo sapiens OX=9606 GN=VPS13C PE=1 SV=1	Cytoplasm	0.0519	0.1814	0.6987	0.0008	0.0119	0.0263	0.0098	0.0042	0.018	0.0272	0.0217
sp|Q7Z407|CSMD3_HUMAN CUB and sushi domain-containing protein 3 OS=Homo sapiens OX=9606 GN=CSMD3 PE=2 SV=3	Cell_membrane	0.9304	0.0016	0.0073	0.033	0.0005	0.9148	0.0255	0.0	0.0104	0.0067	0.0002
sp|O15230|LAMA5_HUMAN Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8	Extracellular	0.0359	0.0115	0.0253	0.8472	0.0087	0.0421	0.0203	0.0001	0.0061	0.038	0.0008
sp|P11532|DMD_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3	Cytoplasm	0.0159	0.1142	0.8548	0.0	0.0002	0.0042	0.0012	0.0001	0.0206	0.0046	0.0001
tr|A0A075B6G3|A0A075B6G3_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1	Cytoplasm	0.0159	0.1141	0.8548	0.0	0.0002	0.0042	0.0012	0.0001	0.0207	0.0047	0.0001
sp|Q96T58|MINT_HUMAN Msx2-interacting protein OS=Homo sapiens OX=9606 GN=SPEN PE=1 SV=1	Nucleus	0.0775	0.7535	0.2386	0.0	0.0	0.0077	0.0	0.0	0.0001	0.0	0.0
sp|Q96Q15|SMG1_HUMAN Serine/threonine-protein kinase SMG1 OS=Homo sapiens OX=9606 GN=SMG1 PE=1 SV=3	Cytoplasm	0.0143	0.0918	0.8811	0.0	0.0003	0.0104	0.0011	0.0001	0.0094	0.0048	0.0009
tr|E5RIG2|E5RIG2_HUMAN CUB and sushi domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CSMD1 PE=1 SV=1	Cell_membrane	0.9174	0.0	0.0	0.0369	0.0	0.9121	0.0166	0.0	0.0026	0.0319	0.0
sp|Q70CQ2|UBP34_HUMAN Ubiquitin carboxyl-terminal hydrolase 34 OS=Homo sapiens OX=9606 GN=USP34 PE=1 SV=2	Cytoplasm	0.0188	0.3918	0.5979	0.0	0.0001	0.0021	0.0006	0.0	0.0035	0.0038	0.0001
sp|Q8IZQ1|WDFY3_HUMAN WD repeat and FYVE domain-containing protein 3 OS=Homo sapiens OX=9606 GN=WDFY3 PE=1 SV=2	Cytoplasm	0.0499	0.3703	0.607	0.0004	0.0005	0.0142	0.0009	0.0001	0.0021	0.0022	0.0022
sp|Q7Z408|CSMD2_HUMAN CUB and sushi domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CSMD2 PE=1 SV=2	Cell_membrane	0.7251	0.0383	0.0666	0.0329	0.0493	0.7673	0.0091	0.0043	0.002	0.0211	0.0092
tr|J3KQ66|J3KQ66_HUMAN Reelin OS=Homo sapiens OX=9606 GN=RELN PE=1 SV=2	Extracellular	0.015	0.0001	0.0004	0.8985	0.0001	0.0052	0.0437	0.0	0.0002	0.0519	0.0
tr|H0YDN1|H0YDN1_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=9	Cytoplasm	0.009	0.047	0.936	0.0	0.0001	0.0104	0.0004	0.0001	0.003	0.002	0.0009
sp|P46939|UTRN_HUMAN Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2	Cytoplasm	0.0136	0.1279	0.8477	0.0	0.0001	0.0041	0.001	0.0001	0.0146	0.0044	0.0
sp|Q5T011|SZT2_HUMAN KICSTOR complex protein SZT2 OS=Homo sapiens OX=9606 GN=SZT2 PE=1 SV=3	Cytoplasm	0.0328	0.2497	0.727	0.0003	0.0001	0.0187	0.0005	0.0	0.0013	0.0011	0.0012
sp|P51587|BRCA2_HUMAN Breast cancer type 2 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA2 PE=1 SV=4	Cytoplasm	0.0363	0.4317	0.5545	0.0001	0.0002	0.01	0.0003	0.0001	0.0014	0.0011	0.0007
sp|P13611|CSPG2_HUMAN Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3	Extracellular	0.0897	0.1012	0.1481	0.4922	0.0329	0.084	0.0695	0.0103	0.0263	0.0341	0.0013
sp|Q9H251|CAD23_HUMAN Cadherin-23 OS=Homo sapiens OX=9606 GN=CDH23 PE=1 SV=2	Cell_membrane	0.9042	0.0003	0.0004	0.0155	0.0006	0.8027	0.0557	0.0	0.0035	0.1209	0.0003
sp|O95613|PCNT_HUMAN Pericentrin OS=Homo sapiens OX=9606 GN=PCNT PE=1 SV=4	Cytoplasm	0.0266	0.0444	0.8021	0.0002	0.0001	0.0091	0.0005	0.0	0.1404	0.0033	0.0
sp|Q9NYQ7|CELR3_HUMAN Cadherin EGF LAG seven-pass G-type receptor 3 OS=Homo sapiens OX=9606 GN=CELSR3 PE=1 SV=2	Cell_membrane	0.9995	0.0	0.0	0.0	0.0	0.9963	0.0028	0.0	0.0006	0.0002	0.0
sp|Q96JQ0|PCD16_HUMAN Protocadherin-16 OS=Homo sapiens OX=9606 GN=DCHS1 PE=1 SV=1	Cell_membrane	0.9703	0.0002	0.0001	0.0029	0.0016	0.958	0.01	0.0	0.0018	0.0252	0.0002
sp|Q15772|SPEG_HUMAN Striated muscle preferentially expressed protein kinase OS=Homo sapiens OX=9606 GN=SPEG PE=1 SV=4	Cytoplasm	0.0156	0.0605	0.923	0.0002	0.0	0.0154	0.0001	0.0	0.0002	0.0002	0.0003
sp|Q14789|GOGB1_HUMAN Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2	Golgi_apparatus	0.8975	0.0024	0.0033	0.0	0.0006	0.0012	0.0104	0.0	0.9774	0.0048	0.0
sp|Q8N2C7|UNC80_HUMAN Protein unc-80 homolog OS=Homo sapiens OX=9606 GN=UNC80 PE=1 SV=2	Cytoplasm	0.0548	0.2974	0.6765	0.0001	0.0001	0.0207	0.0007	0.0	0.002	0.0015	0.001
sp|P49792|RBP2_HUMAN E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2	Cytoplasm	0.0192	0.1718	0.8117	0.0001	0.0001	0.011	0.0004	0.0001	0.0018	0.0022	0.0008
sp|P12111|CO6A3_HUMAN Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5	Extracellular	0.0091	0.0001	0.0004	0.8869	0.0002	0.005	0.0662	0.0	0.0054	0.0357	0.0
sp|Q96RL7|VP13A_HUMAN Intermembrane lipid transfer protein VPS13A OS=Homo sapiens OX=9606 GN=VPS13A PE=1 SV=2	Cytoplasm	0.0671	0.1233	0.6477	0.0033	0.016	0.036	0.0137	0.0106	0.0138	0.0436	0.0919
sp|Q5SZK8|FREM2_HUMAN FRAS1-related extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=FREM2 PE=1 SV=3	Cell_membrane	0.9784	0.0001	0.0001	0.0001	0.0027	0.963	0.0074	0.0001	0.002	0.0243	0.0002
sp|P42858|HD_HUMAN Huntingtin OS=Homo sapiens OX=9606 GN=HTT PE=1 SV=2	Cytoplasm	0.0545	0.1843	0.7613	0.0002	0.0004	0.0212	0.0037	0.0001	0.0162	0.0107	0.0017
sp|P24043|LAMA2_HUMAN Laminin subunit alpha-2 OS=Homo sapiens OX=9606 GN=LAMA2 PE=1 SV=4	Extracellular	0.0091	0.0016	0.0054	0.8464	0.0005	0.0113	0.1072	0.0	0.0001	0.0274	0.0
tr|A0A087WYF1|A0A087WYF1_HUMAN Laminin subunit alpha-2 OS=Homo sapiens OX=9606 GN=LAMA2 PE=1 SV=2	Extracellular	0.009	0.0015	0.0053	0.8461	0.0005	0.0113	0.1076	0.0	0.0001	0.0275	0.0
sp|O75962|TRIO_HUMAN Triple functional domain protein OS=Homo sapiens OX=9606 GN=TRIO PE=1 SV=2	Cytoplasm	0.0061	0.0355	0.9483	0.0	0.0	0.009	0.0003	0.0	0.0036	0.003	0.0002
sp|Q8WUY3|PRUN2_HUMAN Protein prune homolog 2 OS=Homo sapiens OX=9606 GN=PRUNE2 PE=1 SV=3	Cytoplasm	0.0222	0.0753	0.8546	0.0002	0.0003	0.0122	0.0018	0.0002	0.0179	0.0372	0.0003
sp|P25391|LAMA1_HUMAN Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=2	Extracellular	0.0001	0.0001	0.0004	0.9957	0.0001	0.0007	0.0019	0.0	0.0002	0.0009	0.0
sp|Q8IWI9|MGAP_HUMAN MAX gene-associated protein OS=Homo sapiens OX=9606 GN=MGA PE=1 SV=4	Nucleus	0.0722	0.5075	0.4845	0.0	0.0	0.007	0.0001	0.0001	0.0004	0.0003	0.0002
sp|Q99715|COCA1_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2	Extracellular	0.0006	0.0	0.0001	0.8562	0.0001	0.0073	0.0708	0.0	0.0006	0.0649	0.0
sp|Q8NFC6|BD1L1_HUMAN Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens OX=9606 GN=BOD1L1 PE=1 SV=2	Nucleus	0.1518	0.9944	0.0055	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0
tr|F5H269|F5H269_HUMAN DmX-like protein 1 OS=Homo sapiens OX=9606 GN=DMXL1 PE=1 SV=1	Cytoplasm	0.0168	0.1922	0.7843	0.0005	0.0003	0.008	0.0011	0.0001	0.004	0.008	0.0015
sp|Q12830|BPTF_HUMAN Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3	Nucleus	0.1119	0.8056	0.191	0.0	0.0	0.0022	0.0001	0.0	0.0009	0.0001	0.0
tr|E9PGC8|E9PGC8_HUMAN Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=1	Cytoplasm	0.0191	0.055	0.9172	0.0	0.0	0.0215	0.0002	0.0	0.0048	0.0011	0.0001
sp|Q8TDJ6|DMXL2_HUMAN DmX-like protein 2 OS=Homo sapiens OX=9606 GN=DMXL2 PE=1 SV=2	Cytoplasm	0.024	0.3923	0.5922	0.0003	0.0008	0.0051	0.0007	0.0003	0.0023	0.0041	0.0018
sp|Q5TBA9|FRY_HUMAN Protein furry homolog OS=Homo sapiens OX=9606 GN=FRY PE=1 SV=1	Cytoplasm	0.0116	0.0702	0.8963	0.0001	0.0001	0.0079	0.0017	0.0	0.0091	0.0138	0.0008
sp|O94915|FRYL_HUMAN Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2	Cytoplasm	0.0121	0.0868	0.8824	0.0	0.0001	0.0066	0.0016	0.0001	0.01	0.0118	0.0006
sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3	Nucleus	0.0725	0.8814	0.1184	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0
sp|O60229|KALRN_HUMAN Kalirin OS=Homo sapiens OX=9606 GN=KALRN PE=1 SV=3	Cytoplasm	0.0095	0.081	0.9017	0.0	0.0	0.0084	0.0005	0.0	0.0039	0.0043	0.0002
sp|O43149|ZZEF1_HUMAN Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZZEF1 PE=1 SV=6	Cytoplasm	0.0423	0.2001	0.7588	0.0002	0.0002	0.023	0.0018	0.0001	0.0064	0.0085	0.0011
tr|H7BXZ5|H7BXZ5_HUMAN Non-specific serine/threonine protein kinase (Fragment) OS=Homo sapiens OX=9606 GN=KALRN PE=1 SV=1	Cytoplasm	0.0101	0.0908	0.8948	0.0	0.0	0.0077	0.0003	0.0	0.0032	0.003	0.0001
sp|O95359|TACC2_HUMAN Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens OX=9606 GN=TACC2 PE=1 SV=3	Cytoplasm	0.0295	0.0596	0.9217	0.0002	0.0001	0.016	0.0001	0.0001	0.0018	0.0005	0.0
sp|Q9HCU4|CELR2_HUMAN Cadherin EGF LAG seven-pass G-type receptor 2 OS=Homo sapiens OX=9606 GN=CELSR2 PE=1 SV=1	Cell_membrane	0.9998	0.0	0.0	0.0	0.0	0.9993	0.0006	0.0	0.0001	0.0	0.0
sp|P35556|FBN2_HUMAN Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3	Extracellular	0.0	0.0	0.0001	0.9994	0.0	0.0	0.0	0.0	0.0	0.0004	0.0
