Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Site
Q8N3F9	G137C_HUMAN	reviewed	Integral membrane protein GPR137C (Transmembrane 7 superfamily member 1-like 2 protein)	GPR137C TM7SF1L2	Homo sapiens (Human)	429	
Q9BY79	MFRP_HUMAN	reviewed	Membrane frizzled-related protein (Membrane-type frizzled-related protein)	MFRP	Homo sapiens (Human)	579	
P31150	GDIA_HUMAN	reviewed	Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1) (Oligophrenin-2) (Protein XAP-4)	GDI1 GDIL OPHN2 RABGDIA XAP4	Homo sapiens (Human)	447	
Q16538	GP162_HUMAN	reviewed	Probable G-protein coupled receptor 162 (Gene-rich cluster gene A protein)	GPR162 GRCA	Homo sapiens (Human)	588	
Q9NSA2	KCND1_HUMAN	reviewed	Potassium voltage-gated channel subfamily D member 1 (Voltage-gated potassium channel subunit Kv4.1)	KCND1	Homo sapiens (Human)	647	
O75398	DEAF1_HUMAN	reviewed	Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1-related transcriptional regulator) (NUDR) (Suppressin) (Zinc finger MYND domain-containing protein 5)	DEAF1 SPN ZMYND5	Homo sapiens (Human)	565	
O75541	ZN821_HUMAN	reviewed	Zinc finger protein 821	ZNF821	Homo sapiens (Human)	412	
P18507	GBRG2_HUMAN	reviewed	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	GABRG2	Homo sapiens (Human)	467	
Q8TDI0	CHD5_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.12) (ATP-dependent helicase CHD5)	CHD5 KIAA0444	Homo sapiens (Human)	1954	
P46095	GPR6_HUMAN	reviewed	G-protein coupled receptor 6 (Sphingosine 1-phosphate receptor GPR6)	GPR6	Homo sapiens (Human)	362	
Q9BT88	SYT11_HUMAN	reviewed	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	SYT11 KIAA0080	Homo sapiens (Human)	431	
Q02577	HEN2_HUMAN	reviewed	Helix-loop-helix protein 2 (HEN-2) (Class A basic helix-loop-helix protein 34) (bHLHa34) (Nescient helix loop helix 2) (NSCL-2)	NHLH2 BHLHA34 HEN2 KIAA0490	Homo sapiens (Human)	135	
P48443	RXRG_HUMAN	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	RXRG NR2B3	Homo sapiens (Human)	463	
Q86SK9	SCD5_HUMAN	reviewed	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (HSCD5) (Stearoyl-CoA 9-desaturase) (Stearoyl-CoA desaturase 2)	SCD5 ACOD4 SCD2 SCD4	Homo sapiens (Human)	330	
P0DMW5	SIL2B_HUMAN	reviewed	Small integral membrane protein 10-like protein 2B	SMIM10L2B LINC00087 NCRNA00087	Homo sapiens (Human)	78	
P01148	GON1_HUMAN	reviewed	Progonadoliberin-1 (Progonadoliberin I) [Cleaved into: Gonadoliberin-1 (Gonadoliberin I) (Gonadorelin) (Gonadotropin-releasing hormone I) (GnRH-I) (Luliberin I) (Luteinizing hormone-releasing hormone I) (LH-RH I); GnRH-associated peptide 1 (GnRH-associated peptide I)]	GNRH1 GNRH GRH LHRH	Homo sapiens (Human)	92	SITE 26;  /note="Appears to be essential for biological activity"
P62166	NCS1_HUMAN	reviewed	Neuronal calcium sensor 1 (NCS-1) (Frequenin homolog) (Frequenin-like protein) (Frequenin-like ubiquitous protein)	NCS1 FLUP FREQ	Homo sapiens (Human)	190	
Q5VWX1	KHDR2_HUMAN	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 2 (Sam68-like mammalian protein 1) (SLM-1) (hSLM-1)	KHDRBS2 SLM1	Homo sapiens (Human)	349	
Q8TBE1	CNIH3_HUMAN	reviewed	Protein cornichon homolog 3 (CNIH-3) (Cornichon family AMPA receptor auxiliary protein 3)	CNIH3	Homo sapiens (Human)	160	
Q4W5P6	SIM43_HUMAN	reviewed	Small integral membrane protein 43	SMIM43 TMEM155	Homo sapiens (Human)	63	
Q16827	PTPRO_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2)	PTPRO GLEPP1 PTPU2	Homo sapiens (Human)	1216	
Q96L94	SNX22_HUMAN	reviewed	Sorting nexin-22	SNX22	Homo sapiens (Human)	193	
Q9Y2T4	2ABG_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform (IMYPNO1) (PP2A subunit B isoform B55-gamma) (PP2A subunit B isoform PR55-gamma) (PP2A subunit B isoform R2-gamma) (PP2A subunit B isoform gamma)	PPP2R2C	Homo sapiens (Human)	447	
A6NEQ2	F181B_HUMAN	reviewed	Protein FAM181B	FAM181B	Homo sapiens (Human)	426	
Q9HCF6	TRPM3_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 3 (Long transient receptor potential channel 3) (LTrpC-3) (LTrpC3) (Melastatin-2) (MLSN2)	TRPM3 KIAA1616 LTRPC3	Homo sapiens (Human)	1732	
Q9UN72	PCDA7_HUMAN	reviewed	Protocadherin alpha-7 (PCDH-alpha-7)	PCDHA7 CNRS4	Homo sapiens (Human)	937	
Q9BX67	JAM3_HUMAN	reviewed	Junctional adhesion molecule C (JAM-C) (JAM-2) (Junctional adhesion molecule 3) (JAM-3) [Cleaved into: Soluble form of JAM-C (sJAM-C)]	JAM3 UNQ859/PRO1868	Homo sapiens (Human)	310	
Q8IXJ6	SIR2_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	Homo sapiens (Human)	389	
P0DPD6	ECE2_HUMAN	reviewed	Endothelin-converting enzyme 2 (ECE-2) (EC 3.4.24.71)	ECE2 KIAA0604 UNQ403/PRO740	Homo sapiens (Human)	811	
P0DPD7	EFMT4_HUMAN	reviewed	EEF1A lysine methyltransferase 4 (EC 2.1.1.-)	EEF1AKMT4	Homo sapiens (Human)	255	
P0DPD8	EFCE2_HUMAN	reviewed	EEF1AKMT4-ECE2 readthrough transcript protein (EC 3.4.24.71) [Includes: Methyltransferase-like region (EC 2.1.1.-); Endothelin-converting enzyme 2 region (EC 3.4.24.71)]	EEF1AKMT4-ECE2	Homo sapiens (Human)	883	
Q9UBN1	CCG4_HUMAN	reviewed	Voltage-dependent calcium channel gamma-4 subunit (Neuronal voltage-gated calcium channel gamma-4 subunit) (Transmembrane AMPAR regulatory protein gamma-4) (TARP gamma-4)	CACNG4	Homo sapiens (Human)	327	
Q9UIK5	TEFF2_HUMAN	reviewed	Tomoregulin-2 (TR-2) (Hyperplastic polyposis protein 1) (Transmembrane protein with EGF-like and two follistatin-like domains)	TMEFF2 HPP1 TENB2 TPEF UNQ178/PRO204	Homo sapiens (Human)	374	
Q9P0L9	PK2L1_HUMAN	reviewed	Polycystic kidney disease 2-like 1 protein (Polycystin-2 homolog) (Polycystin-2L1) (Polycystin-L) (Polycystin-L1)	PKD2L1 PKD2L PKDL TRPP3	Homo sapiens (Human)	805	
P60893	GPR85_HUMAN	reviewed	Probable G-protein coupled receptor 85 (Super conserved receptor expressed in brain 2)	GPR85 SREB2	Homo sapiens (Human)	370	
O15068	MCF2L_HUMAN	reviewed	Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein)	MCF2L KIAA0362 OST	Homo sapiens (Human)	1137	
Q8N5S3	CB073_HUMAN	reviewed	Uncharacterized protein C2orf73	C2orf73	Homo sapiens (Human)	287	
Q9NPU4	CN132_HUMAN	reviewed	Uncharacterized protein C14orf132	C14orf132 C14orf88	Homo sapiens (Human)	83	
A5PKW4	PSD1_HUMAN	reviewed	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)	PSD EFA6 EFA6A KIAA2011 PSD1 TYL	Homo sapiens (Human)	1024	
A6NI15	MSGN1_HUMAN	reviewed	Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1)	MSGN1	Homo sapiens (Human)	193	
Q86SE8	NPM2_HUMAN	reviewed	Nucleoplasmin-2	NPM2	Homo sapiens (Human)	214	SITE 57;  /note="Interaction between pentamers"; SITE 84;  /note="Interaction between pentamers"
Q5VTL7	FNDC7_HUMAN	reviewed	Fibronectin type III domain-containing protein 7	FNDC7	Homo sapiens (Human)	733	
O00767	SCD_HUMAN	reviewed	Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase)	SCD FADS5 SCD1 SCDOS	Homo sapiens (Human)	359	
Q8IV16	HDBP1_HUMAN	reviewed	Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPI-HBP1) (GPI-anchored HDL-binding protein 1) (High density lipoprotein-binding protein 1)	GPIHBP1 HBP1	Homo sapiens (Human)	184	
Q05329	DCE2_HUMAN	reviewed	Glutamate decarboxylase 2 (EC 4.1.1.15) (65 kDa glutamic acid decarboxylase) (GAD-65) (Glutamate decarboxylase 65 kDa isoform)	GAD2 GAD65	Homo sapiens (Human)	585	
P37840	SYUA_HUMAN	reviewed	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	Homo sapiens (Human)	140	
Q8N126	CADM3_HUMAN	reviewed	Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1)	CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258	Homo sapiens (Human)	398	SITE 25;  /note="Not glycosylated";  /evidence="ECO:0000269|PubMed:18420026"
O14910	LIN7A_HUMAN	reviewed	Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1)	LIN7A MALS1 VELI1	Homo sapiens (Human)	233	
Q9P242	NYAP2_HUMAN	reviewed	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2	NYAP2 KIAA1486	Homo sapiens (Human)	653	
Q5TF21	SOGA3_HUMAN	reviewed	Protein SOGA3	SOGA3 C6orf174	Homo sapiens (Human)	947	
Q96BQ3	TRI43_HUMAN	reviewed	Tripartite motif-containing protein 43	TRIM43	Homo sapiens (Human)	446	
Q9UI47	CTNA3_HUMAN	reviewed	Catenin alpha-3 (Alpha T-catenin) (Cadherin-associated protein)	CTNNA3	Homo sapiens (Human)	895	
Q8NFZ3	NLGNY_HUMAN	reviewed	Neuroligin-4, Y-linked (Neuroligin Y)	NLGN4Y KIAA0951	Homo sapiens (Human)	816	
P14616	INSRR_HUMAN	reviewed	Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]	INSRR IRR	Homo sapiens (Human)	1297	
