Supplementary Table 2. Spectrum Mill protein summary report of the iTRAQ discovery data. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exp1 numSpectra;Exp1 totalIntensity;Exp1 pct_cov;Exp1 unique_peptides;Exp1 iTRAQ_ratio_1;Exp1 iTRAQ_ratio_2;Exp1 iTRAQ_ratio_3;Exp2 numSpectra;Exp2 totalIntensity;Exp2 pct_cov;Exp2 unique_peptides;Exp2 iTRAQ_ratio_1;Exp2 iTRAQ_ratio_2;Exp2 iTRAQ_ratio_3;Exp3 numSpectra;Exp3 totalIntensity;Exp3 pct_cov;Exp3 unique_peptides;Exp3 iTRAQ_ratio_1;Exp3 iTRAQ_ratio_2;Exp3 iTRAQ_ratio_3;Exp4 numSpectra;Exp4 totalIntensity;Exp4 pct_cov;Exp4 unique_peptides;Exp4 iTRAQ_ratio_1;Exp4 iTRAQ_ratio_2;Exp4 iTRAQ_ratio_3;Exp5 numSpectra;Exp5 totalIntensity;Exp5 pct_cov;Exp5 unique_peptides;Exp5 iTRAQ_ratio_1;Exp5 iTRAQ_ratio_2;Exp5 iTRAQ_ratio_3; accession_number; accession_numbers; coverage_map; coverage_maps; percentCoverage; percentCoverages; numPepsUnique; scoreUnique; scoresUnique;iTRAQ_115_114;iTRAQ_115_114_stddev;iTRAQ_116_114;iTRAQ_116_114_stddev;iTRAQ_117_114;iTRAQ_117_114_stddev;iTRAQ_numRatios; groupNum; subgroupNum; numSubgroups; entry_name;;;
17;6,80E+08;11%;4;1,12;1,61;1,48;17;7,69E+08;13%;5;1,11;0,84;0,83;20;2,35E+09;15%;6;0,72;1,01;1,18;15;1,64E+09;11%;4;0,63;0,9;0,78;29;3,28E+09;21%;9;0,6;0,57;0,83;IPI00011264;IPI00011264|IPI00883722;0+270+11+49;0+27+11+26+5+96+6+90+24+6+10+13+15+1|0+27+11+26+5+133+24+6+10+13+15+1;21;21|23;9;128,25;128.25|117.8;0,81;0,5;0,94;0,81;1,01;0,84;98;5;5,2;1;LOC100293069;CFHR1 Complement factor H-related protein 1;;
100;1,93E+09;28%;36;0,64;0,5;0,45;76;1,38E+09;23%;32;1,22;1,05;0,94;71;2,86E+09;19%;29;0,7;0,84;1,03;55;1,54E+09;17%;23;0,55;0,35;0,59;86;3,84E+09;19%;27;0,52;0,65;1,02;IPI00783987;IPI00783987|IPI00887739|IPI00942927|IPI00739237;0+1111+23+529;0+35+30+1+7+63+25+15+29+58+41+11+7+21+16+3+24+41+12+23+16+30+36+40+23+8+7+49+7+34+23+54+7+67+16+2+10+22+13+19+6+28+20+37+24+45+29+5+16+48+12+10+19+16+43+7+10+17+14+13+27+59+12+29+10+50+38+74|0+35+30+1+7+63+25+15+29+58+41+11+7+21+16+3+24+41+12+23+16+30+36+40+23+8+7+49+7+34+23+54+7+67+16+2+10+22+13+19+6+28+20+37+24+45+29+5+16+48+12+10+19+16+24+11|0+35+30+1+7+63+25+15+29+58+41+11+7+21+16+3+24+41+12+23+16+30+36+40+23+8+7+49+7+34+23+39+13+19+6+28+20+37+24+65+38+74|0+11+19+7+10+17+14+13+27+59+12+29+10+50+38+74;37;37|38|36|33;51;832,62;832.62|644.55|532.34|188.07;0,72;0,32;0,68;0,33;0,79;0,39;327;6;6,1;1;C3 Complement C3 (Fragment);;;
276;2,76E+10;56%;38;0,96;1,32;0,46;314;3,29E+10;62%;41;0,67;0,8;1,2;312;8,39E+10;64%;41;0,59;0,76;1,28;369;1,05E+11;62%;42;0,75;0,66;0,69;342;1,23E+11;64%;43;0,26;0,95;1;IPI00006601;IPI00006601;0+654+14+9;0+26+32+11+11+7+30+5+9+2+20+6+16+3+50+6+20+4+19+15+32+9+28+4+50+12+8+4+16+3+7+4+24+110+11+2+52+4+4+1;64;64;43;825,65;825,65;0,63;0,44;0,88;0,64;0,93;0,6;1525;7;7,1;1;CHGB Secretogranin-1;;;
227;2,34E+10;51%;32;0,96;1,35;0,46;255;2,77E+10;57%;34;0,73;0,79;1,18;258;6,23E+10;58%;34;0,61;0,75;1,25;304;8,39E+10;57%;35;0,75;0,67;0,71;286;1,03E+11;61%;36;0,26;0,95;1;IPI00911047;IPI00911047;0+566+14+9;0+26+32+13+57+18+20+4+19+15+32+9+28+4+50+12+8+4+16+3+7+4+24+110+11+2+52+4+4+1;61;61;36;688,3;688,3;0,65;0,45;0,89;0,65;0,92;0,59;1303;7;7,2;1;- cDNA FLJ58131, highly similar to Secretogranin-1;;;
150;1,32E+10;64%;19;0,96;1,31;0,46;158;1,29E+10;77%;21;0,64;0,79;1,29;153;4,39E+10;75%;20;0,58;0,76;1,36;165;4,95E+10;69%;20;0,7;0,58;0,67;165;5,78E+10;75%;21;0,24;1,02;1,07;IPI00647027;IPI00647027;0+81+16+192;1+38+11+11+7+30+5+9+2+20+6+16+3+50+6+20+4+19+15+12+5;77;77;22;415,84;415,84;0,62;0,44;0,89;0,63;0,97;0,65;720;7;7,3;1;CHGB 32 kDa protein;;;
35;4,57E+08;4%;15;0,6;0,89;1,95;79;1,55E+09;7%;28;3,51;0,91;1,08;42;1,49E+09;3%;14;0,84;0,67;1,57;197;1,75E+10;11%;48;2,23;1,23;5,13;63;3,55E+09;6%;24;1,17;0,64;1,77;IPI00242956;IPI00242956|IPI00936296|IPI00941166|IPI00888280|IPI00936055|IPI00940916|IPI00935210;0+4323+20+1062;0+29+49+105+9+132+56+42+12+20+7+63+32+2+9+2+7+96+7+159+8+58+17+129+12+19+8+1883+9+418+25+245+23+14+5+56+10+82+19+166+15+67+9+15+5+18+9+65+13+58+25+180+9+68+25+276+41+8+8+3+18+75+20+18+20+114+6+18+59+8+7+8+9+14+12+38|0+29+49+105+9+132+56+42+12+20+7+63+32+2+9+2+7+96+7+159+8+58+17+129+12+19+8+178+23+14+5+56+10+82+19+166+15+67+9+15+5+20+9+65+13+58+25+180+9+68+25+276+41+8+8+3+18+75+20+18+20+114+6+18+59+8+7+8+9+14+12+36|0+48+15+67+9+15+5+18+9+65+13+58+25+180+9+68+25+276+41+8+8+3+18+75+20+18+20+114+6+18+59+8+7+8+9+14+12+38|0+126+9+15+5+18+9+65+13+63+20+180+9+68+25+276+41+8+8+3+18+75+20+18+20+114+6+18+59+8+7+8+9+14+12+36|0+90+49+105+9+132+56+42+12+20+7+63+32+2+9+2+7+96+7+159+8+58+17+129+12+19+8+178+23+14+5+102|0+509+15+67+9+15+5+18+9+65+13+58+25+180+9+68+25+245+23+14+5+56+10+82+19+119|0+30+10+82+19+282+9+15+5+18+9+65+13+36;11;11|19|22|20|17|10|10;49;821,89;821.89|782.35|387.27|362.58|357.56|219.97|98.13;2;1,29;0,99;0,52;3,24;2,63;322;8;8,1;1;FCGBP IgGFc-binding protein;;;
254;1,23E+10;48%;43;0,69;1,02;0,43;251;1,48E+10;41%;40;0,54;0,92;1,08;259;3,59E+10;44%;39;0,61;0,77;1,05;269;3,78E+10;42%;40;0,56;0,51;0,39;255;4,24E+10;45%;44;0,3;0,66;0,95;IPI00029751;IPI00029751|IPI00216641|IPI00479304;0+277+19+722;0+26+40+2+8+14+15+19+23+5+34+34+29+27+20+111+14+2+5+3+19+101+7+13+5+25+10+5+20+6+8+3+27+9+9+2+19+2+45+19+82+34+15+25+12+6+32+27|0+26+29+2+8+14+15+19+23+5+34+34+29+27+20+111+14+2+5+3+19+101+7+13+5+25+10+5+20+6+8+3+27+9+9+2+19+2+45+19+82+34+15+25+12+6+32+27|0+26+40+2+8+14+15+19+23+5+34+34+29+27+20+111+14+2+5+3+19+101+7+13+5+51;48;48|48|34;47;812,99;812.99|780.44|376.88;0,54;0,24;0,77;0,31;0,77;0,41;1236;9;9,1;1;CNTN1 Isoform 1 of Contactin-1;;;
190;1,02E+10;32%;37;0,7;1,06;0,33;213;1,29E+10;33%;38;0,4;1,04;1,12;201;3,46E+10;33%;37;0,62;0,6;1,33;202;3,03E+10;36%;38;0,39;0,4;0,33;201;4,01E+10;36%;40;0,18;0,63;0,86;IPI00299059;IPI00299059|IPI00783390|IPI00925181|IPI00924657|IPI00794030|IPI00927924|IPI00924980|IPI00927259;0+157+22+1045;0+42+40+11+13+2+24+3+61+16+5+4+7+24+40+12+5+3+9+4+23+127+10+14+29+6+4+6+17+4+5+104+6+4+68+35+13+43+8+8+8+2+6+4+6+5+49+3+14+50+4+36+20+158|0+42+40+11+13+2+24+3+61+16+5+19+40+12+5+3+9+4+23+127+10+14+29+6+4+6+17+4+5+104+6+4+68+35+13+43+8+8+8+2+6+4+6+5+49+3+14+50+4+36+20+158|0+42+40+11+13+2+24+3+44+2|0+30+8+8+8+2+6+4+6+5+49+3+14+50+4+120|0+28+40+11+13+2+6+27|0+42+40+14|0+42+40+3|0+42+18+6;40;40|40|66|29|46|41|47|27;46;751,49;751.49|742.86|165.21|129.52|84.49|49.83|49.83|15.18;0,46;0,27;0,75;0,39;0,8;0,5;941;10;10,1;1;CHL1 Isoform 2 of Neural cell adhesion molecule L1-like protein;;;
269;2,05E+10;58%;35;0,73;1,12;0,43;272;2,35E+10;58%;34;0,49;1,1;1,32;305;8,22E+10;51%;33;0,61;0,89;1,16;315;7,99E+10;57%;38;0,52;0,53;0,39;303;9,28E+10;60%;38;0,32;0,76;1,11;IPI00296777;IPI00296777|IPI00965611|IPI00909737|IPI00793166;0+510+16+138;0+46+21+3+28+25+45+38+20+6+23+31+96+5+21+18+13+1+5+46+35+6+20+7+6+1+13+4+81|0+7+36+38+20+6+23+31+96+5+21+18+13+1+5+46+35+6+20+7+6+1+13+4+81|0+46+8+58+96+5+21+18+13+1+5+46+35+6+20+7+6+1+13+4+81|0+46+21+3+28+25+9+12;64;64|68|60|40;41;746,94;746.94|591.27|490.73|155.67;0,53;0,33;0,86;0,57;0,87;0,61;1295;11;11,1;1;SPARCL1 SPARC-like protein 1;;;
222;1,95E+10;58%;27;0,79;1,23;0,42;232;2,23E+10;58%;27;0,52;1,17;1,39;264;7,58E+10;56%;26;0,64;0,91;1,2;266;6,98E+10;65%;32;0,61;0,92;0,39;250;8,62E+10;64%;30;0,35;0,74;1,26;IPI00910380;IPI00910380;0+365+16+138;0+46+21+3+53+18+96+5+21+18+13+1+5+46+35+6+20+7+6+1+13+4+81;70;70;34;615,25;615,25;0,58;0,48;0,98;1,73;0,92;0,67;1104;11;11,2;1;SPARCL1 cDNA FLJ54278, highly similar to SPARC-like protein 1;;;
