Supplementary Table 3. A summary of the protein quantitation in AD and control CSF samples;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sathe et al., 2018. Quantitative proteomic profiling of cerebrospinal fluid to identify candidate biomarkers for Alzheimer’s disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Significant;LOG(Pvalue);Log(Fold change);Gene Symbol;Description;emPAI;Score Sequest HT;# Peptides Sequest HT;Sum PEP Score;Coverage;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;MW [kDa];calc. pI;Symbol color;Symbol type;Symbol size;Show label;Abundances (Grouped): 126;Abundances (Grouped): 127N;Abundances (Grouped): 127C;Abundances (Grouped): 128N;Abundances (Grouped): 128C;Abundances (Grouped): 129N;Abundances (Grouped): 129C;Abundances (Grouped): 130N;Abundances (Grouped): 130C;Abundances (Grouped): 131
+;2,548549774;-1,260016792;SPP1;osteopontin isoform OPN-a precursor [Homo sapiens];283,804;708,23;14;134,106;49,68152866;14;178;1;1;35,4;4,58;Color2 [DarkGray];1;4;;0,03486276;0,1073545;0,9879286;0,9395249;0,9204676;-0,1564627;-1,082106;-0,7770121;-0,2067802;-1,087584
+;2,393311723;-0,838435997;NPTX2;neuronal pentraxin-2 precursor [Homo sapiens];5,158;79,43;14;44,011;27,61020882;14;25;14;1;47;5,63;Color2 [DarkGray];1;4;;1,064723;0,9722099;0,5658521;0,4214308;0,1223193;0,03209316;-0,148874;-0,5714764;0,02090434;-0,3782917
+;1,998573775;0,877904119;YWHAG;14-3-3 protein gamma [Homo sapiens];9;131,96;13;54,344;50,20242915;13;37;7;1;28,3;4,89;Color2 [DarkGray];1;4;;-0,2943366;-0,317409;-0,3350594;0,09258231;-0,2756133;0,6285142;0,5953174;1,081359;-0,2273282;1,181822
+;3,713700898;0,901984234;CECR1;adenosine deaminase CECR1 isoform a precursor [Homo sapiens];2,3;77,04;13;38,971;23,87475538;13;25;13;1;58,9;7,91;Color2 [DarkGray];1;4;;-0,468977;-0,1259648;-0,716924;-0,5060256;-0,5078104;0,08212435;0,5952648;0,3701801;0,6587019;0,4779483
+;2,00388939;-0,831909286;SPP1;osteopontin isoform OPN-c precursor [Homo sapiens];500,187;661,36;13;133,128;44,94773519;13;167;2;1;32,3;4,55;Color2 [DarkGray];1;4;;-0,06472064;0,1886788;0,8474173;0,1366352;0,1656265;-0,009576666;-0,9497581;-0,6266929;-0,281569;-1,018313
+;2,540505856;-0,682224584;TGOLN2;trans-Golgi network integral membrane protein 2 isoform 4 precursor [Homo sapiens];7,66;135,59;13;62,053;36,4116095;13;37;1;1;39,5;5,59;Color2 [DarkGray];1;4;;0,3875581;0,3983655;0,3914818;0,583166;0,1061909;0,04700056;-0,3555143;-0,3056474;-0,1287126;-0,8014868
+;2,922567846;0,699510333;DDAH1;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 isoform 1 [Homo sapiens];6,627;113,13;12;67,964;56,14035088;12;25;11;1;31,1;5,81;Color2 [DarkGray];1;4;;-0,3334084;-0,2506871;-0,7252852;-0,09009291;-0,5927553;0,2336388;0,1945498;0,4109898;0,09642981;0,5697145
+;2,072578481;-0,954874311;LDLR;low-density lipoprotein receptor isoform 1 precursor [Homo sapiens];1,031;61;12;38,719;15,11627907;12;17;11;1;95,3;5,05;Color2 [DarkGray];1;4;;0,1084104;0,09121535;0,07750569;0,3348021;1,089288;-0,08650902;-0,8005752;-0,8849583;-0,2142469;-1,08686
+;1,972370201;0,836263247;CFD;complement factor D preproprotein [Homo sapiens];9;153,57;11;56,939;52,56916996;11;31;11;1;27;7,71;Color2 [DarkGray];1;4;;-0,9255681;-0,886722;-0,3261514;-0,6025196;0,1523286;0,003481025;0,257109;0,1869045;0,2336225;0,9115668
+;3,118329845;-0,710897347;IL1RAP;interleukin-1 receptor accessory protein isoform 3 precursor [Homo sapiens];1,548;78,53;11;41,525;14,99272198;11;24;11;1;78,6;7,12;Color2 [DarkGray];1;4;;-0,003573837;0,6835027;0,6065947;0,4638301;0,2788355;-0,4259581;-0,229084;-0,2337917;-0,449651;-0,1868127
+;1,842546538;0,857115992;NRXN3;neurexin 3 isoform 3 precursor [Homo sapiens];12,895;164,69;11;71,873;27,45098039;11;38;2;1;50,7;9,07;Color2 [DarkGray];1;4;;0,01071983;-0,3398953;-0,3240276;-0,173834;-0,3889445;-0,03164187;0,6578781;0,9594311;0,0944856;1,389446
+;3,468908252;0,68532835;PBXIP1;pre-B-cell leukemia transcription factor-interacting protein 1 [Homo sapiens];1,807;78,93;11;51,684;18,19425445;11;20;11;1;80,6;5,33;Color2 [DarkGray];1;4;;-0,1459243;-0,418945;-0,2389086;-0,3444248;-0,2386627;0,0210335;0,3997262;0,6085916;0,4308552;0,5795698
+;1,62610659;-0,976870523;SLPI;antileukoproteinase precursor [Homo sapiens];50,795;87;11;37,544;63,63636364;11;24;11;1;14,3;8,75;Color2 [DarkGray];1;4;;0,1980115;-0,1622974;0,6298911;0,4424024;0,7297162;0,112948;-0,1915989;-0,3250118;-1,047586;-1,59538
+;2,790184836;0,687688369;YWHAB;14-3-3 protein beta/alpha [Homo sapiens];10,788;142,05;11;50,273;47,96747967;11;40;4;1;28,1;4,83;Color2 [DarkGray];1;4;;-0,1093773;-0,693857;-0,4211402;-0,07099567;-0,3475982;0,4272069;0,2602283;0,5402538;0,03889455;0,52889
+;3,093637798;-0,854852533;FGFR1;fibroblast growth factor receptor 1 isoform X2 [Homo sapiens];1,198;128,38;10;53,684;13,32560834;10;36;1;1;96,5;7,17;Color2 [DarkGray];1;4;;0,3620472;0,07428261;0,8405982;0,5906604;0,6943401;-0,1176139;-0,2938734;-0,6886153;-0,295384;-0,3168475
+;2,655169881;1,558031368;NRXN2;neurexin-2-beta isoform beta precursor [Homo sapiens];2,162;82,3;10;34,81;16,51651652;10;23;2;1;70,9;6,38;Color2 [DarkGray];1;4;;-0,03189434;-0,5763122;-0,6086688;-0,8631855;-0,821496;-0,09622975;1,166023;1,405488;0,6759766;1,737342
+;3,140162606;-0,731720582;SERPINB6;serpin B6 isoform X2 [Homo sapiens];2,162;60,6;10;45,596;27,31277533;10;16;10;1;51,2;6,34;Color2 [DarkGray];1;4;;0,2195845;0,3888714;0,2616093;0,2132728;0,2211089;-0,06674582;-0,6486698;-0,5982447;-0,2532686;-0,7872271
+;3,932091231;0,82090365;ISLR;immunoglobulin superfamily containing leucine-rich repeat protein precursor [Homo sapiens];14,199;125,8;9;57,425;31,07476636;9;28;9;1;46;5,15;Color2 [DarkGray];1;4;;-0,1742224;-0,5097113;-0,3860584;-0,3928601;-0,4631533;0,04738855;0,4864828;0,4513488;0,653414;0,5398785
+;3,806733486;1,892214888;SEMA4D;semaphorin-4D isoform X2 [Homo sapiens];1,276;61,63;9;42,617;16,93766938;9;15;1;1;82,1;7,47;Color2 [DarkGray];1;4;;-1,463665;-0,9873714;-0,9049113;-0,5353726;-0,3861691;0,7979298;0,4580642;1,657827;0,9158981;1,353866
+;1,382150694;-1,123316009;EFEMP2;EGF-containing fibulin-like extracellular matrix protein 2 precursor [Homo sapiens];2,548;89,22;9;54,021;25,28216704;9;21;9;1;49,4;4,94;Color2 [DarkGray];1;4;;0,06492544;-0,0230539;0,1808749;0,01753957;0,2191806;-0,01360847;-0,441972;-0,4129206;-2,108499;-2,180114
+;1,280505709;1,475010443;SERPINB3;serpin B3 [Homo sapiens];1,565;50,21;8;32,439;23,07692308;8;15;5;1;44,5;6,81;Color2 [DarkGray];1;4;;-0,7551618;-0,7106317;0,7323763;-0,786522;-0,8686869;-0,9882931;0,5534835;1,657168;1,425044;2,339025
+;2,196338262;-1,072043672;CNTNAP3;contactin-associated protein-like 3 precursor [Homo sapiens];0,416;29,74;8;20,331;6,909937888;8;10;6;1;140,6;7,78;Color2 [DarkGray];1;4;;0,9107021;-0,005245968;0,673825;0,148307;0,1567432;0,1667829;-0,9810594;-1,197035;-0,652184;-0,8123918
+;3,275562004;0,617149276;PTK7;inactive tyrosine-protein kinase 7 isoform e [Homo sapiens];0,514;55,17;8;39,42;11,13172542;8;15;8;1;119,1;6,96;Color2 [DarkGray];1;4;;-0,1061414;-0,3018244;-0,4008038;-0,2607586;-0,3721212;-0,01776936;0,4436103;0,5062826;0,2426272;0,4693461
+;2,766319514;0,862056512;MERTK;tyrosine-protein kinase Mer precursor [Homo sapiens];0,535;59,01;8;30,559;10,61061061;8;14;8;1;110,2;5,8;Color2 [DarkGray];1;4;;-0,03303688;-0,4181305;-0,4355638;-0,4195483;-0,2057107;-0,0949581;0,692686;0,7196696;0,6125336;0,8683613
+;2,752816382;-1,082891624;ATP5A1;ATP synthase subunit alpha, mitochondrial isoform a precursor [Homo sapiens];0,812;52,21;7;26,885;16,63652803;7;15;7;1;59,7;9,13;Color2 [DarkGray];1;4;;1,457182;0,4663059;0,898632;0,2677581;0,3406529;-0,5797329;-0,3516201;-0,4887626;-0,1116269;-0,452185
+;1,316038861;2,032649401;S100A7;protein S100-A7 [Homo sapiens];25,827;91,8;7;45,277;50,4950495;7;24;7;1;11,5;6,77;Color2 [DarkGray];1;4;;-0,2041577;-0,4400218;1,115244;-0,9656667;-0,2354587;-0,2208641;0,1985575;2,583414;3,044309;3,82777
+;2,906070042;3,060720168;MAPT;microtubule-associated protein tau isoform X11 [Homo sapiens];1,154;54,82;6;25,41;17,81737194;6;13;1;1;46,8;9,58;Color2 [DarkGray];1;4;;-0,02733953;-2,237769;-1,49902;-1,415343;-1,929554;-0,101322;1,703493;2,531677;1,362275;2,698452
+;2,295190005;1,64571138;VSTM2A;V-set and transmembrane domain-containing protein 2A isoform X3 [Homo sapiens];2,981;102,33;6;24,169;18,14159292;6;27;1;1;25;8,69;Color2 [DarkGray];1;4;;-0,02978683;-0,977116;-0,5927184;-1,311769;-0,780495;-0,09858175;0,9628857;1,711432;0,2311317;1,729803
+;2,825122897;-0,801875459;LY6H;lymphocyte antigen 6H isoform b precursor [Homo sapiens];9;149,08;6;28,441;25,46583851;6;45;6;1;17;8,29;Color2 [DarkGray];1;4;;0,5894338;0,2989092;0,3335127;0,1643601;0,08662867;0,0646584;-0,6148838;-0,576993;-0,6485336;-0,7607808
+;1,68687247;-1,277175304;VEGFC;vascular endothelial growth factor C preproprotein [Homo sapiens];1,015;19,13;6;21,506;14,79713604;6;7;6;1;46,9;7,52;Color2 [DarkGray];1;4;;2,666834;0,5282039;0,6914411;0,6667664;0,2420205;-0,114804;-0,4530862;-0,1948308;-0,2250249;-0,6028643
+;2,237512005;-0,759090663;VSTM2A;V-set and transmembrane domain-containing protein 2A isoform X2 [Homo sapiens];2,981;101,96;6;23,91;18,42105263;6;27;1;1;25,5;8,7;Color2 [DarkGray];1;4;;0,5432433;0,3925846;0,4890601;-0,04353752;0,1425583;0,1556467;-0,5393032;-0,360959;-0,8021598;-0,7247691
+;2,483151355;1,217533845;B2M;beta-2-microglobulin isoform X1 [Homo sapiens];99;551,8;6;50,627;59,01639344;6;161;6;1;14;7,44;Color2 [DarkGray];1;4;;-0,1975771;-0,4595748;-0,7336554;-0,7598773;-0,6830537;0,2161595;1,129906;1,486897;0,1636541;0,2573146
+;2,840700059;0,994230447;CNTFR;ciliary neurotrophic factor receptor subunit alpha preproprotein [Homo sapiens];6,743;53,28;6;31,192;22,31182796;6;13;6;1;40,6;6,76;Color2 [DarkGray];1;4;;-0,01324862;-0,4625556;-0,5184022;-0,5705971;-0,6824164;-0,1172927;0,6652921;0,773026;0,5317445;0,8711625
+;2,065452948;0,89018639;NEFL;neurofilament light polypeptide [Homo sapiens];0,501;25,01;6;20,271;10,31307551;6;7;4;1;61,5;4,65;Color2 [DarkGray];1;4;;-0,2902323;-0,6562382;-0,9864959;0,08935802;-0,3517522;0,4190309;-0,2309435;0,5511511;0,8092227;0,7071102
+;5,23075082;1,448108518;CD74;HLA class II histocompatibility antigen gamma chain isoform a [Homo sapiens];1,683;39,77;5;17,288;19,25675676;5;12;1;1;33,5;8,44;Color2 [DarkGray];1;4;;-0,7379912;-0,8568122;-0,9016777;-0,6639208;-0,5920632;0,5339611;0,5406541;0,8447466;1,119903;0,4488122
+;1,684425877;1,010869299;SLITRK3;SLIT and NTRK-like protein 3 precursor [Homo sapiens];0,365;20,68;5;16,021;6,448311157;5;6;5;1;108,9;7,37;Color2 [DarkGray];1;4;;-0,1215712;-0,006886774;-1,258891;-0,8607378;-1,091084;-0,4814864;0,5393823;0,30414;0,3375835;1,015556
+;1,78081066;-1,238346091;TIMP4;metalloproteinase inhibitor 4 precursor [Homo sapiens];2,594;21,94;5;19,519;28,125;5;6;5;1;25,5;7,8;Color2 [DarkGray];1;4;;0,7435043;0,2287829;0,670692;0,489996;0,163341;-0,007315395;-0,2643577;-0,189681;-1,970695;-1,463365
+;2,2537806;1,858854564;C1QTNF3;complement C1q tumor necrosis factor-related protein 3 isoform b precursor [Homo sapiens];4,623;29,8;5;17,452;15,36050157;5;11;5;1;35,2;7,17;Color2 [DarkGray];1;4;;-0,08775158;-0,8170047;-0,5347699;-0,7784967;-1,138006;-0,03643959;1,950231;1,697858;0,1766452;2,149949
+;2,992825639;-1,000371589;WFDC1;WAP four-disulfide core domain protein 1 isoform 1 precursor [Homo sapiens];4,179;61,85;5;15,878;22,72727273;5;19;5;1;24;8,38;Color2 [DarkGray];1;4;;0,4708695;0,143083;0,6683822;0,06320513;0,3173243;-0,554662;-0,4630786;-0,2713655;-0,8198498;-1,230038
+;2,371435415;0,748557024;RNASE6;ribonuclease K6 precursor [Homo sapiens];4,179;25,23;5;18,09;38;5;7;5;1;17,2;8,76;Color2 [DarkGray];1;4;;-0,1116009;-0,3641998;-0,4008445;-0,2913838;-0,7596489;0,2144067;0,1120265;0,3153031;0,978641;0,19473
+;2,215592115;1,802913636;SIRPB1;signal-regulatory protein beta-1 isoform 1 precursor [Homo sapiens];0,73;80,19;5;18,489;13,5678392;5;22;2;1;43,2;6,52;Color2 [DarkGray];1;4;;-0,1689009;0,03808942;-0,7067655;-0,9761521;-0,6824614;-0,4201189;1,677591;1,281898;1,928602;2,050406
+;4,067021962;0,611622578;HDHD2;haloacid dehalogenase-like hydrolase domain-containing protein 2 isoform X1 [Homo sapiens];1,61;29,15;5;18,045;21,62162162;5;8;5;1;28,5;6,24;Color2 [DarkGray];1;4;;-0,3240363;-0,2631538;-0,4338579;-0,09525092;-0,2163077;0,3532178;0,4165945;0,4211174;0,1014469;0,4331296
+;2,111314358;0,969179778;CDH12;cadherin-12 preproprotein [Homo sapiens];0,509;21,57;5;16,43;8,564231738;5;7;4;1;88,3;4,81;Color2 [DarkGray];1;4;;0,003428181;-0,1410512;-0,5546027;-0,6081324;-0,5414965;-0,2268302;0,6847851;1,123026;0,3899549;1,033108
+;2,744387145;0,872267658;ELN;elastin isoform i precursor [Homo sapiens];3,642;25,07;4;16,437;8,356164384;4;5;4;1;63,2;10,45;Color2 [DarkGray];1;4;;-0,1704014;-0,5137848;-0,3410809;-0,4311788;-0,03725408;0,6709756;0,4357127;1,160942;0,139136;0,4608719
+;2,15663613;1,008025222;CCL14;C-C motif chemokine 14 isoform 1 precursor [Homo sapiens];9;22,84;4;16,499;60,21505376;4;7;4;1;10,7;8,72;Color2 [DarkGray];1;4;;-0,3130393;-0,6045249;-0,6181722;-0,1487418;0,2277314;0,318636;1,06563;1,214072;0,02137329;0,9636688
+;1,839434111;-0,874565153;MPZ;myelin protein P0 isoform L-MPZ precursor [Homo sapiens];0,931;16,38;4;7,875;11,21794872;4;6;4;1;34,5;9,72;Color2 [DarkGray];1;4;;-0,1885503;0,4952746;0,4732012;0,3812017;0,7265242;0,06035901;-0,4259689;-0,6201736;-0,1756618;-1,323729
+;2,726103242;-1,080749105;CPS1;carbamoyl-phosphate synthase [ammonia], mitochondrial isoform X2 [Homo sapiens];0,143;14,58;4;10,034;2,31634679;4;5;4;1;166,2;6,74;Color2 [DarkGray];1;4;;0,257249;0,5554258;0,5287042;0,09408913;0,1616303;-0,9177545;-1,030449;-0,8348259;0,08962101;-1,113239
+;2,298868956;1,122462012;PKDCC;extracellular tyrosine-protein kinase PKDCC precursor [Homo sapiens];0,848;21,04;4;13,298;7,707910751;4;6;4;1;54,1;8,41;Color2 [DarkGray];1;4;;-0,3787042;-0,2059838;-0,3990432;-0,1269218;-0,2372355;0,03624741;1,119409;1,204954;0,3261696;1,577641
+;2,358009414;-0,965304866;APOC2;apolipoprotein C-II precursor [Homo sapiens];16,783;40,03;4;19,31;49,5049505;4;10;4;1;11,3;4,72;Color2 [DarkGray];1;4;;0,6568172;0,6026073;-0,003834284;0,4611959;0,6142823;-0,1075315;-0,7974529;-1,109776;-0,5253797;0,04468394
+;3,715364834;-1,023185584;CALD1;caldesmon isoform 1 [Homo sapiens];0,407;14,95;4;13,417;5,296343001;4;5;4;1;93,2;5,66;Color2 [DarkGray];1;4;;0,4539657;0,1864239;0,6701218;0,5675861;0,7800016;-0,2578257;-0,3430761;-0,5992312;-0,341034;-0,9166617
+;2,550786205;-0,794099971;GPR37L1;prosaposin receptor GPR37L1 precursor [Homo sapiens];0,931;78,64;4;16,647;8,316008316;4;20;4;1;52,7;7,36;Color2 [DarkGray];1;4;;0,4068701;-0,00465844;0,5123078;0,3290148;0,4136389;-0,0321763;-0,3771156;-0,553425;-0,3217375;-1,028872
+;3,407273092;0,71763871;C1QA;complement C1q subcomponent subunit A precursor [Homo sapiens];2,511;189,83;4;26,681;17,95918367;4;41;4;1;26;9,11;Color2 [DarkGray];1;4;;-0,266319;-0,2927542;-0,3171674;-0,2989941;-0,2838243;0,1267021;0,565977;0,2067191;0,8059428;0,4237935
+;2,249209948;-0,747074091;GAS1;growth arrest-specific protein 1 precursor [Homo sapiens];0,931;15,71;4;12,945;15,36231884;4;5;4;1;35,7;5,55;Color2 [DarkGray];1;4;;0,2283927;0,3437362;0,05074909;0,3728293;0,1306801;0,2280333;-0,7184433;-0,8097979;-0,6510319;-0,6577433
+;2,730104079;-0,850281464;KREMEN1;kremen protein 1 isoform 2 precursor [Homo sapiens];0,719;23,36;4;14,916;11,58536585;4;6;4;1;53,8;7,11;Color2 [DarkGray];1;4;;0,567892;0,4021226;0,3807961;0,3586072;0,2412231;-0,08861231;-0,0945558;-0,3917716;-0,7196529;-1,006174
+;2,735739427;-0,720208508;CD320;CD320 antigen isoform 1 precursor [Homo sapiens];1,783;36,6;4;17,157;17,73049645;4;8;4;1;29;4,75;Color2 [DarkGray];1;4;;0,4899162;0,1548618;0,4226837;0,2722035;0,1831289;-0,02713254;-0,7408692;-0,5237522;-0,1269004;-0,6595941
+;1,888200904;-1,706305796;PRSS1;trypsin-1 isoform X1 [Homo sapiens];1,512;39,25;4;16,124;11,44067797;4;17;3;1;51,3;7,69;Color2 [DarkGray];1;4;;-0,09711174;0,7011781;0,3646019;0,340393;0,1885938;-0,4142194;-1,883554;-2,261602;0,06837139;-2,54287
+;2,554159249;-0,983642605;FAM19A1;protein FAM19A1 precursor [Homo sapiens];30,623;39,68;4;20,172;38,34586466;4;11;4;1;14,9;8,12;Color2 [DarkGray];1;4;;0,7739169;0,6485528;0,5233267;0,2797198;0,012216;0,1278805;-0,749628;-0,7311881;-0,3965089;-0,9310364
+;2,201634158;-1,012720253;CARTPT;cocaine- and amphetamine-regulated transcript protein preproprotein [Homo sapiens];9;61,87;4;32,192;37,93103448;4;14;4;1;12,8;8,25;Color2 [DarkGray];1;4;;0,9805189;0,3194894;0,5733523;0,6634248;0,03836578;-0,0225245;-0,2799045;-0,1150811;-0,9482907;-1,122649
+;1,888527793;1,922704999;GNB1;guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 isoform 1 [Homo sapiens];1,031;5,78;4;7,041;14,70588235;4;4;4;1;37,4;6;Color2 [DarkGray];1;4;;-0,3995553;-0,1702855;-0,2672305;-0,364348;0,186641;-0,0307072;2,803968;2,546236;0,6058424;2,673408
+;2,121403243;-0,808190671;B4GALT2;beta-1,4-galactosyltransferase 2 isoform a [Homo sapiens];0,501;8,52;3;7,932;7,2319202;3;3;3;1;44,7;8,91;Color2 [DarkGray];1;4;;0,3313553;0,6203604;0,3932836;0,5562742;-0,1455276;0,2284084;-0,6191114;-0,4160639;-0,6420291;-0,8364116
+;3,110300768;1,019342478;ITGAM;integrin alpha-M isoform 1 precursor [Homo sapiens];0,142;11,79;3;9,784;3,469210755;3;4;3;1;127,2;7,23;Color2 [DarkGray];1;4;;-0,6429989;-0,416023;-0,01514359;-0,3819099;-0,3149158;0,008971384;0,7884046;0,8270121;0,9186638;0,7826694
+;4,255482213;-0,63316054;SEC62;translocation protein SEC62 [Homo sapiens];0,701;6,15;3;5,517;5,012531328;3;3;3;1;45,8;7,12;Color2 [DarkGray];1;4;;0,4094004;0,1883842;0,1457108;0,2135475;0,3350741;-0,3293436;-0,2715967;-0,2707957;-0,624042;-0,3779077
+;2,4822505;-0,851510601;CPLX1;complexin-1 [Homo sapiens];2,981;11,67;3;9,318;23,13432836;3;3;1;1;15;4,97;Color2 [DarkGray];1;4;;0,5967847;0,06360015;0,5852545;0,3577984;0,2007943;-0,04529285;-0,5843596;-0,7578669;-0,1159565;-0,9498451
+;2,550420139;1,107552408;PRAP1;proline-rich acidic protein 1 isoform 1 precursor [Homo sapiens];2,728;32,03;3;13,402;28,47682119;3;8;3;1;17,2;5,36;Color2 [DarkGray];1;4;;-0,9941925;-0,6648071;-0,7320868;-0,9910737;0,14756;0,2303128;0,7680243;0,3831772;0,866825;0,05482272
+;2,445206131;-3,107666105;DEFA3;neutrophil defensin 3 isoform X1 [Homo sapiens];2,981;16,73;3;7,691;24,75247525;3;6;1;1;11;6,99;Color2 [DarkGray];1;4;;2,086401;0,2839628;1,711783;0,1953932;2,89474;-2,074188;-0,2782271;-0,4508286;-3,020761;-2,542045
+;1,694516012;0,903449983;MT3;metallothionein-3 [Homo sapiens];45,416;42,29;3;22,104;35,29411765;3;11;3;1;6,9;4,84;Color2 [DarkGray];1;4;;-0,1550416;-0,3068424;-0,404646;-0,2263671;-0,2449771;0,03892184;0,2573399;1,543531;0,1248822;1,214701
